kernel,C,gamma,degree,coef0,min
linear,6.8292536402462,,,,-0.4663022068292486
poly,6.014034071409524,0.05829891261752253,3.0,0.038020107503995426,-0.47395253886659344
rbf,3.5490033207494798,0.001,,,-0.35922424607905723
