C	class_weight	solver	loss_achieved
10.0		saga	-0.3747971781305113
9.99999259595249		sag	-0.3594885361552028
10.0		sag	-0.3665608465608466
10.0		sag	-0.35433862433862434
9.999252728368608	balanced	sag	-0.3528395061728395
