kernel,C,epsilon,gamma,degree,coef0,min
linear,0.1,0.1,,,,499.66276943433223
poly,5.056837849199336,0.1,0.1,1.0,-1.0,478.3760173402753
rbf,9.907232942279036,0.027097490950225834,0.07207956201763148,,,544.6488888888889
