symbol	GSM1256682	GSM1256683	GSM1256684	GSM1256685	GSM1256686	GSM1256689	GSM1256691	GSM1256693	GSM1256698	GSM1256702	GSM1256706	GSM1256718
ANGPT2	5.07381317876447	5.09244561444395	5.02844952769923	5.18602928323237	5.13521575298033	5.12201852418253	5.10434602449071	5.44271988095499	5.20591563355993	5.12872103524685	4.9692419755276	5.15570914359266
FGF9	5.45498083059662	5.73318707519358	6.48375918264621	5.60796341236197	5.63282602408339	5.51411013368428	5.51447005098583	5.35689105163324	5.45812225243073	5.42578146806619	5.9119103951812	5.22581797184223
FRAS1	5.97746488278343	6.44209848522586	6.54660724517847	6.09121332178667	6.37063157390944	6.03035770155812	6.14838620818572	6.10795820819599	6.20135631409347	6.4999051917828	6.53479030838493	6.38500482613703
FREM1	6.55535144770829	6.24669206184729	6.96460039265496	6.00598245248314	6.29544699736725	6.73679026424081	6.53233587011986	6.75363292706161	7.16660855583868	6.00346748126685	5.83590722340924	7.88285840057029
IGF1	10.3348997248849	9.89761742947104	10.4114150639295	10.2027190034652	10.2397748384018	10.3527646150094	10.6237366833194	11.00553730215	10.8542307713106	10.2991200139933	9.93208576491242	10.5852628823402
IL15	5.80972747354989	5.86929648561521	6.26567482752009	5.32766372415252	6.01564612263382	5.76902736537007	6.15808830990208	5.31538060500188	6.2357012746518	6.10590364705149	5.52182469771347	5.88538037304427
LAMA1	4.51336662202033	5.06547092740538	5.22423505758993	3.75026127953515	3.91075231401955	4.49089601031926	4.84201771337956	5.00926477293001	5.20880435965863	3.67154580689315	5.97473004804156	4.54551136777161
LAMB1	7.43871409611004	7.45812305204103	7.8543301158993	7.40600561998425	7.79054010142931	7.73842923323331	7.85833299137137	8.05610853638757	8.15069223036875	8.01777077522365	7.84219218488995	8.02723109711404
LAMC1	9.04085228297664	9.17431031571221	9.53873075140197	8.59680955112147	8.83659139451485	9.03782718647493	9.23154031976095	9.70252811262064	9.44803580540301	8.91162961745866	9.2556394938424	9.41296915130377
LAMC2	6.25779862529501	6.45212759642853	6.53644215361513	6.31325490492969	6.20808940409016	6.34435849188127	6.17855299850781	6.8535939222962	6.40258618740562	6.02141683532784	6.65311261275397	6.24953003147356
PDGFC	6.88065935649603	6.33963394845191	7.78136291189972	6.04682065866973	6.63867093835153	7.02350374720136	6.86104745304117	7.24148423486315	7.05153284037549	5.70908737028805	7.31347808523775	7.29557100218585
PDGFD	5.7438192264938	6.18711826841678	6.72241437295884	5.76141585403783	5.48001999362714	5.79577296480895	5.7678929119514	6.21839398450521	5.91374083747289	5.40049227334469	5.87783135251227	6.09656011905995
SPP1	8.59755457194884	8.63128215901001	9.09999894511011	8.28643258403548	7.48195711092195	8.92434043467703	8.38106632257367	9.33670448899312	8.6376699332101	8.53745548494808	8.26305395991086	8.6078843290627
TNFSF10	7.24221444887337	7.33740775571733	7.69117331517108	6.72451944251592	6.1655300038319	7.23687921281878	7.3050335891862	7.12474154237457	7.65739243204968	6.30022089542383	7.60701047989933	7.11592563835525
