symbol	GSM1256682	GSM1256683	GSM1256684	GSM1256685	GSM1256686	GSM1256689	GSM1256691	GSM1256693	GSM1256698	GSM1256702	GSM1256706	GSM1256718
COL4A5	6.76824098501365	6.45438301955214	6.72596259229776	6.63426588425956	6.69902125626135	6.49211134554321	6.50421230991997	6.54596028115479	6.71102348408435	6.64770407623082	6.66662866329845	6.80397586251052
FGF18	6.58784510736165	6.80509419260962	7.15311735216743	6.38106089604847	6.42163706782813	6.19719906993588	6.31291565700925	6.58499489749511	6.18656664062916	6.39389281899865	6.30216078019759	6.00685706193779
GDF11	6.89535430696138	6.71159173788531	6.77690922355147	6.80915973888328	6.95084203204141	6.92424896355533	7.04069007059352	6.7496822532501	6.99221519180536	6.74396101953462	7.02379871192882	6.93450897032087
GDF15	7.42928181307518	10.2231201653396	8.75467051521779	6.60425259015626	7.95203131740222	6.75722457909179	6.8421784490329	7.88236224102051	6.81636978810144	6.724378105578	6.59970870568624	5.6289640726223
IGF2	8.64699399373845	9.02225714480407	9.26077378666597	8.67677869916113	9.26629918422637	9.52967075825743	9.30810662292654	9.53305946713774	9.56665612458303	9.16388352262616	8.98986996542741	10.277363391182
LAMA3	6.2468137423694	6.1772814861858	6.35187193216814	6.41448405608455	6.33042636065948	6.12656399068212	6.24878745313534	6.25093852352649	6.19416598791844	6.34768019345232	6.19072036700235	6.20043877192736
LIF	7.96273209017337	9.37054964968161	8.64676406402486	8.20710114775476	7.41918570665605	7.85919883072803	7.95392161490449	9.41074746504576	7.4793967317671	7.18687316246738	7.12853076567283	6.75405672556423
PDGFA	6.12096766714829	5.97291838792702	6.22301719481642	5.98528932078433	5.88474099185064	6.10177846151103	6.04220768249455	6.29250414096325	6.09485140943847	5.86919879388305	5.78690684312657	6.20342067316025
