symbol	GSM109814	GSM109815	GSM109816	GSM109817	GSM150196	GSM150197	GSM150198	GSM150199	GSM150201	GSM1256720	GSM1256722	GSM1256723	GSM1256726	GSM1256729	GSM1256731	GSM1256733	GSM1256734	GSM1256739	GSM1256741	GSM1256742	GSM1256744	GSM1256745	GSM1256748	GSM1256753	GSM1256754	GSM1256756	GSM1256759	GSM1256760	GSM1256761	GSM1256762	GSM1256763	GSM1256770	GSM1256771	GSM1256772	GSM1256784	GSM1256785	GSM1256786	GSM1256788	GSM1256793	GSM1256794	GSM1256796	GSM1256798	GSM1256799	GSM1256800
COL4A5	6.83305103709744	6.48180547645434	6.21331438434433	6.53100197001879	6.77770388391633	6.92889575552906	6.44460427733833	6.30246633377906	6.49037087305291	6.6219597908325	6.7311182507548	6.43875088007846	6.70461199792906	6.74228328009297	6.56719817317724	6.62155524411774	6.67021245700077	6.64491369686496	6.66833814927504	6.82374521266308	6.4889375306436	6.30786807953443	6.67433913139087	6.7359184644168	6.66979406207924	6.56073785545216	6.74052610669112	6.43308677129155	6.67150100058562	6.65638947667229	6.58630898144295	6.80740111326783	6.60444794293506	6.71697328405593	6.76971162697442	6.94173939682119	6.9575525887734	6.82769647525769	6.79540996815552	6.80740864371876	6.67778881975892	6.73707143950568	6.74145192617536	6.69766197536138
FGF18	6.18809636270466	5.94189523148318	5.99127864871351	6.08716453154619	6.32939604062623	6.15780116038523	5.96705303639281	5.99141535564578	6.12981725301298	6.07200484081126	5.73714530791785	6.57190269119263	5.74021586658991	5.91324588859461	6.54477778196286	5.94876456260808	6.02838240361699	5.98050381791862	6.29532967098588	6.21333247920329	7.30728782260773	6.97961601144481	6.8711114520331	6.00658703201953	6.31424859902859	6.15815028180856	6.12237170348734	7.09373277747306	6.21361224618839	6.90076414417476	6.19517011671911	5.78151084747508	5.73627927372673	5.82067592198074	5.70038663377762	5.69861165197532	5.98000928323246	6.35599188062823	5.83800292696184	6.01223113451216	5.84785642777602	5.90866796721348	5.71612529576587	5.82646279290726
GDF11	7.10444141294595	7.1730428703296	7.17857269837884	7.21111827807347	6.95957577655499	7.06830985884609	7.17734719603973	7.14959177540467	7.24326555104053	6.93772837201722	7.05124321030994	7.07910729004468	6.90093417493919	7.11771595700264	7.10194844705034	7.19333392742422	7.06907409818255	7.05877550344051	6.80076053464454	7.04276008828636	6.60317096772769	6.94222304893154	6.89841225255273	6.87754447482904	6.78948404183625	7.01819761260795	7.04466858101837	6.70190548304822	6.98263529881669	6.98937204130866	6.96314881945042	6.96194061373739	7.02646085489642	6.95157816051348	7.01074960310696	6.85558594192818	7.05264276296149	6.74369634475939	7.02103082777692	6.82185552964189	7.04544994300079	6.83879913141678	6.78718443891199	6.85228870576819
GDF15	7.83177662308255	5.34259408704207	5.40010701177925	5.50769366029043	8.11163609381878	8.16657134584869	5.54692687378774	5.74149933969729	5.95974716120757	6.81041470782307	5.47620514390718	6.78729750960078	5.63047214302809	6.92096628512982	6.28713776057401	6.22611618138684	6.42229156373753	6.37071911980661	7.41637120043288	7.40696385904187	9.45779408961976	9.76346764290569	8.65274941212718	7.5609426583812	7.34692682543347	6.88079027829537	7.65441451514304	9.71168875710271	7.28803887576485	10.3792863743151	6.71720928014235	5.32092015935476	5.29268674930993	5.39797227076534	5.05874696152694	4.79580405195942	5.51387402790487	5.79155551767905	5.92890587825452	7.12498257074716	5.53983981927441	6.01518869032328	5.45188079660438	5.72257110947091
IGF2	9.71983595017189	9.22193973392025	9.6213592772049	9.51917523614959	7.51399045929568	9.78133929525913	9.27309073799739	9.6972640478	9.55823668061624	8.41538658492007	8.77208220130804	9.32098789392665	8.2882634444905	8.13013612438048	8.92137840811896	8.27404392897817	8.39569441472064	10.2016805519037	9.79504965103253	9.64898318320489	9.29821321767497	10.7184176410857	10.7080237962481	9.65077617655378	9.43964289946112	9.78957236750903	8.2112256933733	9.52357458033078	9.46237334154337	10.6621892302079	9.48898391957933	8.94540147048638	9.2424401182158	9.18856512584023	7.86667785058586	8.52032987315552	8.82277893059973	10.3255704710164	8.79331326655983	9.97566307070562	8.1580140766232	9.0635198898858	8.81833997506974	9.2693098782355
LAMA3	6.31148468235336	6.38561744354635	6.63424350527907	6.32243275692595	6.41885758105848	6.27737913309749	6.32630693762137	6.54795999678651	6.26064509784066	6.34494496794532	6.39211263262464	6.4895616905549	6.46784227622167	6.26917770694731	6.31924903704892	6.3569655442941	6.26237322185849	6.36668747028754	6.32117206582007	6.23777330558355	6.28000656895038	6.40535572932403	6.32099383312779	6.23721217631429	6.21567739305864	6.41174261996622	6.26965778589014	6.50869547598479	6.22633320324452	6.32042007429262	6.47610232138176	6.35385864672342	6.51272861118302	6.27719457047673	6.27203673748029	6.44221027744463	6.1978714229428	6.36583331130102	6.35228899084373	6.29383280016015	6.37602230282412	6.34171267042342	6.4402748408378	6.40577681281286
LIF	7.24420997792115	7.01486223655938	7.32561999054236	6.99587011260004	8.15621121112445	7.76948140261944	7.20398636416835	7.49806330602199	7.2979973626246	7.25282290736875	7.09858302351511	8.14078405141489	7.12553759338853	6.96419196753542	7.32771497818697	7.07448306835482	7.07190971231466	7.78106630459454	7.68019217601759	7.94253402856982	8.77759127679772	9.69224814983143	9.3926613036585	7.46960793879665	7.90429239138374	8.1719048146739	7.81863428836529	9.99026993187534	7.33308561535631	10.0556581853666	8.1046598966793	7.15070799091311	7.64994352044392	7.09248784799805	6.56928835255215	6.79990487770829	6.7634407455835	7.24194974351013	6.90653672721535	8.25223475978268	7.17261750109328	6.94934574115986	7.1332993033253	7.05033207243496
PDGFA	5.92581938682192	5.46181720282659	5.87325432083055	5.52090749308926	5.60710877596938	5.9647841082781	5.65482654187429	5.97968701307225	5.64849044329467	5.7047334387333	5.63429420149333	5.9012404245928	5.61066433781769	5.7748858748995	5.87336805716389	5.69557978415346	5.57534015360867	6.0391216927249	6.03512096050713	6.15267117066593	6.19125387670547	6.49874242987069	6.31161556927899	5.81852143459722	5.87617567731102	5.91607795257094	5.8265684076605	6.24463900019567	5.89873750265484	6.04123814706332	5.95878774044823	5.43188559773202	5.52326856499432	5.4415464054724	5.56147621345779	5.62495714875526	5.59092177405631	5.98050124786018	5.64028289108514	5.52976829341224	5.74836139655425	5.74426722030828	5.7137680177359	5.61253301441082
