symbol	1	2	3
CCL14	1.6284751954030041	2.2401691574775415	1.0167812333284667
CCL21	1.5209327587938644	2.2022649592955417	0.839600558292187
CCL3	1.459784365431085	1.8283931127432342	1.0911756181189356
CCL5	1.2742988052804463	1.7900058453696226	0.7585917651912699
COL6A2	1.334344475547288	1.6428112660235212	1.0258776850710547
COMP	1.0066044127903973	1.3331898794318477	0.6800189461489468
CSF3	0.8934380500940192	1.1492290732048265	0.637647026983212
CTF1	1.3651886680924767	1.6376877460804307	1.0926895901045228
CX3CL1	0.9932282441682044	1.3423298450349055	0.6441266433015034
CXCL14	1.91318433379517	3.6439245431154363	0.18244412447490355
EBI3	0.9546765790172714	1.158453138512396	0.7509000195221469
EPO	0.9370719048904804	1.3181738545851736	0.5559699551957873
FGF18	1.1854779273443237	1.7273710667215831	0.6435847879670643
GDF11	1.067355967745397	1.297960797644455	0.836751137846339
GDF15	1.9692329296990203	3.3018527833862965	0.6366130760117443
HSPG2	1.2561405557304075	1.4709117605121809	1.0413693509486341
IGF2	0.7962800207930364	0.9864151857668918	0.606144855819181
IL13	0.73325835896416	0.8755751073207565	0.5909416106075636
IL17C	0.7774706308611942	0.8819552686298601	0.6729859930925283
IL1A	0.5180514691593193	0.6434797109878385	0.39262322733080013
LAMA5	1.1308419673168169	1.3490346953239734	0.9126492393096604
LAMC3	0.9052270135762669	1.0965916818896744	0.7138623452628594
LIF	1.1070810197459702	1.9900750152734934	0.22408702421844695
LTB	1.0556619026156788	1.26009383652992	0.8512299687014377
NGF	0.7697073048975928	0.9006240069160043	0.6387906028791812
PDGFA	1.0451888031742962	1.390025707358057	0.7003518989905354
PF4	1.0139662190148968	1.254603842651396	0.7733285953783977
TGFB1	1.4580766221192727	1.7047543655459896	1.2113988786925558
TNF	1.0727121040743177	1.9647787415647935	0.18064546658384206
TNFSF12	1.208788498522267	1.3684937513338915	1.0490832457106425
TNFSF13	0.9646468312174388	1.0787787672803955	0.8505148951544822
TNXB	1.1522435942568614	1.452528541397513	0.8519586471162097
VEGFB	0.8236706539212866	0.9526745556787333	0.6946667521638399
