hgnc_symbol	affy_primeview
TINF2	
MEIS3P2	
LINC01975	
NMTRQ-TTG12-1	
MED31	11734795_at
MED31	11734794_a_at
MED31	
APOBEC3G	11762899_at
APOBEC3G	
APOBEC3G	11720510_a_at
PA2G4P6	
OR7E31P	
MYO5BP2	
UBQLN1	11737138_a_at
UBQLN1	11734017_a_at
UBQLN1	11734016_s_at
UBQLN1	
MFSD1P1	
GAREM1	
GAREM1	11742912_a_at
SNORA59B	11763893_s_at
COPS2	
COPS2	11724193_s_at
COPS2	11724191_a_at
COPS2	11724192_at
SEPTIN14P19	
SEPTIN14P19	11751041_x_at
SEPTIN14P19	11758331_s_at
GRID1-AS1	
PEX2	11733012_at
PEX2	11733013_at
PEX2	11756227_s_at
PEX2	
MYLK2	11738011_a_at
NUTM2A	11735966_s_at
NUTM2A	
HMGN5	11729348_at
HMGN5	
POLR2E	11750009_x_at
POLR2E	11716271_at
POLR2E	11716272_a_at
POLR2E	11750008_a_at
POLR2E	11716273_x_at
POLR2E	
SMIM29	11756475_a_at
CCDC85C	11731535_a_at
CCDC85C	11731534_at
CCDC85C	
HMGN1P31	
FAM151B	
FAM151B	11740925_a_at
RPL7AP66	
ATP6V1E1P2	
MIR4527HG	
LRMDA	11722249_s_at
LRMDA	
ZC2HC1A	11730857_at
ZC2HC1A	11730858_at
ZC2HC1A	
RPIAP1	
TAB1	
TAB1	11719091_a_at
TAB1	11748478_a_at
TAB1	11719090_at
TAB1	11731875_at
ZBTB7C	11747059_a_at
ZBTB7C	11752785_a_at
ZBTB7C	11726411_a_at
ZBTB7C	11726412_s_at
ZBTB7C	
CCDC152	11751479_a_at
CCDC152	11743942_at
JMJD1C-AS1	
LINC01519	
RAB5CP1	
OTX2-AS1	
PXDNL	11733408_a_at
NDUFA8P1	
FOXS1	11726956_at
SDR42E1P3	
FAM88B	
PDSS1	11720547_a_at
PDSS1	
PDSS1	11759973_at
TGM1	11741819_a_at
TGM1	
BCL2L1	11739958_x_at
BCL2L1	11739957_a_at
BCL2L1	11759514_at
HMGB3P30	
HSD17B3-AS1	
MOK	11763429_at
MOK	
MOK	11729854_a_at
MOK	11747458_a_at
MOK	11755563_x_at
MOK	11763708_x_at
USP22	11739017_at
USP22	11739018_a_at
USP22	200083_PM_at
USP22	
MAP7D3	11749122_a_at
MAP7D3	11743563_a_at
MAP7D3	11759504_at
MAP7D3	11743564_x_at
MAP7D3	
RIOK1	11730139_a_at
RIOK1	11733924_a_at
RIOK1	11733925_a_at
RIOK1	
MTREX	11720465_a_at
MTREX	11758835_at
MTREX	
MTND3P4	
MGAT3	11722133_a_at
MGAT3	11722132_a_at
HSD17B3	11728163_a_at
HSD17B3	
MGAT3-AS1	
MIEF1	
MIEF1	11757842_s_at
MIEF1	11719786_at
MIEF1	11757944_s_at
PDCL3P1	
SACS	
SACS	11724139_s_at
RPL24P2	
IGLV8OR8-1	
PKIA	11754172_a_at
PKIA	11763261_x_at
PKIA	11741174_s_at
PKIA	
ZNF22	11743149_at
ZNF22	11743147_at
ZNF22	11743148_s_at
KIZ	11756417_x_at
KIZ	11756416_a_at
KIZ	
KIZ	11760183_at
KIZ	11760184_at
S1PR4	11730994_at
RNU6-978P	
NCLN	11755689_x_at
NCLN	11727409_a_at
NCLN	11727408_a_at
NCLN	
ANXA11	11747064_x_at
ANXA11	11741351_s_at
ANXA11	11745976_x_at
ANXA11	11743261_a_at
ANXA11	11741103_a_at
ANXA11	11741350_a_at
ANXA11	11745975_a_at
ANXA11	11743262_x_at
ANXA11	
RPL3P9	
	11749565_s_at
ZFHX4	
ZFHX4	11729327_a_at
ZFHX4	11729326_at
ZFHX4	11729328_s_at
PAUPAR	
RABGGTA	11721186_a_at
RABGGTA	11755532_x_at
RABGGTA	11737759_x_at
RABGGTA	11751406_a_at
RABGGTA	
GLP1R	11750707_a_at
GLP1R	11738401_a_at
LINC02546	
LINC00678	
DBX1	11743244_at
MTND1P14	
RPA4	11732061_at
DRC3	
DRC3	11726233_a_at
DRC3	11742111_a_at
DCAF12L1	11730697_at
OR4M2	11742333_s_at
OR4N4	11742564_s_at
HIPK3	11741373_a_at
HIPK3	11740126_a_at
HIPK3	
RPS19BP1	11716827_at
RPS19BP1	
SETP8	
ITPR3	11742964_a_at
ITPR3	11742963_at
CBX1P1	
OR1AA1P	
GLUD2	11736200_at
GLUD2	11716207_s_at
GLUD2	11736201_x_at
TJAP1P1	
TMEM167A	11757082_s_at
TMEM167A	11716356_at
EEF1GP5	11726318_s_at
SPANXA2-OT1	
LINC00583	
IL6RP1	
FGF7P8	11746426_s_at
MRPL9P1	
RBPJP2	
CLVS1	
CLVS1	11756353_a_at
TEX10	11717833_a_at
TEX10	11750976_a_at
ANKRD10-IT1	
PARP1P1	
SPACA7BP	
TBC1D8B	11731819_a_at
TBC1D8B	11740665_a_at
TBC1D8B	
LINC00431	11721884_s_at
LINC01917	
LINC00368	
ARHGEF7-AS2	
DNAJA1P6	
ARHGEF7-IT1	
ARHGEF7-AS1	
SLC25A18	11731029_a_at
SLC25A18	
TEX29	11733585_at
ELOCP27	
HAPLN1	11725375_at
HAPLN1	11725376_at
HAPLN1	11725374_at
HAPLN1	
BOD1L2	11763338_a_at
RIOK3	11747125_a_at
RIOK3	11749176_a_at
RIOK3	11725951_at
RIOK3	11725950_s_at
RIOK3	
	11730448_a_at
KCTD12	11715950_a_at
KCTD12	11715947_a_at
KCTD12	11715951_s_at
KCTD12	11715948_at
KCTD12	11715949_s_at
BTF3P11	
ACOD1	
	11742333_s_at
OR4N4C	11742564_s_at
RNA5SP477	
RPL7P44	
DHX9P1	
KIZ-AS1	
CLN5	11719820_s_at
CLN5	11719822_at
CLN5	11719821_a_at
CLN5	
POTEB	11752762_s_at
GUSBP18	
	11745491_s_at
SMAD6	11730339_a_at
SMAD6	11730337_at
SMAD6	11730338_a_at
SMAD6	
ARMC1	11726584_s_at
ARMC1	11751777_a_at
ARMC1	
RPS15AP1	
NIPA1	
ZNF877P	
CAB39P1	
CYFIP1	11740974_a_at
RNU6-192P	
LINC01150	
OVOL2	
OVOL2	11729006_at
OVOL2	11729007_s_at
OTX2P1	
MRPL23	11717024_at
MRPL23	
VCAN	11755009_s_at
VCAN	11742208_a_at
VCAN	11759403_x_at
VCAN	11748164_a_at
VCAN	11748311_s_at
VCAN	11757783_s_at
VCAN	11759402_s_at
VCAN	11742207_a_at
VCAN	
VCAN	11760056_at
GRIN3A	11732761_a_at
GRIN3A	11732762_at
GRIN3A	11732763_at
GRIN3A	
GOLGA6L1	
RUVBL2P1	
ATP6V1E1	11741370_a_at
ATP6V1E1	11717011_a_at
ATP6V1E1	
NDUFB5P2	
SPA17P1	
MORC4	
MORC4	11749672_a_at
MORC4	11758573_s_at
MORC4	11723573_a_at
MORC4	11723574_a_at
MORC4	11744782_a_at
	11750252_a_at
FBXL3	
FBXL3	11758250_s_at
FBXL3	11717982_a_at
PRXL2A	
PRXL2A	11756668_x_at
SLTM	11755061_a_at
SLTM	11742718_a_at
SLTM	11741470_s_at
SLTM	11742719_s_at
SLTM	
SNORD17	11763892_at
MGME1	11719138_at
MYCBP2-AS1	
RPL7AP46	11760462_s_at
RPL7AP46	11746535_x_at
MYCBP2-AS2	
BMS1P9	
CYLC2	11735388_at
CYLC2	11735389_at
ATP11AUN	11742246_at
FBXO15	11727166_a_at
FBXO15	
APBA3	11755083_a_at
APBA3	
ATP11A-AS1	
MCF2L-AS1	
SERPINE3	11741880_at
SERPINE3	
GOLGA6L2	
SMCR5	11750649_at
MAGEL2	
NFIL3	11743010_at
NDN	
PTMAP3	
CSGALNACT2P2	
RPL15P1	
OR7E116P	
RNU7-137P	
GGCTP2	
COL15A1	
COL15A1	11720431_s_at
RN7SL14P	
LINC02927	
RNU2-56P	
SOX17	11743872_a_at
SOX17	11743873_x_at
SOX17	11743874_a_at
MRPL23-AS1	
VBP1	11749619_a_at
VBP1	11743605_s_at
LINC01219	
RN7SKP74	
ZNF133-AS1	
LINC00851	
PET117	11719509_a_at
SEC11B	
H19	
TCL1B	11725909_a_at
RPL21	11755203_x_at
RPL21	11753680_x_at
RPL21	200012_PM_x_at
LAMP5-AS1	
ALG1L11P	
BBOX1	11719538_at
BBOX1	
LAMP5	11747577_a_at
LAMP5	11724996_at
XKR9	11737560_a_at
XKR9	
TJP3	11742865_a_at
TJP3	
LINC01520	
TECPR2	11754281_a_at
TECPR2	11753287_a_at
TECPR2	11724059_a_at
TECPR2	11750798_a_at
TECPR2	11724060_at
TECPR2	
HNRNPA3P16	11723198_s_at
A1CF	11746909_a_at
A1CF	11745515_a_at
A1CF	
NPC1	
NPC1	11743916_a_at
NPC1	11746723_a_at
DHRS1	11718872_a_at
DHRS1	
PSMF1	11756242_a_at
PSMF1	11756241_s_at
PSMF1	11740071_x_at
PSMF1	11755356_x_at
PSMF1	11749960_a_at
PSMF1	11759400_at
PSMF1	
NEDD9	11725056_a_at
NEDD9	11725057_s_at
NEDD9	11725058_a_at
NEDD9	
NEDD9	11730320_a_at
IL13RA2	11757033_a_at
IL13RA2	
BCL2L13	11749886_a_at
BCL2L13	11756765_x_at
BCL2L13	11747881_x_at
BCL2L13	11759604_s_at
BCL2L13	11742809_s_at
BCL2L13	11747880_a_at
BCL2L13	11759603_at
BCL2L13	
ASNSP1	
METTL21C	11727745_at
LUZP2	11753562_s_at
LUZP2	11734197_at
LUZP2	11734198_at
LUZP2	
ERCC5	11717915_s_at
ERCC5	11748948_a_at
ERCC5	11717914_a_at
ERCC5	11752129_a_at
ERCC5	
PAG1	11724378_s_at
PAG1	11724376_at
PAG1	11724375_at
PAG1	11724377_at
PAG1	
ACTG1P3	
	11732743_at
SNPH	
SNPH	11724898_a_at
VENTXP6	
ANO3-AS1	
	11745329_a_at
	11759948_x_at
	11749936_a_at
	11750486_x_at
	11732702_a_at
	11753151_a_at
ABCC10	
ABCC10	11724636_a_at
CAPRIN1	11720456_at
CAPRIN1	11749569_a_at
CAPRIN1	11720459_s_at
CAPRIN1	11720457_at
CAPRIN1	11720458_at
CAPRIN1	11720455_a_at
CAPRIN1	
CAPRIN1	11718239_s_at
CAPRIN1	11718240_at
CAPRIN1	11718238_a_at
ASPH	11739367_at
ASPH	11739366_at
ASPH	11750180_x_at
ASPH	11747616_a_at
ASPH	
ASPH	11721774_a_at
ASPH	11721775_s_at
ASPH	11742303_a_at
ASPH	11759707_at
PHKA1	11743747_a_at
PHKA1	11743746_a_at
TMEM38B	
TMEM38B	11756501_a_at
TMEM38B	11759179_at
NOP9	11746301_s_at
NOP9	11759098_at
NOP9	11733158_a_at
NOP9	11759099_a_at
NOP9	
MIR675	
SDCBP2	11718932_a_at
SDCBP2	11718933_s_at
SDCBP2	11760993_at
LINC02318	
LINC02318	11763432_at
WDR7-OT1	
SLC25A52	11734598_x_at
CNTNAP3C	
ZNF24	11745180_a_at
ZNF24	11723259_x_at
ZNF24	11723260_s_at
ZNF24	11744818_a_at
ZNF24	11723261_a_at
PSMC1	11716545_x_at
PSMC1	11748303_x_at
PSMC1	
BARX1	11728081_s_at
LINC01333	
ISLR	11747852_s_at
ISLR	11716549_s_at
SLC10A2	11729050_at
SLC10A2	11729049_at
OXCT1	11746434_a_at
OXCT1	11749874_a_at
OXCT1	11745194_a_at
OXCT1	
MTND5P14	
LINC01508	
GAPDHP43	
PPIAP88	
RPL7AP47	
TXN	11715470_x_at
TXN	11753804_x_at
TXN	11750538_x_at
TXN	11753775_x_at
TXN	11715469_s_at
TXN	
STRA6	11733687_s_at
STRA6	11749698_a_at
STRA6	11733686_a_at
STRA6	
STRA6	11732938_at
SEC11C	11744264_a_at
SEC11C	11760518_at
SEC11C	
IL17D	
IL17D	11720693_a_at
SECISBP2L	
SECISBP2L	11744131_a_at
SECISBP2L	11744132_at
SECISBP2L	11746145_a_at
CIDEB	11752838_s_at
CIDEB	11737534_s_at
CIDEB	
MIR3198-1	11716278_s_at
LINC00528	
ELOCP28	
GGACT	11743947_a_at
	11716038_s_at
MICAL3	11725725_a_at
MICAL3	11738524_a_at
MICAL3	11755655_a_at
MICAL3	11745597_a_at
MICAL3	
MICAL3	11732844_a_at
SLC26A8	11729677_a_at
SLC26A8	
SMIM24	11726810_s_at
SMIM24	
PTGER2	11732551_at
PTGER2	11732550_at
MIR6869	
SIRPB2	11741251_a_at
SIRPB2	11737504_x_at
SIRPB2	11761167_at
KCTD4	11736585_at
KCTD4	11736586_at
SLITRK5	11730048_at
SLITRK5	11730047_a_at
LINC02578	
RPSAP49	
ATP11A	11743742_at
ATP11A	11743743_a_at
ATP11A	
MTND2P9	
JSRP1	11732532_at
JSRP1	
FAM242F	
ATP8B5P	11717076_s_at
ATP8B5P	11717078_s_at
ATP8B5P	
CDH7	11738816_a_at
CDH7	11761455_at
CDH7	
SLC25A47	11760479_a_at
SLC25A47	11763541_x_at
SLC25A47	11730503_a_at
SLC25A47	11755597_x_at
SLC25A47	11763540_a_at
SLC25A47	11746571_a_at
LTB4R2	11746301_s_at
LTB4R2	11759098_at
LTB4R2	11759099_a_at
RNU6-917P	
SIRPD	11730647_at
ZNRF4	11730426_a_at
NUTM2HP	
LTB4R	11731134_a_at
LTB4R	11746301_s_at
LTB4R	11731135_a_at
NFIC	11731484_s_at
NFIC	11759316_at
NFIC	11731487_x_at
NFIC	11750968_x_at
NFIC	11731486_a_at
NFIC	11747192_x_at
NFIC	11749436_a_at
NFIC	11731485_x_at
NFIC	11752847_a_at
NFIC	11749437_x_at
NFIC	
MINPP1	11720091_a_at
SNX21	11727982_s_at
SNX21	11727980_a_at
SNX21	11741769_s_at
SNX21	11727981_a_at
ST13P5	11743454_s_at
SAA1	11733442_x_at
SAA1	11756072_s_at
LINC02316	
ADCY4	11755003_a_at
ADCY4	
PES1P2	
ANKS6	11725286_s_at
ANKS6	11725285_a_at
ANKS6	11725287_a_at
ANKS6	
MTND5P35	
CHORDC2P	
FARSBP1	
	11738833_a_at
	11725909_a_at
	11738834_x_at
TFAM	11743811_a_at
TFAM	11743812_x_at
TFAM	11743810_s_at
TPGS2	11744919_a_at
TPGS2	11716754_a_at
TPGS2	
NAV2-AS6	
SUB1	11758245_s_at
SUB1	11756654_s_at
SUB1	11720599_s_at
SUB1	11720598_x_at
SUB1	11751297_s_at
ZSWIM3	11724072_a_at
ZSWIM3	11746401_a_at
RPL23AP10	
API5	
API5	11758459_s_at
API5	11716122_s_at
API5	11742050_a_at
API5	11716121_s_at
ATG2B	11752518_a_at
ATG2B	11721384_at
ATG2B	11721383_s_at
ATG2B	11721382_at
ATG2B	
RNA5SP334	
PLTP	11723616_a_at
PLTP	
HPS5	11736705_x_at
HPS5	11739576_x_at
HPS5	11736706_a_at
HPS5	
HPS5	11763014_x_at
HPS5	11763013_at
	11728163_a_at
	11718931_a_at
KLF12	11725184_a_at
KLF12	11725183_at
KLF12	11725186_x_at
KLF12	11725187_at
KLF12	11725185_s_at
KLF12	11745057_a_at
TUBB4BP6	
KYNUP1	
HERC1	11744225_at
HERC1	11752299_a_at
HERC1	
YWHAEP3	
ALKBH5	11719044_s_at
ALKBH5	11719043_x_at
ALKBH5	11751450_a_at
ARL2BPP7	
PTCSC2	
SLC25A6P2	11729584_a_at
LINC02937	
CYSLTR2	11751390_a_at
CYSLTR2	11748485_s_at
CYSLTR2	11734945_at
ZSWIM5P1	
WBP1LP12	
ZDHHC15	11734926_a_at
ZDHHC15	11753082_a_at
ZDHHC15	11734925_s_at
ZDHHC15	
BNIP3P4	
IGKV1OR-2	
RPS10-NUDT3	11722380_at
RPS10-NUDT3	200095_PM_x_at
RPS10-NUDT3	11758313_x_at
RPS10-NUDT3	11757758_x_at
CTSLP1	
OXGR1	11737291_a_at
OXGR1	11737290_at
CFAP95	11732833_a_at
CFAP95	
LINC01992	
SRP9P1	11753597_s_at
RPS3AP5	200099_PM_s_at
MIX23P2	
EIF5AP4	11737958_x_at
EIF5AP4	11753619_s_at
PPP1R3C	11749593_a_at
PPP1R3C	11717575_at
PPIAP30	11760090_at
PPIAP30	11760091_x_at
FAM133CP	11741501_s_at
FAM133CP	11746241_s_at
PLA2G12B	11734235_a_at
IL1RAPL1	11737250_at
COMMD6	11756875_x_at
COMMD6	11753841_x_at
COMMD6	11733496_x_at
COMMD6	11733497_a_at
COMMD6	11733495_a_at
DRG2	11742895_a_at
DRG2	11742894_a_at
DRG2	11760145_a_at
DRG2	
GRID1	11750348_a_at
GRID1	11732586_a_at
GRID1	11750349_x_at
GRID1	11752043_x_at
GRID1	11732587_at
RPS26P11	11757761_x_at
ZBTB33	11732255_at
IGHVIII-16-1	
ANKRD18EP	
KRT18P66	
RPL15P3	11754013_x_at
RPL15P3	11757782_s_at
TOPORSLP	
RPS6KA5	11735610_a_at
RPS6KA5	11735633_a_at
RPS6KA5	11754447_a_at
RPS6KA5	11735634_at
RPS6KA5	
KCTD20	11731580_x_at
KCTD20	11747244_a_at
KCTD20	11751109_a_at
KCTD20	
NINJ1	11716717_a_at
NINJ1	
RTL5	11745267_s_at
LINC02653	
PCIF1	11718529_a_at
PCIF1	11718530_at
PCIF1	
PCIF1	11758798_at
H3P43	
LINC02671	
CD84P1	
MATR3P1	11758663_s_at
LINC00857	
ADGRG4	11751876_a_at
ADGRG4	11738616_a_at
	11732657_a_at
LINC00863	
THSD1	11724107_s_at
RPS27P1	
RPS7P9	
ZNF367	11728102_a_at
ZNF367	11728101_at
FAM245A	
RNY4P24	
RSU1P3	
VPS36	11763731_a_at
VPS36	11763331_a_at
VPS36	11739960_a_at
VPS36	11739961_a_at
VPS36	11763332_a_at
VPS36	11763330_at
VPS36	
LINC01518	
ZNF335	11727640_a_at
ZNF335	
WARS2P1	
MARK2P16	
SNRPD2P1	
NUDT9P1	
EIF2S2P3	
NPAP1P3	
CDH18-AS1	
MYOF	11718168_a_at
MYOF	11754928_x_at
MYOF	
RBM22P5	
SNX30	11755766_x_at
SNX30	11721960_a_at
SNX30	
CAPSL	11729439_a_at
CAPSL	
PKMP2	
HMGN2P48	
RPL21P134	
PIGFP3	
NAP1L4P2	
RAB39B	11728850_at
RAB39B	11728851_s_at
RAB39B	11728849_at
RAB39B	11728848_at
INTS6L-AS1	
SLIRPP1	
DNAH8-AS1	
NAP1L3	11721109_a_at
NAP1L3	11721110_s_at
MLN	11753741_a_at
BARX1-DT	
RPL19P21	
HMGB3	11745130_x_at
HMGB3	11754183_s_at
LINC02977	
RIPK3	11751012_a_at
RIPK3	11723020_a_at
RIPK3	11747951_a_at
RIPK3	
RIPK3	11761088_at
FTLP1	
MMP9	11719657_a_at
RANBP3	11746345_a_at
RANBP3	11746343_a_at
RANBP3	11753221_a_at
RANBP3	11746344_x_at
RANBP3	11754017_a_at
RANBP3	
RBM17P4	
VPS13A	11740692_a_at
VPS13A	11731730_a_at
VPS13A	11735399_at
VPS13A	
PLA2G4F	11755074_x_at
PLA2G4F	11734643_a_at
PLA2G4F	
RPL29P12	
SLC12A5-AS1	
PIGCP1	
FKBP1A	11715390_s_at
FKBP1A	11753825_x_at
FKBP1A	11715389_x_at
FKBP1A	11729707_at
FKBP1A	
TRAPPC13	11745069_a_at
TRAPPC13	11734011_a_at
TRAPPC13	11734010_a_at
TRAPPC13	
PABPC5-AS1	
ZNF318	11751843_a_at
ZNF318	11732026_a_at
ZNF318	11753668_x_at
ZNF318	
ZNF318	11721221_at
ZNF318	11721220_s_at
IL13RA1	11727904_s_at
IL13RA1	11727905_a_at
IL13RA1	11727903_a_at
IL13RA1	11750299_a_at
FJX1	11725155_at
FJX1	
CKAP2	
CKAP2	11746634_a_at
CKAP2	11760514_x_at
CKAP2	11723677_a_at
CKAP2	11748248_a_at
CKAP2	11723678_at
ARL14EP-DT	
CBX3P1	
CALCP	
OR4A43P	
NFATC4	11750194_x_at
NFATC4	11750193_s_at
NFATC4	11745676_a_at
NFATC4	11752353_x_at
NFATC4	11747582_x_at
NFATC4	11734672_a_at
NFATC4	11745672_a_at
NFATC4	11744913_x_at
NFATC4	11734966_x_at
NFATC4	11748240_x_at
NFATC4	11754045_x_at
NFATC4	11744912_a_at
NFATC4	11746284_x_at
NFATC4	11734673_a_at
NFATC4	11761234_a_at
NFATC4	11761235_x_at
NFATC4	
LINC02330	
UBTFL9	
TRIM77BP	
OR4C13	11742361_at
GTF2H1	11749493_a_at
GTF2H1	11746625_a_at
GTF2H1	11742757_x_at
GTF2H1	11742758_a_at
GTF2H1	11749494_x_at
GTF2H1	11739041_x_at
GTF2H1	
GTF2H1	11739040_s_at
GTF2H1	11742756_s_at
GLRX5	11721673_at
GLRX5	11721674_s_at
GLRX5	11721675_x_at
GTF2IP11	
BBOX1-AS1	
MC4R	11735468_at
	11738215_a_at
LINC01903	
OR4A46P	
LINC01147	
PPIAP41	
AK7	11733432_at
AK7	
UQCC2	11760173_a_at
UQCC2	11760174_at
UQCC2	11760171_at
UQCC2	11760172_at
UQCC2	11745904_a_at
UQCC2	11760175_at
UQCC2	11756876_a_at
WT1	11730686_a_at
WT1	11730687_a_at
WT1	
SLC4A11	11749107_a_at
SLC4A11	
	11729030_a_at
TMX3	11751701_a_at
TMX3	11762283_x_at
TMX3	11745411_a_at
TMX3	11721730_at
TMX3	11721732_at
TMX3	11721731_a_at
TMX3	
TMX3	11759988_at
DAAM2	11748561_a_at
DAAM2	11724178_a_at
DAAM2	
LINC00642	
PPP1R13B	11742847_a_at
PPP1R13B	
HAUS2	11728819_x_at
HAUS2	11744197_s_at
HAUS2	11728820_a_at
HAUS2	
LINC00345	
TPTE2P3	
KRT17P7	11757241_at
KRT17P7	11757242_x_at
KRT17P7	
	11756086_x_at
BMS1	11746150_s_at
BMS1	11717330_at
BMS1	11717331_x_at
BMS1	11717332_at
MRPS31P4	
SLC6A14P2	
SUGT1	
SUGT1	11754522_a_at
SUGT1	11724281_a_at
TPT1P15	11737289_at
SLC6A14P1	
PPIAP78	
KRT18P56	
ACTBP1	
CCNB3P1	
ZSWIM7	11725195_a_at
ZSWIM7	11755505_a_at
ZSWIM7	11725196_s_at
ZSWIM7	
OR5AW1P	
GZMK	11728560_at
GZMK	
RADX	11758591_s_at
RADX	11723727_a_at
RADX	11723728_a_at
RADX	
	11725725_a_at
	11755655_a_at
MIR648	
RHEBP3	
GUSBP13	
ARL2BPP10	
NBPF22P	11759229_s_at
NBPF22P	11756676_s_at
MIR4280HG	11762606_x_at
MIR4280HG	11762605_at
RPL31P9	
ARSB	11731768_x_at
ARSB	11731767_at
ARSB	11732739_a_at
ARSB	11732740_at
ARSB	
RMC1	11744717_a_at
RMC1	
MIR3159	
HHEX	11722321_at
HHEX	
LDHA	
LDHA	11733021_x_at
LDHA	11756723_x_at
LDHA	11733020_s_at
LDHA	11742116_x_at
HNRNPA1L2	11756086_x_at
DAOA	11752907_a_at
DAOA	11753354_a_at
DAOA	11762765_at
LINC01640	
WHAMMP3	11758086_s_at
WHAMMP3	11754250_s_at
WHAMMP3	11754249_at
WHAMMP3	
CCDC33	
CCDC33	11734081_a_at
CCDC33	11755233_x_at
CCDC33	11752894_a_at
CCDC33	11736912_a_at
RPL21P90	
MIR4764	
SNORA50B	
DUSP8P1	
LARGE-IT1	
LARGE-AS1	
CCSER2	11747708_a_at
CCSER2	11722709_a_at
CCSER2	11744934_a_at
CCSER2	11754427_a_at
CCSER2	11722708_a_at
NOX5	11738821_a_at
NOX5	11745288_a_at
NOX5	11759929_at
NOX5	
CT83	11732935_at
RBM22P4	
OR13K1P	
SUPT3H	11751269_a_at
SUPT3H	11735252_a_at
SUPT3H	
SPANXA2	11731994_s_at
NECAB3	
NECAB3	11718468_s_at
MBNL2	11753046_x_at
MBNL2	11736962_a_at
MBNL2	11754521_a_at
MBNL2	11753045_a_at
MBNL2	11751817_x_at
MBNL2	11754520_a_at
MBNL2	11722767_s_at
MBNL2	11722766_a_at
MBNL2	
RNU6-114P	
MIR651	
SNORA48B	
CENPK	11743530_a_at
CENPK	
MIR4770	
MIR548AX	
RNU6-146P	
RN7SL658P	
GOLGA5	11719387_a_at
GOLGA5	
MIR548AM	
RNA5SP499	
RN7SKP183	
RNU6-133P	
RNA5SP500	
MIR4666B	
MIR6134	
RNU6-641P	
RNU6-591P	
TRMU	11759176_at
TRMU	11761232_at
TRMU	11723887_a_at
TRMU	11744642_a_at
TRMU	11745476_a_at
TRMU	11745218_x_at
TRMU	
TRMU	11761375_a_at
OR4C45	11742631_at
RNU6-49P	
MIR548AJ2	
RNU7-7P	
RNU6-1087P	
RN7SL732P	
MIR3937	
RNU7-164P	
RNU6-1124P	
RNU6-630P	
MIR221	
RNU6-50P	
MIR222	
SNORA11	11715397_x_at
SNORA11	11763915_at
SNORA11	11748489_s_at
RNU6-421P	
MIR532	
MIR188	
MIR500A	
MIR362	
MIR501	
MIR500B	
MIR660	
MIR502	
RNU6-434P	
RN7SL799P	
MIR223	
SNORD3E	
LINC02742	
MMUT	11758888_at
MMUT	11723652_a_at
MMUT	11723653_at
MIR8088	
MIR4536-2	
MIR676	
RNU6-1078P	
RNU6-562P	
MIR4536-1	
RNA5SP509	
RNU6-1044P	
MIR4328	
RN7SL388P	
RNU2-68P	
RN7SL790P	
MIR1321	
RNU6-867P	
RNU2-26P	
RNU6-332P	
RNA5SP510	
MIR548M	
MIR384	
MIR325	
RNU1-112P	
RNA5SP508	
OR4C14P	
MIR361	
RNU6-974P	
RNU6-995P	
NAV2-AS5	
RNU6-345P	
RNU6-493P	
RNU6-394P	
RN7SKP194	
RNU6-309P	
MIR374C	
RN7SL648P	
GPR65	11731669_at
TRAM2	11717507_at
TRAM2	11717505_a_at
TRAM2	11717506_at
RNU6-648P	
RN7SL74P	
AIPL1	
AIPL1	11742226_a_at
AIPL1	11727434_a_at
AIPL1	11727436_x_at
AIPL1	11755988_x_at
AIPL1	11727435_a_at
RRAS2	11757492_s_at
RRAS2	11720721_s_at
RRAS2	11747262_s_at
RRAS2	
MIR545	
SNORA35B	
MIR374A	
MIR421	
MIR374B	
RNU6-555P	
TMEM260	
TMEM260	11727474_a_at
TMEM260	11727475_a_at
TMEM260	11746660_a_at
RN7SL379P	
RNU6-1323P	
ZFAND3-DT	
MIR548AN	
RNU6-154P	
RNU6-207P	
FTH1P5	11757633_x_at
MIR3672	
PDE9A-AS1	
RNU6-1015P	
LINC-ROR	
LINC00322	
MIR1277	
RN7SKP31	
MIR504	
MIR934	
RNU6-3P	
RN7SKP149	
REEP3	11722063_at
REEP3	11722062_at
REEP3	11722064_at
RNA5SP517	
SIK1	11716771_s_at
SIK1	
RNA5SP516	
STK38	11716485_at
MIR514A2	
MIR514A1	
RN7SKP81	
MIR320D2	
RN7SL325P	
CTBP2P3	
MIR892C	
MIR514A3	
MIR890	
RNU6-985P	
MIR888	
MIR892A	
SS18L2P2	
MIR892B	
MIR891B	
RNU1-115P	
MIR510	
RNU6-383P	
MIR891A	
MIR4330	
RN7SKP267	
CYP11A1	11750526_a_at
CYP11A1	11729652_a_at
CYP11A1	
RN7SKP189	
FAM32DP	
RNA5SP525	
RNU6-764P	
MIR513C	
MIR513B	
MIR105-1	
LINC01912	
MIR513A1	
MIR767	
MIR513A2	
MIR105-2	
MIR506	
MIR507	
MIR508	
MIR514B	
MIR509-2	
MIR509-3	
MIR509-1	
RNU6-382P	
NICN2P	
RN7SL785P	
DHFRP1	11719000_x_at
DHFRP1	11749867_x_at
DHFRP1	11747280_x_at
DHFRP1	11747279_x_at
SNORA11C	
BDP1P	
ZIC2	11723191_at
ZIC2	11753245_a_at
LINC01908	
NPM1P49	
RNLS	11748545_a_at
RNLS	11741158_at
RNLS	11732827_a_at
RNLS	
TINCR	
LINC01560	
NUS1P1	11756080_s_at
RBM22P1	
SYN1	11726133_a_at
SYN1	
GNA15-DT	
LINC00554	
NDUFA12P1	
ASNSP3	
