hgnc_symbol	affy_primeview
APOBEC3A	11740441_a_at
APOBEC3A	11732902_x_at
APOBEC3A	11732901_a_at
GARRE1	
	11761012_x_at
DLG5-AS1	
DLG5-AS1	11754480_s_at
TUBGCP5	
RN7SL284P	
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	11728798_x_at
LSM14A	11728797_a_at
LSM14A	11728796_x_at
LSM14A	11750160_a_at
LSM14A	11728795_a_at
LSM14A	11742772_a_at
LSM14A	
KRT40	11738404_s_at
KRT40	11738403_at
GOLGA6L1	11748748_x_at
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	
NOSTRIN	
NOSTRIN	11735764_a_at
MPHOSPH10P5	
KRTAP1-1	11738405_a_at
KRTAP1-1	11753499_a_at
KRTAP1-1	11738406_x_at
	11756031_s_at
KRTAP4-11	11745692_x_at
KRTAP2-5P	
CYFIP1	
KRTAP1-3	11734622_at
KRTAP4-16	
KRT12	11724467_at
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	11729095_at
KRT39	11755944_s_at
	11742658_at
ANKRD18DP	
CNTNAP2	11751912_a_at
CNTNAP2	11747042_a_at
CNTNAP2	11745251_a_at
CNTNAP2	11734956_a_at
RPS17	11744601_x_at
RPS17	11744334_x_at
GOLGA6L22	11758010_s_at
GOLGA6L22	11748748_x_at
SLC25A51P1	
ADH5P4	
AADACL2	11731948_a_at
KRTAP3-4P	
GOLGA8EP	11745490_s_at
GOLGA8EP	11745491_s_at
GOLGA8EP	11747780_x_at
KRTAP2-1	11738938_at
SKA1	11722069_a_at
SKA1	11751569_x_at
	11757088_s_at
METRNL	11745701_a_at
METRNL	11733599_s_at
KRTAP3-3	11759264_x_at
KRTAP3-3	11735841_s_at
KRTAP3-3	11738409_s_at
LINC02066	
	11715155_s_at
KRTAP2-3	11746283_s_at
AADACL2-AS1	
RNU6-821P	
ZNF43	11736804_at
ZNF43	11745375_x_at
ZNF43	11736805_x_at
KRTAP4-12	11735908_a_at
KRTAP1-4	
HERC2P2	11749565_s_at
HERC2P2	11746294_s_at
HERC2P2	
PAXBP1	
	11742373_s_at
ZNF100	11730577_at
ZNF100	
C21orf62	11732648_a_at
FRG1-DT	
CCNYL6	
HERC2P7	
SPATA31E3P	
GOLGA8IP	
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	
MAPK4	
CPEB1	11741104_s_at
CPEB1	11749737_a_at
CPEB1	11749840_a_at
CPEB1	11736860_s_at
CPEB1	11758432_s_at
CPEB1	11741756_a_at
CPEB1	11747864_a_at
CPEB1	
TBCD	11748238_a_at
TBCD	11756928_x_at
TBCD	11744469_a_at
TBCD	11748239_x_at
TBCD	11730262_a_at
TBCD	
	11732649_at
RNA5SP458	
LRRC56	11754686_a_at
	11736898_s_at
MPHOSPH10P9	
CTDP1-DT	
	11737378_s_at
	11754550_s_at
	11754465_s_at
	11756186_s_at
	11756517_x_at
RPS6P22	
LRIG3-DT	
MAFIP	11737378_s_at
MAFIP	11754550_s_at
MAFIP	11754465_s_at
MAFIP	11756186_s_at
MAFIP	11756517_x_at
SMN2	
SMN2	11722657_x_at
SMN2	11719500_s_at
SMN2	11762978_x_at
TUBGCP5	11734434_a_at
TUBGCP5	11722612_x_at
CTDP1	
DECR2	11756642_a_at
DECR2	
MREGP1	
	11756504_s_at
	11759730_a_at
AP2A2	
AP2A2	11741016_a_at
AP2A2	11741017_s_at
AP2A2	11755014_a_at
	11753178_x_at
SNTB2	
RPL4P5	200089_PM_s_at
RPL4P5	11756140_s_at
PHRF1	11737054_a_at
PHRF1	
UTP4	
UTP4	11717511_a_at
SINHCAF	11716746_a_at
SINHCAF	11746081_x_at
SINHCAF	11716745_s_at
SINHCAF	
MAD2L1-DT	
GART	11720968_a_at
GART	11764014_x_at
GART	
ABR	11716686_a_at
ABR	11758096_s_at
ABR	11716687_x_at
ABR	11741077_x_at
ABR	
MEGF11	
RPS5P3	
DNAJC28	11743843_a_at
DNAJC28	11741585_x_at
UGT2A3	11725553_at
UGT2A3	11725552_a_at
UGT2A3	11748816_a_at
B3GNTL1	11733739_a_at
B3GNTL1	
B3GNTL1	11759928_at
IFNGR2	
IFNGR2	11715532_a_at
MUC6	11729321_s_at
MUC6	
UGT2B27P	
MUC20-OT1	
MUC20-OT1	11761190_x_at
MUC20-OT1	11761017_x_at
MUC20-OT1	11747729_s_at
CDH12P2	
PMCHL2	11750941_at
PMCHL2	11750888_a_at
PMCHL2	11745704_s_at
UGT2B29P	
UGT2B10	11736454_x_at
PRB1	11715185_x_at
PRB1	11735868_x_at
RAB11FIP3	11732263_a_at
RAB11FIP3	11741472_a_at
RAB11FIP3	11741473_a_at
RAB11FIP3	11759083_at
RAB11FIP3	11746335_a_at
RAB11FIP3	
GTF2H2	11753453_s_at
GTF2H2	11753672_s_at
GTF2H2	11749979_s_at
GTF2H2	11754488_s_at
GTF2H2	
RNU6-1025P	
UGT2B15	11741266_x_at
UGT2B15	11741267_x_at
UGT2B15	11741265_s_at
SDHAP2	11761190_x_at
SDHAP2	11761017_x_at
SDHAP2	11747729_s_at
KRTAP5-6	11738600_at
KRTAP5-1	11738926_x_at
KRTAP5-1	11738925_at
KRTAP5-4	11738891_at
KRTAP5-5	11751551_x_at
MT2P1	
FAM99A	
DIS3L-AS1	
TMPRSS11E	11736715_s_at
TMPRSS11E	11736716_s_at
TMPRSS11E	
LINC02708	
KRTAP5-AS1	
TMEM50B	
TMEM50B	11756570_a_at
TMEM50B	11717523_x_at
TMEM50B	11758779_at
TMEM50B	11717522_at
NDUFA6	11718765_a_at
DUSP8	11755931_a_at
DUSP8	11758143_s_at
DUSP8	11758684_x_at
DUSP8	
GNG5P1	
TCF20	11732347_a_at
TCF20	11732348_a_at
TCF20	
FAM99B	
IFITM10	11764253_s_at
KRTAP5-3	11738568_at
KRTAP5-2	11750368_a_at
KRTAP5-2	11735639_x_at
KRTAP5-2	11735638_a_at
KRTAP5-2	11750369_x_at
SMDT1	11729148_a_at
SMDT1	11729147_a_at
SMDT1	
YTHDC1	11717001_s_at
YTHDC1	11717002_a_at
YTHDC1	11740514_a_at
YTHDC1	
LINC00235	11757256_at
CAPN15	
NDUFA6-DT	
OLA1P1	11730189_x_at
OLA1P1	11730188_s_at
CYP2D7	11733907_s_at
CYP2D7	
LINC02982	
NKD2	11735421_a_at
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L9	11745580_x_at
GOLGA6L17P	
	11744601_x_at
	11749737_a_at
	11749840_a_at
	11741756_a_at
	11747864_a_at
	11744334_x_at
CYP2D8P	11733907_s_at
GOLGA2P10	
SLC12A7	11753256_a_at
SLC12A7	11757977_s_at
SLC12A7	
LMNTD2	11755199_a_at
LMNTD2	11735550_x_at
LMNTD2	
UBE2Q2P6	
TIMM22	11743624_a_at
ADAMTS7P1	
NXN	
MUC4	
GOLGA6L10	
MIR210HG	
LINC00824	
RNH1	11756860_x_at
RNH1	
UBE2Q2P2	
	200032_PM_s_at
	11758357_x_at
	11715237_s_at
MUC20	
KIF26B	11761733_at
KIF26B	11749933_a_at
KIF26B	11755841_a_at
KIF26B	11747141_a_at
RPL7AP55	
OR10A3	11738576_at
OR5P2	11738497_at
OR5E1P	
OR5P3	11738927_at
OR10A6	11743216_at
NLRP10	11737372_at
NLRP10	
KIR3DL2	
SERF1B	11757668_s_at
SERF1B	
SERF1B	11728888_s_at
SERF1B	11753580_s_at
SERF1B	11728889_s_at
TARM1	11738670_at
CYP2D6	11733907_s_at
CYP2D6	11733908_x_at
MBOAT7	11737839_a_at
MBOAT7	11730612_a_at
NAIP	11736899_x_at
NAIP	11736898_s_at
NAIP	
KIR2DL3	
CNOT3	11748662_a_at
CNOT3	11748663_x_at
CNOT3	11722624_a_at
KIR2DS1	
DRD4	11742292_a_at
DEAF1	11725408_a_at
DEAF1	
	11719875_x_at
CLK2	11747804_s_at
CLK2	11747803_a_at
CLK2	11719495_a_at
CLK2	
OR2AS2P	
OR2T6	11742628_at
OR2T2	11738726_s_at
	11733907_s_at
	11733908_x_at
OR2T4	11742516_at
RDH13	11727480_a_at
RDH13	11734806_a_at
IRF7	11718916_a_at
IRF7	
OR2T7	11742559_at
