hgnc_symbol	agilent_gpl6848
MT-TF	
MT-RNR1	A_24_P179339
MT-RNR1	A_24_P42453
MT-TV	A_24_P179339
MT-TV	A_24_P42453
MT-RNR2	A_23_P331028
MT-RNR2	A_24_P179336
MT-RNR2	A_24_P179339
MT-RNR2	A_24_P182122
MT-RNR2	A_24_P42453
MT-TL1	A_23_P331028
MT-TL1	A_24_P182122
MT-ND1	A_23_P331028
MT-ND1	A_23_P431853
MT-ND1	A_24_P182122
MT-TI	A_23_P331028
MT-TI	A_23_P431853
MT-TQ	
MT-TM	A_23_P331028
MT-TM	A_23_P431853
MT-ND2	A_23_P431853
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	A_23_P301925
MT-CO1	A_23_P402751
MT-TS1	
MT-TD	A_23_P402751
MT-CO2	A_23_P337726
MT-CO2	A_23_P402751
MT-TK	A_23_P337726
MT-ATP8	A_23_P337726
MT-ATP6	A_23_P337726
MT-ATP6	A_23_P360209
MT-CO3	A_23_P360209
MT-TG	A_23_P360209
MT-ND3	A_23_P315252
MT-ND3	A_23_P360209
MT-TR	A_23_P315252
MT-TR	A_23_P360209
MT-ND4L	A_23_P315252
MT-ND4	A_23_P315252
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	A_23_P406928
MT-ND6	A_23_P317056
MT-TE	A_23_P317056
MT-CYB	A_24_P557534
MT-TT	A_24_P557534
MT-TP	
	
	A_23_P103454
	A_32_P171181
KIR2DL3	
KIR2DL1	
KIR3DP1	
LILRP1	
KIR3DL2	
LILRP2	A_23_P27781
KIR2DS4	A_23_P502590
KIR2DS4	A_24_P87746
INTS3	A_23_P126757
INTS3	
PCMTD2	
KIR2DS5	
KIR2DS4	A_23_P78840
LINC02109	
KIR2DS3	
KIR2DL4	
KIR2DP1	
NCR1	
KIR2DL2	
KIR2DL2	A_23_P50571
KIR3DL2	A_23_P101636
KIR3DL3	A_23_P370574
KIR3DL1	A_24_P117147
KIR3DL1	
FCAR	
FCAR	A_23_P208768
OPRL1	A_23_P345564
NPBWR2	A_23_P40334
KIR2DL1	A_23_P50571
KIR2DS2	
KIR2DS2	A_23_P50571
MYT1	
MYT1	A_23_P210835
KIR3DL3	
KIR2DL5B	A_24_P5890
KIR3DS1	A_24_P117147
	A_23_P149441
KIR2DL5A	A_24_P5890
FCAR	A_24_P185516
KIR2DS1	A_23_P78840
KIR3DL1	A_23_P78840
KIR2DS1	
KIR3DS1	
KIR2DS2	A_23_P130815
SBNO2	A_23_P5273
SBNO2	
PTCHD3	
DNAH10	A_32_P228268
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	
