hgnc_symbol	agilent_cgh_44b
VSTM1	
OR2W1	
NOP56P1	
OR14J1	
TRIM27	
GP6	
C14orf180	
MCCC2	
PKLR	
NLRP2	A_14_P131041
LILRA4	
HCG14	
HRAS	
RPL13P	
ZNF311	
BDP1	
BDP1	A_14_P109122
PSMB1	
	A_14_P136996
FAM120B	A_14_P108993
FAM120B	
LENG1	
LINC01623	
ICE2P1	
LINC01060	
LINC01060	A_14_P133227
LINC01015	
OR2B3	
LAIR1	
MTX1P1	
RPL7AP27	
SCAMP3	
LST1	
LST1	A_14_P103169
DENND11	
LMNTD2-AS1	A_14_P108535
RASSF7	
NLRP7	
RPS9	
PCGF7P	
ZNF729	
ZNF676	
GBA	
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	
LILRA2	A_14_P124949
SSBP1	
SSBP1	A_14_P120224
DLL1	
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
TFPT	
OR2J3	
HLA-H	
MICB	A_14_P200176
MICB	
LINC02197	
DEFB104B	
AGK	
AGK	A_14_P134568
SERF1A	
DEFB105B	
PRPF31	A_14_P130949
PRPF31	A_14_P135834
PRR23D1	
WEE2	
WEE2	A_14_P138244
DEFB4B	
FAM90A7	
LILRB1	
DEFB103B	
DEFB108C	
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	
HCN3	
DEFB107B	
OR2U2P	
TRIM10	
FAM90A6P	
SPAG11B	
SCT	
FAM189B	
PTDSS2	
DEFB106B	
MICG	
RNF39	
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	A_14_P125975
TNF	A_14_P110091
OR11A1	
LINC03015	
PRAMEF5	
FAM20C	
MOG	
MOG	A_14_P136491
LINC03014	
PRAMEF22	
PRAMEF18	
BTG3-AS1	
BTG3	
PRAMEF8	
LILRA5	
HNRNPCL2	
RPS17P1	
OR5V1	
PRAMEF25	
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HNRNPCL4	
PRAMEF33	
PRAMEF9	
LY6G6F	A_14_P100155
MYL6P5	
TMEM183AP1	
PSORS1C1	
HLA-T	
HLA-DRA	
PPP1R11	A_14_P120343
BTNL2	
TOMM40P4	
CDRT15P3	
RPL7P4	
RPL7AP7	
LTB	
CEACAM4	
LINC01556	
TMPOP1	
PSMB9	
PSMB9	A_14_P109897
CEACAMP3	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	
LILRA3	
GOLGA6L24P	
FAM189A1	
ATP23	
