hgnc_symbol	agilent_cgh_44b
ATP6V1C1	
YDJC	
HMGN1P30	
MIR122	
MIR3591	
COMP	
ALPK2	
NAA11	
GZMA	A_14_P106239
DPM1	
MTND6P3	
EVC2	
ZCCHC10	
LINC02836	
LINC01277	
CCDC116	A_14_P137643
INE2	
SDF2L1	A_14_P136233
SDF2L1	A_14_P200598
AP1S2	
SNORA108	
RPL9P31	
BCLAF1	
MALT1-AS1	
MRPL37P1	
MIR301B	
MIR130B	
RNU6-219P	
VN1R21P	
SERINC2	A_14_P202126
SERINC2	
LINC01926	
KCNG1	
RNU2-69P	
MEIKIN	
OACYLP	
PPIL2	
PPIL2	A_14_P103693
PPIL2	A_14_P115710
NPRL2	
SNORA79B	
BHMT	
WFDC13	
SNORD126	
RPPH1	
MIR3617	
SPINT4	
TEP1	
INO80C	
ZNF638	
ZNF638	A_14_P113622
ZNF638	A_14_P112363
ZNF638	A_14_P111749
CTSA	A_14_P119540
CTSA	
CTSA	A_14_P135478
NCALD	
YTHDC2	A_14_P131432
YTHDC2	
XAF1	
XAF1	A_14_P138656
RNU5F-7P	
SETP15	
PTPRM	
PTPRM	A_14_P113917
PTPRM	A_14_P100566
APEX2	A_14_P100164
GLIPR2	A_14_P130375
ALAS2	
BNIP3P36	
AJAP1	
AJAP1	A_14_P127161
AJAP1	A_14_P201527
CYP4F3	A_14_P106042
CYP4F3	
CCIN	A_14_P103078
RNU4-53P	
NAIF1	
APRG1	
APRG1	A_14_P200086
PTAFR	
KCNN2	
KCNN2	A_14_P120300
KCNN2	A_14_P135403
SLC25A25-AS1	
HNRNPD	
LCN2	A_14_P100877
LCN2	
NKAIN1	
ARF1P3	
TMEM123-DT	
ANXA13	
RHOD	
KCTD6	
KCTD6	A_14_P103310
KCTD6	A_14_P138263
KCTD6	A_14_P128347
TEKT4P2	
SNRNP40	
RANP7	
PRAC1	
RAB5A	A_14_P110757
RAB5A	
RAB5A	A_14_P114610
YPEL1	
LINC02711	
SCARNA9	
AIG1P1	
FTH1P9	
LINC02122	
HDGFL3P1	
PAGE2B	
CASC3	
LRRTM2	
PRSS23-AS1	
FEM1C	
RN7SL280P	
RAB39A	
SLC25A33	A_14_P202076
EGFLAM-AS3	
ZNF74	
ZNF74	A_14_P131620
PAGE2	
WDR70	A_14_P202220
WDR70	
LINC01424	
LINC01424	A_14_P113604
RB1CC1	
LINC01684	
MED17	
MED17	A_14_P119561
MED17	A_14_P108974
BBLN	
MTCO1P52	
MTND2P24	
MTND1P30	
GJB3	
CCNYL6	A_14_P129858
VN1R90P	
NDUFAF4P3	
RAD54L2P1	
FLNA	
TRUB2	
GLB1	
LINC01756	
ABCC13	
ABCC13	A_14_P138509
PRR15L	
DNAJC16	
DNAJC16	A_14_P104862
ATAD5	A_14_P108799
ATAD5	A_14_P118653
DUX4L21	
COQ4	
FOXI2	
DMBT1L1	
LINC01858	
HMGB1P29	
ZNF675	
RNU6-225P	
RPL3P6	
DUX4L51	A_14_P100395
KLHL22	
PAIP1	
SLC18A2	
DDA1	
CPA6	
NR1D1	
L3MBTL4	
SLC27A4	A_14_P120344
ATL2	
RNY1P9	
RN7SL812P	
KRT18P5	
TM6SF2	
LIN54	
UTP6	
RPS10P18	
ABRAXAS2	
CYCSP23	
ODF1	A_14_P202009
ODF1	
	A_14_P115891
LINC00320	
SUGP2	
CABIN1	A_14_P106573
CABIN1	A_14_P109233
NDUFA5P2	
RPS10P16	
MED30	
MED30	A_14_P200915
TMSB4XP4	
SHTN1	
URM1	
URM1	A_14_P103056
RNA5SP382	
KLHL33	
RPS20P20	
OSGEP	
ANO10	
RDH10	
HEPHL1	
MIR219A2HG	
MIR219A2	
MIR219B	
	A_14_P112687
ODF2-AS1	
GATA6	A_14_P123225
GATA6	
FAM205C	
NCOA5	
SLC38A2	
GLULP4	
YWHAZP6	
DNAJB5-DT	
WASHC5	
SYF2P2	
RNU6-984P	
	A_14_P126356
HSPE1P22	
MTATP6P29	
MTCO3P29	
MTND3P23	
MTND4LP7	
MTND4P15	A_14_P112243
LINC00475	
ST8SIA5	
VSTM5	
RPL13P2	
EYA3	
SAMHD1	
IL10RB-DT	
BEND3P2	
PRSS47P	
SNX24	A_14_P100482
SNX24	
URB1-AS1	A_14_P110471
TRIM49	
LINC00205	A_14_P124118
LINC00205	
MIR3651	
SNORA84	
FRGCA	
NOL8	
LINC01426	A_14_P133323
LINC01426	
GPR160P2	
B4GALNT2P1	
SKAP1-AS1	
AOC2	A_14_P129472
TRIM8-DT	
GPR26	A_14_P133308
BNIP3P35	
ARHGAP28	
ARHGAP28	A_14_P129514
BNIP3P16	
ATRNL1	A_14_P112358
ATRNL1	
BRWD1-AS2	A_14_P132704
	A_14_P137144
BNIP3P8	
RPL34P33	
	A_14_P103248
CBR3-AS1	
HOXB4	
LINC01859	
NPM1P10	
FOLH1B	
DAAM2-AS1	
APEX1	A_14_P110066
APEX1	A_14_P114242
APEX1	A_14_P102533
APEX1	A_14_P133179
APEX1	
TCAP	A_14_P107703
TCAP	
GAPDHP73	
CDC42EP3P1	A_14_P120848
LRRC37BP1	
LINC02876	
RPL7AP10	
ADGRG6	A_14_P116310
ADGRG6	
PCNT	A_14_P118246
PCNT	
PCNT	A_14_P138324
PCNT	A_14_P137030
PCNT	A_14_P136470
ANKRD40	
RFESD	
XKR4-AS1	
THAP9	
MEF2B	
RAB38	
LINC02845	
RGS20	
PPP4R3B	
CDK5RAP3	
GAL	
ZNRF3-AS1	
KREMEN1	A_14_P110852
KREMEN1	
LINC02627	
LIX1	
LNX1	
GNG10P1	
STK32C	
	A_14_P132800
	A_14_P139285
ARHGAP26-IT1	
WTAPP1	
	A_14_P125681
TRPC6P9	
ASS1P10	
LRRC57	
TRPC6P2	
RNU6-810P	
RNU6-1219P	
MMP7	
PRDM6-AS1	
EMID1	
EMID1	A_14_P113966
AK6P2	
SLCO4C1	
CISTR	
LINC02395	
SLC35F2	
RPL23AP60	
DNAAF4	
ITIH4	
ST8SIA4	
UROS	
APOOP4	
LARP1BP1	
GK2	
RELCH	A_14_P123649
RELCH	
SQLE-DT	
MTCO1P4	A_14_P117636
PDCL3P2	
RPL30P16	
H2AZP2	
NUDT9	
NUDT9	A_14_P118699
RNF19A	
VDAC1	
ZNF593	
LACRT	
MMP20	
PSMC1P10	
H3P5	
ZNF431	A_14_P112431
ZNF431	
RPL7P11	
SLC1A4	A_14_P132061
FABP3	
AQP5-AS1	
CLUHP8	
TRMT10BP1	
TMED7	
RAB2A	A_14_P201746
RAB2A	A_14_P117424
RAB2A	
NTF3	
NTF3	A_14_P138442
LINC02756	
EPHA2	
TAF11L6	
MINAR2	
RPS14P8	
RPS12P10	
MRPS36P5	
RELT	A_14_P201861
RELT	
IPO8	
RPL7L1P4	
ERAP2	
ERAP2	A_14_P121724
ERAP2	A_14_P100960
SUPT4H1P1	
LINC01291	
MTND5P32	
	A_14_P119217
LINC02613	
FAM219B	
LINC00575	
ERVK-28	
RHBDD3	
BNIP3P33	
PRDM8	
PRDM8	A_14_P122749
LINC02780	
ARHGEF19	
GMEB2	
BNIP3P20	
LINC01233	
USP34	
PTCD2P1	
SETP1	
VN1R91P	
BNIP3P29	
RNASE9	
SMILR	
ZNF98	
PRXL2AP2	
STK3	
CARD18	
MTCYBP41	
ZNF708	
KAZN-AS1	
TMEM135	A_14_P123743
TMEM135	
EWSR1	
EWSR1	A_14_P115003
EWSR1	A_14_P113811
EWSR1	A_14_P119490
GPR153	
RACGAP1P1	
FUT9	A_14_P119942
FUT9	
BNIP3P22	
STMN3	
GPD1	
GPD1	A_14_P135604
HDDC2	
LNX1-AS1	
BNIP3P40	
LINC00661	
KAZN	
KAZN	A_14_P200630
SMR3A	
TNFRSF6B	
	A_14_P115099
STAP1	
ARFRP1	
OR6S1	
RNASE4	
ZNF532	
RMDN3	
BNIP3P38	
TBCAP3	
ZNF730	
ATP10D	A_14_P119641
ATP10D	
EGILA	
RANBP20P	
SGO1-AS1	
EDDM3DP	
NKAIN2	A_14_P106391
NKAIN2	A_14_P131884
NKAIN2	A_14_P124524
NKAIN2	
EDDM3A	A_14_P110291
EDDM3A	A_14_P200367
ZNF849P	
IPO5P1	
EDDM3B	A_14_P200368
EDDM3B	A_14_P107416
RERE-AS1	
ADI1P3	
CALHM6	
LINC00606	
ZNF506	
CHCHD2P6	
RNASE6	A_14_P200369
ICMT-DT	A_14_P120489
EEF1A1P17	
NCKAP5L	
CLTRN	
TMEM244	
ATP6V0D2	
ATP6V0D2	A_14_P135813
ATP6V0D2	A_14_P110491
RNASE1	
ITIH1	
DHFRP6	
TNFRSF1B	
TNFRSF1B	A_14_P200780
TARID	
RPL10	A_14_P200625
RPL10	A_14_P126601
RPL10	
	A_14_P201073
BMP5	
RPL35AP16	
RNASE2	A_14_P115252
ZNNT1	
SNX2	A_14_P135596
SNX2	
RPA2P3	
HAPLN4	
TRPC6	
NACAP10	
RN7SL189P	
LINC02156	
SLC39A2	A_14_P136980
SLC39A2	A_14_P200371
	A_14_P136967
	A_14_P123892
FAM136FP	
	A_14_P135520
LINC02566	
RPL34P34	
FAM83B	
GOLGA2P9	A_14_P120335
GOLGA2P9	
DUX4L27	
KCNQ3	
FCF1P5	
RAB32	A_14_P103113
ABI3	A_14_P117855
ABI3	
COL10A1	
MIR6717	
DPY19L3-DT	
TPPP2	A_14_P127454
MTDHP3	
SHMT2	A_14_P122852
SHMT2	
UQCRFS1-DT	
ZNF725P	
HMGN2P17	
TMEM51-AS2	
ZNF728	
MOXD1	
LINC01226	
VN1R83P	
LINC01532	
ZNF444P1	
PRDX4P1	
NPM1P41	
SCAMP5	A_14_P109188
SCAMP5	
UBE4B	A_14_P113054
UBE4B	A_14_P124250
UBE4B	
RNASE13	
PPBPP1	
BNIP3P37	
RNASE7	A_14_P111449
RPL36AP51	
TMPRSS11D	
RPS2P48	
C18orf32	
WFIKKN2	
WFIKKN2	A_14_P132775
RNASE8	A_14_P106885
BRI3BPP1	
TSHZ3	
ASCC3	
SMC1A	
ARHGEF40	
C10orf120	
MMD	
TSHZ1	A_14_P130772
TSHZ1	
DUX4L11	
SLC27A1	
BUB3	A_14_P133496
BUB3	A_14_P201360
BUB3	
APCDD1	
ZGPAT	
SLC9A6	
SLC9A6	A_14_P135399
YAP1	A_14_P102030
YAP1	
FAM86MP	
CCDC96	
ADH1B	
LINC02039	
UBE2Z	
RPL26P15	
NAPG	
NAPG	A_14_P123673
OXSR1	
RPS20P9	
ETAA1	A_14_P102000
PPIAP86	
SELENOTP2	
BASP1-AS1	
SOD1P3	
TRAPPC2P2	
PGAM1P13	
RPS4XP20	
LINC01603	
STK32A	
CENPP	A_14_P135247
CENPP	A_14_P110720
CENPP	
TOX	
ZFP36L2	
RPS20P10	
OGN	
MTND4P25	
RPS15AP15	
RPL27P5	
USP21P2	
ASAP1	
PDCD2L	
PDCD2L	A_14_P138891
LBH	A_14_P131614
LBH	
RPL5P33	
TMEM51-AS1	
SP6	
HOXB-AS1	
PLA2G5	
CYP4F23P	
CD207	
RPL32P32	
HOXB-AS4	
LINC01887	
LIME1	
COA3	
PPP2R2C	
MIX23P1	
DNAAF10	
NDUFB8P2	
GRK5-IT1	
PMM2P1	
PPIAP58	
FANK1-AS1	
ASPN	
AK3P4	
LINC01533	
GNGT2	
VTRNA2-1	
CTBP2	
KIAA0895LP1	
MIR6788	
HSPD1P18	
RHOBTB3	
RHOBTB3	A_14_P127410
RHOBTB3	A_14_P127266
SOCS6	
LINC01834	
PTPRU	A_14_P105567
PTPRU	
VN1R92P	
CHST8	
VENTXP7	
RNU6-120P	
EXOGP1	
GREB1L-DT	
ESCO1	
SLC2A4RG	A_14_P109875
SLC2A4RG	
UBTFL2	
MIR4670	
IPPK	
MEIS1-AS3	
RPL21P37	
KDM2A	A_14_P127433
KDM2A	A_14_P108928
KDM2A	A_14_P131974
KDM2A	
TRABD2A	
ZNF723	
ALDH1A2-AS1	
COPZ2	
LINC02524	
ZNF219	
PPP1R14C	A_14_P120512
PPP1R14C	A_14_P103257
MYZAP	A_14_P135224
MYZAP	
MYZAP	A_14_P119877
LINC02064	
SNRPD1	
UGT2B28	
	A_14_P122262
ABHD3	
RPLP0P6	
ST6GALNAC2P1	
FNDC1-IT1	
ZBTB46-AS2	
MTND5P27	
ZBTB46-AS1	A_14_P104692
	A_14_P104181
EVA1A	
LINC02057	
SLC47A1P1	
DDX43P1	
KIF27	
MTND5P12	
TUBB4BP7	
HMGA1P2	
EYS	
CKAP2P1	
RNU6-252P	
OR5AU1	
PACRGL	A_14_P135328
PACRGL	
PACRGL	A_14_P111948
CTNNA1	
CTNNA1	A_14_P110242
CTNNA1	A_14_P104294
H3P42	
SMARCE1P3	
MIR320C1	
DMKN	
LINC00641	
KDSR	
SUPT16H	
BHLHE22	A_14_P130061
ABCC3	
ABCC3	A_14_P124526
ABCC3	A_14_P127739
HNRNPLL	
MAL2	
MAL2	A_14_P116326
NDUFB9P3	
KCNB2	A_14_P138987
KCNB2	A_14_P112913
BTF3P12	
FAM91A1	
YBX2P1	
CLUHP5	
	A_14_P116214
C10orf88	
RASL10A	
SNORD125	
ARMS2	
RFPL4AP6	
MIR4329	
RN7SL266P	
USP3-AS1	
RFPL1S	
ATF4P1	
FAM223B	
IKBKGP1	
OR3B1P	
RFPL1	A_14_P130110
MID1IP1-AS1	
PNKDP1	
C9orf64	
RNA5SP514	
EDRF1	
EDRF1	A_14_P122690
STK26	A_14_P113118
STK26	
NEFH	A_14_P131171
NEFH	A_14_P121140
SNORD9	
ANG	A_14_P123738
ANG	A_14_P123754
ANG	A_14_P106455
ANG	
CHRNA5	
THOC5	
HNRNPK	
HMGB3P26	
VPS4B	
RPSAP5	
RPL10AP1	
TRMT61A-DT	
TRMT61A	
RNU7-160P	
	A_14_P133764
	A_14_P106466
RNU4-68P	
KLC1-AS1	
DCAF13P3	
XRCC3	
GLS2	
TMCC1P1	
IGDCC3	
C1GALT1P3	
SLA	
C3orf18	
HMGA1P7	
MTND6P25	
RPSAP42	
RFPL4B	
SERPINB5	A_14_P110320
SERPINB5	A_14_P124022
SLN	
RPS3AP23	
LINC01828	
ARHGAP42-AS1	
WDR61	
PNO1	A_14_P123500
PNO1	
EFHC1	A_14_P118897
EFHC1	A_14_P129987
EFHC1	
EFHC1	A_14_P137575
EXPH5	
ATP5MC1P6	
SMIM4	
BCL2	
ZMYM6	
ADGRA3P1	
ZNF652P1	
TUSC2	
ANKRD62	
PPIAP64	
LINC02030	
AGKP2	
RAP2C	
PNPT1	
RNF7P1	
PTPRG	
PTPRG	A_14_P136965
PTPRG	A_14_P102143
PTPRG	A_14_P120957
PTPRG	A_14_P201193
RNU6-324P	
SDHDP1	
PMM2P2	
PLP1	
PLP1	A_14_P110664
PLP1	A_14_P125758
LINC02300	
MIX23P3	
EIF4A1P12	
BTF3P2	
PPIAP56	
PDGFD	
FOXG1-AS1	
CIDEA	
FTLP18	
GJB5	
FOXG1	A_14_P133593
LINC02282	
DUX4L10	
LINC02281	
RPL15P13	
AGO4	A_14_P124406
AGO4	
TCERG1L	
TGFB3	
LINC02715	
LINC02019	
MED28P5	
OSBPL9P3	
CUL5	A_14_P137105
CUL5	
ZDHHC3	
RNU6-170P	
TUBB6	
GRK5	
TGFB3-AS1	A_14_P110908
CRABP1	
RPL13P6	
LBHD2	
LINC00677	
CDCA8	A_14_P107538
TNFAIP2	A_14_P129243
TNFAIP2	
UACA	
TLE1P1	
AP1M2P1	
FRMD8P1	
ADD3-AS1	
CPLANE2	
NDUFB4P11	
NONO	A_14_P111892
NONO	A_14_P104844
NONO	
NONO	A_14_P106329
PPIAP38	
TRAF6P1	
DUX4L12	
HMGB3P8	
RPL21P12	
EDRF1-DT	
GCSHP2	
LINC00605	
ATG16L2	
ZBTB8B	A_14_P108189
ZBTB8B	A_14_P104664
RPL21P13	
RAP2CP1	
NIP7P1	
EIF5-DT	
PHACTR2P1	
RPL22	
EIF5	
EIF5	A_14_P114933
STIMATE-MUSTN1	
	A_14_P103607
WNT8B	A_14_P138543
NIPSNAP1	
RPS26P35	
PREX2	A_14_P116881
PREX2	A_14_P111086
PREX2	A_14_P130275
PREX2	A_14_P110140
PREX2	
BUB1P1	
ZNF488	A_14_P118358
ZMYND10-AS1	
SALL4P5	
RBM27	
ILF2P1	
ITGA3	
ITGA3	A_14_P114385
PDE12	A_14_P126614
PDE12	A_14_P121474
DUX4L22	
LRRTM4-AS1	
DCD	
DUX4L13	
RASSF1-AS1	
DLEC1P1	
ELOBP3	
RPS26P39	
CCDC172	
	A_14_P133213
	A_14_P129997
	A_14_P135663
SIX2	
RNF207	
RNF207	A_14_P131534
RNF207	A_14_P131305
RNF207	A_14_P124191
MIR7-1	
HNRNPK-AS1	
MLECP1	
SETBP1-DT	
MIR4319	
NF2	A_14_P131295
NF2	A_14_P115280
NF2	
LINC01815	
RGS10	
PBRM1	
SIX3	
TESK1	
TESK1	A_14_P128330
C18orf15	A_14_P139542
RPL19P1	
LDLRAD4-AS1	
CPXM1	
TPT1P11	
MIR5190	
TUBB8P4	
BTBD7P2	
MRPL35P3	
SLC35F6	A_14_P132129
SLC35F6	
MIR3663HG	
SNX18	A_14_P108174
SNX18	
MIR4526	
RPAP3	
NRG3	
FAM210A	
SDK1-AS1	
UNCX	
LINC02810	
FTH1P1	
PAX7	A_14_P101490
PAX7	
GET4	
GET4	A_14_P137955
C20orf141	
C20orf141	A_14_P121621
GTF2H2B	
TMEM239	
IFITM3P9	
PCED1A	
RN7SL362P	
RPL21P30	
RNMT	A_14_P129075
RNMT	A_14_P101823
RNMT	
POLE4	
POLE4	A_14_P202196
POLE4	A_14_P137080
VAX1	
UGT2B7	
MIR4667	A_14_P128330
XRCC6P1	
RMRP	
EGR4	
INPP5F	A_14_P106058
INPP5F	A_14_P123954
INPP5F	A_14_P124636
INPP5F	
CCDC107	
EXTL1	A_14_P105172
EXTL1	
KRT126P	
SNORA28	
LINC02279	
FUNDC2P2	
	A_14_P110255
MIR3173	
CLMN	
INTS1	
KRT76	
COLEC10	
COLEC10	A_14_P106637
COLEC10	A_14_P202251
REG3G	
CASZ1	
MTND2P17	
GSX2	
CDK5P1	
MED23	
COMMD4	A_14_P134408
COMMD4	
MYC	A_14_P123915
MYC	A_14_P128991
MYC	A_14_P138867
MYC	A_14_P137636
ARHGEF39	
RPS3P6	
GLYCAM1	
VPS16	
VPS16	A_14_P103913
MTND5P4	
ETNK1-DT	
ZNF970P	
SSBL3P	
LINC02378	
ADH6	
GAPDHP44	
NF1P12	
LINC02448	
LINC02461	
CARS1P2	
MIR30DHG	
RN7SL22P	
TBC1D31	A_14_P114608
TBC1D31	A_14_P137564
TBC1D31	
TBC1D31	A_14_P113384
TPM2	
CPNE8	
REG1A	
PDCL2	
PPP2R1B	
HNRNPA3P7	
AGMAT	
LINC02292	
THG1L	A_14_P126407
THG1L	A_14_P123343
CEND1P1	
EMILIN2	A_14_P119106
EMILIN2	
SMARCE1	
CHORDC1P4	
ADAMTS3	
TAF9BP2	
GEMIN6	
CWF19L1	
FAAP20	
SNRPCP4	
RADIL	
RNU7-25P	
MYL12A	
LINC02280	
MIR4710	
SIVA1	A_14_P109848
SIVA1	
LINC01809	
SMIM7P1	
SEPTIN14P5	
LINC01126	A_14_P117889
CLEC4F	
LINC02103	
	A_14_P136945
GJD4	
MTCO1P24	
PELO	A_14_P118230
PELO	A_14_P124515
TRUB1	
EIF2AK1	
RPL23AP59	
PANK3	
ADD3	A_14_P103351
ADD3	
ASB3	
	A_14_P117688
ZBTB42	
RNU4-22P	
JAKMIP2	
AQP5	A_14_P129916
MANBAL	
MYL12-AS1	
TNFAIP8L3	
MYL12B	
SLC9B2	
ZC3H14	
ZC3H14	A_14_P137136
SOX5-AS1	
DNALI1	A_14_P104522
DNALI1	A_14_P139721
DNALI1	A_14_P137553
DNALI1	
SCAMP2	
TCF15	
BCAS4	
RPL22P16	
CELA1	
RRAGC	
RNU6-857P	
ZFAND2A	
DSC3	
TLN1	
SPATA25	
DBNDD2	A_14_P121631
RPL14P1	
HSPD1P4	
SPCS2P4	
GRIK3	
LINC02840	
TFAMP2	
UNC93B2	
USP2-AS1	
PFKM	
PFKM	A_14_P126910
ALG1L5P	
TBC1D32	
MIOS	
DSC1	
MTND5P13	
FTLP10	
MTND6P7	
LINC01217	
TMPRSS5	
DNMT3AP1	
TADA2B	
EPAS1	
PLA2G2D	
ATP5F1EP1	
SNUPN	
PARM1	A_14_P201076
YRDC	
C20orf204	
OR7E59P	
TRIB3	A_14_P102397
TRIB3	
TACR3	
HNRNPFP1	
CD24P1	
GUCA2B	
DSG1	A_14_P119744
DSG1	
GSTCD-AS1	
PRKG2-AS1	
SRMS	
PER3P1	
CDS1	A_14_P131529
CDS1	A_14_P128336
MIR6852	
CREB3	A_14_P200251
CREB3	A_14_P135440
CREB3	A_14_P121067
MEOX2	
DUSP15	
CAMKMT	
CAMKMT	A_14_P128645
CAMKMT	A_14_P131661
HSPA8P8	
WASHC5-AS1	
FAM20C	A_14_P200939
ZFPM2	
ZFPM2	A_14_P126272
ZFPM2	A_14_P115395
RNU6-167P	
PSMA8	A_14_P202288
PSMA8	A_14_P110621
MIR6853	A_14_P135440
MIR6853	A_14_P121653
GBA2	
PABPC1P7	
CPXM2	
FOXK1	
RAB11FIP5	
BANK1	
BANK1	A_14_P133965
BANK1	A_14_P124449
BANK1	A_14_P134033
C7orf50	
HSPA5P1	
LHFPL2	
RPA3P2	
TAAR6	A_14_P200202
TAAR6	A_14_P102270
LINC02523	
RPSAP74	
FKBP1C	
PSMB2	
LINC02237	
PLN	A_14_P201133
MAL2-AS1	
MAN1A1	
WDR72	
LINC01608	
ZHX3	
STK10	
ANAPC1P2	
PPP4R1	
GPR158	
FTH1P26	
HIVEP2-DT	
GOPC	
ADD2	
TTYH3	
CASP9	
IMPDH1P6	
SQLE	
SQLE	A_14_P129257
RGP1	A_14_P132355
RGP1	
DNMBP	
LAPTM4BP2	
PPIAP69	
MACROD2	A_14_P105302
MACROD2	
MSMP	
SMARCC1	
PCBD2	
PCBD2	A_14_P126177
PCBD2	A_14_P118744
SPAG8	
CDK19	
ACSL6-AS1	
MTMR12	
ELMOD1	
ELMOD1	A_14_P109124
ELMOD1	A_14_P102462
LINC01299	
PPIAP31	
SDC2	A_14_P109550
SDC2	
MMS19	
SCAPER	
DLGAP4	
	A_14_P138096
DDI2	A_14_P114362
DDI2	
HINT2	
ZFAND2A-DT	
CYP3A54P	
RAD17P1	
	A_14_P113598
UQCRH	
MAP3K4-AS1	
DSCAML1	
FILNC1	
SUN1	
TMEM8B	A_14_P200253
TMEM8B	
TMEM8B	A_14_P108539
LMBRD1	
	A_14_P200408
	A_14_P135421
MIR3659HG	
NFATC1	A_14_P202048
NFATC1	
RPS29P6	
CRTAP	
SELENOWP1	
RAB40C	
GPR199P	
PKHD1L1	A_14_P114727
PKHD1L1	A_14_P109484
PKHD1L1	A_14_P133268
PKHD1L1	
THRAP3	
HNRNPA1P12	
RPL35AP17	
TMPRSS11GP	
DPYSL3	
LINC02040	
RPEP4	
CABP7-DT	
CABP7	
IGBP1P5	
DDX3P3	
GPAT3	
GPAT3	A_14_P132034
CNTN4	A_14_P133251
CNTN4	A_14_P109939
CNTN4	A_14_P107157
CNTN4	
ZMAT5	
TASL	
LZTS3	
CKS1BP6	
FTLP2	
GK-IT1	
GK-AS1	
TAB3-AS1	
TAB3-AS2	A_14_P133338
PCYT1B	
MIR3677HG	
UQCR10	
TMEM74B	
FLYWCH2	
FAM221B	
PTPRA	A_14_P135265
PTPRA	A_14_P122774
CASTOR1	
	A_14_P108189
	A_14_P102947
NHLRC4	
OR13E1P	
NDUFA5P4	
HRCT1	
SPAAR	
HNRNPA1P56	
C4orf46P1	
H2BP7	
WFIKKN1	A_14_P110544
WFIKKN1	
PCYT1B-AS1	
PGAM1P2	
OR2S2	
POLA1	
POLA1	A_14_P116005
YBX1P10	
LNCARSR	
THAP6	
THAP6	A_14_P101443
PADI4	A_14_P103829
CHCHD2P9	
MLLT3	
RNU4-92P	
MPPE1P1	
LSM11	A_14_P130029
TTC8	A_14_P139522
TTC8	
TTC8	A_14_P130318
FAM234A	A_14_P102905
FAM234A	A_14_P117042
FAM234A	
EFCAB9	A_14_P139745
AFF4	
KCMF1	A_14_P102215
KCMF1	A_14_P130617
C1orf122	
CHIC2	
GRHL2	
GRHL2	A_14_P112089
GRHL2	A_14_P104292
LINC01654	A_14_P107614
EPHA10	
H3P38	
HYKK	
BCL11A	
LINC01216	
CISD2	
MIR4473	
RNU4-26P	
MIR4474	
RPL7AP48	
	A_14_P200399
	A_14_P109620
FOCAD-AS1	
MIR491	
SNORA30B	
DNAJC17	
EXD3	
TBC1D10A	
MTND5P5	
H2AZ1	
MARCKS	
HYAL2	
SMPDL3A	
HOXB8	
RHPN1	A_14_P112959
RHPN1	
LINC00671	
GAST	
FHL3	
ALG1L3P	
MRPL1	
MRPL1	A_14_P105858
SCARNA23	
EEF1B2P3	
ARX	
RAD21L1	
COX6B1P2	
NDUFS5P1	
	A_14_P109416
HECA	
UTP18	
UTP18	A_14_P104847
RPL7AP23	
PAFAH1B2P1	
RN7SL91P	
WASH6P	
PPP1R14BP5	
NPM1P36	
NACAP7	
SPATA12	
TRAPPC3L	
PRICKLE2-AS3	
OSTCP1	
ANKK1	
LINC00251	
SLC18B1	
KRT8P4	
ABHD5	A_14_P104748
ABHD5	
LACTB2	
ARHGEF17	A_14_P124952
ARHGEF17	
RHBDL2	
TMSB10	A_14_P102588
PM20D2	
MTCO3P23	
KMT5AP2	A_14_P108685
ZFX-AS1	
PNRC1-DT	
MTATP8P2	
RPS26P58	
NOTO	
TBCK	
RPL7P29	
AFAP1L1	
CYCSP55	
INF2	
INF2	A_14_P107903
INF2	A_14_P112336
TNFRSF21	
DRD5P1	
RPL37P10	
RPL12P18	
LYARP1	
ARHGEF9	
LINC01293	
ZNF831	
ZNF831	A_14_P129730
ARC	
USP3	
USP3	A_14_P117993
USP3	A_14_P118968
RPL12P19	
HMGB1P31	
INPP5B	
SUCLA2P2	
CBFA2T2	
RPL32P4	
ENTPD8	
TRAM1	
PLGLB2	
SUMO2P17	
SMIM36	
ALDH8A1	
TBC1D3P1-DHX40P1	
MARCHF10-DT	
SF3A1	
GPATCH11P1	
RPL26P13	
MRPL19	A_14_P120170
MRPL19	
LINC01482	
CTDSPL	A_14_P115545
CTDSPL	
RPL23AP74	
TUBD1	
MIR7114	
PNPLA7	
LINC02732	
YIPF5	
LINC02698	
SMARCE1P1	
FAM183A	
RNF169	
LY6D	
RNGTT	
LSM3P3	
ARL3	
PAIP2B	
ZMYM4	A_14_P129569
ZMYM4	
ZMYM4	A_14_P117728
NCOA2	
UVRAG	A_14_P113524
UVRAG	
FABP1	
SMAGP	
HPSE2	
HNRNPA1P13	
SEPHS2P1	
PGAM5P1	
RNF215	
EVA1A-AS	
MCC	
ANKRD11P1	
HNRNPA1P57	
ZNF863P	
HOXC4	
MRPL41	
NCAPH	A_14_P129051
NCAPH	
DPH7	
KRT125P	
KLF17P1	
OR5BK1P	
BTBD10P1	
ENO4	
RSL24D1P5	
SFMBT1	
RESF1	A_14_P117387
RESF1	
RESF1	A_14_P123392
IQCE	
ZNF236	
SEC14L2	
SEC14L2	A_14_P126894
SEC14L2	A_14_P106689
OIT3	
TG	
TG	A_14_P130125
TG	A_14_P124314
MTCYBP36	
OGFRL1	A_14_P201369
OGFRL1	A_14_P124317
OGFRL1	A_14_P130458
KIF2B	A_14_P200485
KIF2B	A_14_P112338
RPL32P16	
PPIAP19	
HOXB-AS3	
HOXB-AS3	A_14_P115253
HOXB-AS3	A_14_P104270
LINC02646	
BTF3P10	
KRT19P1	
IL22	
