hgnc_symbol	affy_u133_x3p
ARHGEF26	233903_3p_s_at
ARHGEF26	Hs.240845.0.S1_3p_a_at
ARHGEF26	Hs.12891.0.A1_3p_at
ARHGEF26	Hs.240845.1.S1_3p_at
LINC01839	
LINC02054	
RNU6-222P	
FTCD	
ADI1	g8922761_3p_at
ADI1	g12655216_3p_a_at
ADI1	Hs.148504.0.A1_3p_at
TRAPPC12	
TRAPPC12	g7705796_3p_at
TRAPPC12	Hs.49822.0.S1_3p_s_at
KRTAP9-3	Hs.307012.0.S1_3p_at
	Hs.19574.0.S1_3p_at
ARHGEF26-AS1	
SNTG2	g9507164_3p_at
FTCD-AS1	
LSS	g1019365_3p_at
LSS	Hs.93199.0.S2_3p_at
LSS	
TPO	
LINC01659	
SUDS3P1	
ZDHHC8P1	Hs.293892.0.A1_3p_at
ZDHHC8P1	
PROP1	g3873239_3p_at
LINC00254	
HS3ST6	Hs.200735.0.A1_3p_at
MEIOB	
CES5AP1	
LINC02124	
KRT20	Hs.84905.0.S1_3p_at
KRT20	
KCNQ2-AS1	
FAM230I	Hs2.126178.1.S1_3p_s_at
	Hs2.398138.1.S1_3p_at
KCNQ2	
KCNQ2	g1841341_3p_x_at
KCNQ2	g1841341_3p_a_at
ERICH1	
KRTAP3-1	Hs.307027.0.S1_3p_at
KRTAP3-2	Hs.307026.0.S1_3p_x_at
KRTAP3-2	Hs.307026.0.S1_3p_at
ZNF965P	
GXYLT1P1	
KRTAP4-9	Hs.307018.0.S1_3p_at
KRTAP4-9	Hs.307018.0.S1_3p_x_at
CYP4F34P	
LINC02557	
CNN2P12	
SNX18P26	
	Hs.90424.1.S2_3p_s_at
	Hs.90424.1.S1_3p_at
LINC00328-2P	
	g12669917_3p_at
ANKRD20A9P	Hs.198694.0.A1_3p_s_at
KRTAP2-4	g13569953_3p_s_at
RNU6-55P	
	Hs.274550.0.S1_3p_s_at
KRT23	g7661573_3p_a_at
KRT23	
ABCB11	g4502456_3p_at
ABCB11	g4704819_3p_a_at
SPATC1L	g12053246_3p_x_at
SPATC1L	g12053246_3p_at
SPATC1L	223360_3p_at
SPATC1L	g12053246_3p_s_at
G6PC2	g10863974_3p_at
G6PC2	
SLC45A2	g7705868_3p_at
SLC45A2	g13097809_3p_a_at
RXFP3	g7706102_3p_at
ADAMTS12	
ABCB10P1	
GOLGA8DP	
SPC25	
SPC25	g9963834_3p_at
LINC02549	
APOBEC3B-AS1	
	g5031662_3p_x_at
	g5031662_3p_a_at
APOBEC3A	
APOBEC3A	g4758159_3p_a_at
GARRE1	
	Hs.121386.0.A1_3p_x_at
	Hs.170290.2.A1_3p_at
DLG5-AS1	239565_3p_at
DLG5-AS1	Hs.261114.0.S1_3p_s_at
DLG5-AS1	Hs.261114.0.S1_3p_at
TUBGCP5	
RN7SL284P	
	Hs.129169.0.S1_3p_at
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	Hs.8258.1.A1_3p_at
LSM14A	Hs.8258.1.A2_3p_at
LSM14A	Hs.8258.0.A1_3p_a_at
LSM14A	
KRT40	Hs2.146635.1.S1_3p_at
GOLGA6L1	
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	Hs.265499.0.A1_3p_a_at
NOSTRIN	
NOSTRIN	Hs.10260.0.A1_3p_at
MPHOSPH10P5	
KRTAP1-1	Hs.247935.0.S1_3p_s_at
KRTAP1-1	g13569941_3p_s_at
	Hs.307029.0.S1_3p_s_at
KRTAP4-11	Hs.307015.0.S1_3p_s_at
KRTAP4-11	Hs.307015.0.S1_3p_x_at
KRTAP2-5P	
CYFIP1	
KRTAP1-3	Hs.247935.0.S1_3p_s_at
KRTAP1-3	g13569939_3p_at
KRTAP4-16	
KRT12	g4557698_3p_at
	Hs2.382131.1.S1_3p_at
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	Hs.247935.0.S1_3p_s_at
KRTAP1-5	Hs.307030.0.S1_3p_at
KRT39	
	Hs2.382203.1.S1_3p_at
	Hs.274527.0.S1_3p_at
	g13623508_3p_x_at
ANKRD18DP	
CNTNAP2	Hs.106552.1.S1_3p_s_at
CNTNAP2	g7662349_3p_s_at
CNTNAP2	Hs.106552.0.S3_3p_s_at
RPS17	g4506692_3p_a_at
