hgnc_symbol	affy_u133_x3p
DUX4L12	216473_3p_x_at
HMGB3P8	
RPL21P12	
EDRF1-DT	Hs.144911.0.A1_3p_s_at
EDRF1-DT	Hs2.351047.1.A1_3p_at
EDRF1-DT	
GCSHP2	
LINC00605	Hs2.162602.1.S1_3p_s_at
ATG16L2	Hs.21051.0.S1_3p_x_at
ATG16L2	Hs.21051.0.S1_3p_at
ATG16L2	
ATG16L2	Hs.20065.0.A1_3p_at
ZBTB8B	Hs2.375747.1.S1_3p_x_at
	g11545736_3p_at
RPL21P13	
RAP2CP1	
NIP7P1	
EIF5-DT	Hs2.348751.1.S1_3p_s_at
PHACTR2P1	
RPL22	Hs.326249.1.A2_3p_at
RPL22	214042_3p_s_at
RPL22	Hs.326249.0.A1_3p_s_at
RPL22	221775_3p_x_at
RPL22	208768_3p_x_at
RPL22	g4506612_3p_s_at
RPL22	g400340_3p_s_at
RPL22	g409069_3p_s_at
RPL22	Hs.99914.2.S1_3p_s_at
RPL22	220960_3p_x_at
RPL22	g400340_3p_x_at
EIF5	Hs.286236.1.S1_3p_a_at
EIF5	Hs.286236.1.S4_3p_at
EIF5	g4503542_3p_s_at
EIF5	Hs.286236.1.S3_3p_s_at
EIF5	Hs.186541.0.A1_3p_at
STIMATE-MUSTN1	Hs.226505.0.A1_3p_at
STIMATE-MUSTN1	Hs.58210.1.A1_3p_at
STIMATE-MUSTN1	Hs.226505.0.A2_3p_at
STIMATE-MUSTN1	Hs.58210.0.A1_3p_x_at
STIMATE-MUSTN1	Hs.58210.0.A1_3p_at
STIMATE-MUSTN1	
WNT8B	g4507930_3p_at
NIPSNAP1	g4505398_3p_s_at
NIPSNAP1	Hs.173878.0.S1_3p_s_at
NIPSNAP1	
RPS26P35	
	Hs.296746.0.S1_3p_at
PREX2	Hs.169943.0.S1_3p_at
PREX2	Hs.296730.1.S1_3p_at
PREX2	g13489104_3p_at
PREX2	
BUB1P1	
ZNF488	Hs.27788.0.A1_3p_at
ZMYND10-AS1	
SALL4P5	
RBM27	Hs.183412.0.A1_3p_at
RBM27	Hs.61441.0.S1_3p_at
RBM27	
ILF2P1	
ITGA3	
ITGA3	g4504746_3p_a_at
PDE12	Hs2.151293.1.S1_3p_s_at
PDE12	Hs.151293.0.S1_3p_x_at
PDE12	231839_3p_at
PDE12	Hs.151293.0.S1_3p_s_at
PDE12	214826_3p_at
PDE12	Hs.307238.0.S1_3p_at
PDE12	Hs.307238.0.S1_3p_x_at
DUX4L22	Hs.296821.0.S1_3p_x_at
DUX4L22	Hs.296821.0.S1_3p_at
DUX4L22	216473_3p_x_at
LRRTM4-AS1	Hs2.382185.1.S1_3p_at
DCD	Hs2.350570.1.S1_3p_at
DUX4L13	Hs.296821.0.S1_3p_x_at
DUX4L13	Hs.296821.0.S1_3p_at
DUX4L13	216473_3p_x_at
RASSF1-AS1	Hs.157888.0.A1_3p_at
DLEC1P1	
	g13376501_3p_at
ELOBP3	
RPS26P39	g4506708_3p_a_at
CCDC172	Hs2Affx.1.295.S1_3p_at
CCDC172	
	g306441_3p_a_at
SIX2	g13242164_3p_at
SIX2	g8394273_3p_a_at
	Hs.170756.0.A1_3p_at
RNF207	Hs.193898.0.A1_3p_at
RNF207	Hs2.101077.1.S1_3p_at
RNF207	Hs2.370709.1.A1_3p_s_at
RNF207	Hs2.370709.1.A1_3p_x_at
RNF207	1568728_3p_s_at
RNF207	Hs2.370709.1.A1_3p_at
RNF207	
MIR7-1	Hs.129548.1.A1_3p_a_at
MIR7-1	g12653174_3p_a_at
MIR7-1	200097_s_at
HNRNPK-AS1	
MLECP1	
SETBP1-DT	Hs2.362707.1.S1_3p_at
MIR4319	
NF2	g9994194_3p_at
NF2	Hs.303179.0.S1_3p_at
NF2	g5730863_3p_a_at
NF2	g4557794_3p_at
NF2	Hs.303179.0.S1_3p_x_at
NF2	g5730865_3p_a_at
NF2	g5730867_3p_x_at
NF2	g13111888_3p_at
NF2	Hs.202718.0.S1_3p_s_at
LINC01815	Hs.98589.0.A1_3p_at
RGS10	Hs.82280.0.S2_3p_at
RGS10	g11184225_3p_a_at
RGS10	
PBRM1	g8922564_3p_s_at
PBRM1	223400_3p_s_at
PBRM1	g12083895_3p_a_at
PBRM1	Hs.44143.2.S2_3p_s_at
PBRM1	g11493428_3p_a_at
PBRM1	
PBRM1	221212_3p_x_at
SIX3	Hs.45119.0.A1_3p_at
SIX3	g4885596_3p_at
	Hs.122020.0.A1_3p_at
	1562065_3p_at
	Hs2.434492.1.S1_3p_x_at
TESK1	g5454109_3p_at
TESK1	
C18orf15	Hs2.350822.1.S1_3p_at
RPL19P1	
LDLRAD4-AS1	Hs2.434217.1.S1_3p_at
CPXM1	Hs.177536.0.S1_3p_x_at
CPXM1	Hs.177536.0.S1_3p_at
TPT1P11	
MIR5190	
TUBB8P4	
BTBD7P2	
MRPL35P3	
SLC35F6	g8923523_3p_at
SLC35F6	Hs2.334694.2.S1_3p_x_at
SLC35F6	Hs.11759.1.A1_3p_at
MIR3663HG	Hs2.407555.1.S1_3p_at
MIR3663HG	
SNX18	
SNX18	Hs.288671.0.S1_3p_at
SNX18	Hs2.297325.1.S1_3p_at
MIR4526	
RPAP3	Hs2.426568.1.S1_3p_s_at
RPAP3	g13375808_3p_at
RPAP3	
NRG3	Hs.19515.0.A1_3p_at
FAM210A	Hs.13034.0.A1_3p_at
FAM210A	Hs.289083.0.A1_3p_at
FAM210A	Hs.289083.0.A1_3p_x_at
FAM210A	Hs.41654.0.A1_3p_at
FAM210A	
SDK1-AS1	
UNCX	
LINC02810	
	g4336603_3p_at
FTH1P1	
PAX7	Hs2.376326.1.S1_3p_at
PAX7	g4505618_3p_at
GET4	Hs.107387.1.S2_3p_at
GET4	g13097677_3p_a_at
GET4	
C20orf141	Hs.124009.0.S1_3p_at
GTF2H2B	221540_3p_x_at
GTF2H2B	g5531808_3p_at
GTF2H2B	g13529148_3p_at
GTF2H2B	
TMEM239	Hs2.352187.1.A1_3p_at
IFITM3P9	
PCED1A	
PCED1A	Hs.29341.0.A1_3p_a_at
RN7SL362P	
RPL21P30	
RNMT	g5478274_3p_a_at
RNMT	g4506566_3p_a_at
RNMT	
POLE4	Hs.19980.0.S1_3p_at
POLE4	Hs2.19980.1.S1_3p_s_at
POLE4	
VAX1	
UGT2B7	
MIR4667	
XRCC6P1	
	Hs2.434112.1.S1_3p_at
RMRP	
EGR4	g4503494_3p_at
INPP5F	Hs.52463.1.S1_3p_a_at
INPP5F	g7662413_3p_at
INPP5F	
CCDC107	Hs.245342.0.A1_3p_at
EXTL1	
EXTL1	g4758317_3p_at
KRT126P	
SNORA28	Hs.186541.0.A1_3p_at
LINC02279	
FUNDC2P2	
	g11321637_3p_at
MIR3173	
CLMN	Hs.118164.1.S3_3p_at
CLMN	Hs.118164.1.S3_3p_x_at
CLMN	Hs.301478.0.S1_3p_at
CLMN	g13376053_3p_a_at
CLMN	Hs.118164.1.S1_3p_a_at
CLMN	
INTS1	Hs.112184.0.S2_3p_a_at
INTS1	Hs.112184.0.S1_3p_x_at
INTS1	Hs.112184.0.S1_3p_at
INTS1	
KRT76	g7705544_3p_at
COLEC10	
COLEC10	g5453618_3p_at
LINC02619	Hs.112674.0.A1_3p_at
REG3G	Hs.312684.0.A1_3p_at
REG3G	
CASZ1	Hs.161049.0.S1_3p_at
CASZ1	Hs.194635.0.A1_3p_at
CASZ1	Hs.121574.0.A1_3p_at
CASZ1	
CASZ1	g8923302_3p_at
CASZ1	Hs.162196.1.S1_3p_at
MTND2P17	
GSX2	
GSX2	Hs.112317.0.A1_3p_at
	Hs.108106.0.A2_3p_at
CDK5P1	
MED23	Hs.271535.0.S1_3p_s_at
MED23	g12053064_3p_at
MED23	g7019352_3p_at
MED23	Hs.271535.0.S1_3p_at
MED23	
COMMD4	g8923422_3p_a_at
COMMD4	Hs.18490.1.A1_3p_a_at
COMMD4	g12053248_3p_a_at
MYC	
MYC	g12962934_3p_a_at
MYC	Hs.202453.0.A1_3p_at
ARHGEF39	Hs.245342.1.S1_3p_at
ARHGEF39	Hs.245342.2.A1_3p_at
ARHGEF39	
RPS3P6	
GLYCAM1	
VPS16	Hs.302441.1.S1_3p_at
VPS16	g12007657_3p_a_at
VPS16	
VPS16	Hs.188838.0.A1_3p_at
MTND5P4	
ETNK1-DT	
ZNF970P	
SSBL3P	
LINC02378	
ADH6	g11024646_3p_x_at
ADH6	g11024646_3p_a_at
ADH6	Hs.76800.1.S1_3p_s_at
ADH6	
GAPDHP44	
NF1P12	
LINC02448	
LINC02461	
CARS1P2	
MIR30DHG	Hs.176669.0.A1_3p_at
MIR30DHG	Hs2.420459.1.S1_3p_s_at
	Hs.326580.0.S1_3p_at
RN7SL22P	
	Hs.46667.0.A1_3p_at
	Hs.128434.0.S1_3p_at
	Hs.211253.0.A1_3p_at
TBC1D31	
TBC1D31	Hs.95631.0.S1_3p_at
TBC1D31	Hs2.170268.1.S1_3p_s_at
TPM2	Hs.300772.1.A1_3p_x_at
TPM2	Hs.300772.2.A1_3p_at
TPM2	Hs.300772.1.A1_3p_at
TPM2	g4507648_3p_s_at
TPM2	
CPNE8	
CPNE8	Hs.71818.0.A1_3p_at
CPNE8	Hs.202541.0.A1_3p_at
CPNE8	Hs.98760.0.A1_3p_at
REG1A	g5764554_3p_at
REG1A	
PDCL2	Hs.223712.0.A1_3p_at
PPP2R1B	Hs.168737.0.A1_3p_at
PPP2R1B	g11386166_3p_s_at
PPP2R1B	
PPP2R1B	g11386166_3p_a_at
PPP2R1B	g189429_3p_a_at
PPP2R1B	g11692008_3p_a_at
PPP2R1B	Hs.108705.0.S3_3p_a_at
HNRNPA3P7	
AGMAT	g13477244_3p_a_at
AGMAT	Hs.42409.1.S2_3p_a_at
LINC02292	
THG1L	g8923513_3p_a_at
CEND1P1	
	Hs2.334577.1.S1_3p_x_at
	Hs2.334577.1.S1_3p_at
	1560443_3p_at
EMILIN2	Hs.270143.0.S1_3p_s_at
EMILIN2	Hs.179765.0.S2_3p_at
EMILIN2	g13661555_3p_s_at
SMARCE1	Hs.332848.0.S2_3p_at
SMARCE1	Hs.332848.0.S1_3p_at
SMARCE1	Hs.127211.0.A1_3p_at
SMARCE1	
SMARCE1	Hs.61779.0.S1_3p_at
CHORDC1P4	
ADAMTS3	Hs.27916.0.S1_3p_at
ADAMTS3	
TAF9BP2	
GEMIN6	g13376126_3p_at
GEMIN6	Hs.109154.0.A1_3p_at
CWF19L1	Hs.78110.1.S1_3p_a_at
CWF19L1	g8922811_3p_a_at
CWF19L1	
FAAP20	
FAAP20	Hs.201396.0.A1_3p_at
FAAP20	Hs.78793.2.S1_3p_s_at
FAAP20	Hs2.436196.1.S1_3p_s_at
FAAP20	Hs2.432368.1.S1_3p_at
FAAP20	Hs.167224.0.A1_3p_at
FAAP20	Hs.167224.0.A1_3p_x_at
FAAP20	220579_3p_at
FAAP20	g13376545_3p_at
FAAP20	g13376545_3p_x_at
SNRPCP4	
RADIL	g12052980_3p_a_at
RADIL	
RNU7-25P	
	Hs2.132656.1.S1_3p_at
	Hs2.311412.1.A1_3p_s_at
MYL12A	
MYL12A	Hs.190086.0.A1_3p_at
MYL12A	Hs2.311412.1.A2_3p_s_at
MYL12A	Hs2.311412.1.A1_3p_s_at
MYL12A	Hs2.311412.1.A2_3p_at
LINC02280	
MIR4710	
SIVA1	
SIVA1	g5737690_3p_x_at
SIVA1	g11277467_3p_a_at
LINC01809	Hs2.352525.1.S1_3p_at
SMIM7P1	
SEPTIN14P5	Hs.304633.0.S1_3p_at
LINC01126	Hs2.194480.1.S1_3p_at
CLEC4F	Hs2.354972.1.S1_3p_at
LINC02103	
GJD4	234116_3p_at
GJD4	Hs.302078.0.S1_3p_s_at
MTCO1P24	
PELO	g7705599_3p_s_at
PELO	Hs2.196972.1.A1_3p_at
TRUB1	Hs.21187.0.S1_3p_at
TRUB1	Hs.321052.0.A1_3p_at
TRUB1	Hs.88678.1.S1_3p_at
EIF2AK1	g11125767_3p_a_at
EIF2AK1	Hs.258730.0.A2_3p_at
EIF2AK1	
RPL23AP59	
PANK3	g13375788_3p_at
PANK3	Hs.6986.0.S1_3p_at
PANK3	
ADD3	
ADD3	g9951926_3p_a_at
ADD3	Hs.324470.1.S1_3p_a_at
ADD3	Hs.8110.0.S3_3p_at
ASB3	
ASB3	g13623716_3p_s_at
ASB3	Hs.306603.0.S1_3p_at
ZBTB42	
ZBTB42	Hs.170853.0.A1_3p_at
RNU4-22P	
	Hs2.302956.1.S1_3p_at
JAKMIP2	g7662177_3p_a_at
JAKMIP2	Hs.43107.0.S1_3p_a_at
JAKMIP2	
AQP5	Hs.298023.0.S2_3p_at
AQP5	213611_3p_at
AQP5	Hs.298023.0.S2_3p_x_at
MANBAL	Hs.6126.0.A2_3p_at
MYL12-AS1	
TNFAIP8L3	
MYL12B	g829622_3p_x_at
MYL12B	g829622_3p_at
SLC9B2	Hs2.437673.1.S1_3p_at
SLC9B2	Hs.87129.0.A1_3p_at
SLC9B2	
ZC3H14	Hs.173684.0.S1_3p_at
ZC3H14	g13376221_3p_a_at
ZC3H14	
ZC3H14	Hs.173684.0.S2_3p_at
ZC3H14	Hs.188378.0.A1_3p_at
ZC3H14	Hs.192897.0.A1_3p_at
SOX5-AS1	
DNALI1	Hs.191254.0.A1_3p_at
DNALI1	g13518030_3p_at
DNALI1	
SCAMP2	Hs.238030.1.S1_3p_at
SCAMP2	g5730030_3p_a_at
SCAMP2	Hs.238030.1.S1_3p_x_at
SCAMP2	
TCF15	g4759217_3p_x_at
TCF15	g4759217_3p_at
BCAS4	g8923453_3p_x_at
BCAS4	g8923453_3p_at
BCAS4	Hs.56237.1.A1_3p_at
BCAS4	
RPL22P16	
CELA1	g4731317_3p_at
RRAGC	g11995471_3p_a_at
RRAGC	Hs.110950.0.A2_3p_at
RRAGC	
RRAGC	Hs.108144.0.A1_3p_at
RNU6-857P	
ZFAND2A	Hs.116567.0.A1_3p_at
ZFAND2A	
DSC3	206033_3p_s_at
DSC3	Hs.166597.0.A1_3p_at
DSC3	g13435367_3p_a_at
DSC3	Hs.41690.0.A2_3p_at
DSC3	
TLN1	g5454129_3p_s_at
TLN1	
SPATA25	Hs2.128235.1.S1_3p_s_at
DBNDD2	g8923782_3p_a_at
RPL14P1	200074_s_at
RPL14P1	g608516_3p_x_at
	Hs2.350378.1.S1_3p_at
HSPD1P4	g4504520_3p_a_at
HSPD1P4	Hs.79037.0.A1_3p_a_at
SPCS2P4	Hs.77665.0.S1_3p_a_at
SPCS2P4	g7661907_3p_a_at
GRIK3	g4504118_3p_at
GRIK3	Hs.7033.0.A1_3p_at
GRIK3	
LINC02840	
TFAMP2	
	Hs.223837.0.A1_3p_at
UNC93B2	
USP2-AS1	
USP2-AS1	Hs2.310634.1.S1_3p_at
PFKM	g975289_3p_a_at
PFKM	
ALG1L5P	
TBC1D32	Hs.99016.0.S1_3p_at
TBC1D32	Hs2.156494.1.A1_3p_s_at
TBC1D32	
MIOS	g9506672_3p_s_at
MIOS	g12053282_3p_a_at
MIOS	209672_3p_s_at
MIOS	
DSC1	g13435362_3p_a_at
MTND5P13	
FTLP10	
MTND6P7	
LINC01217	
TMPRSS5	g13540534_3p_s_at
TMPRSS5	
DNMT3AP1	
TADA2B	
TADA2B	Hs.6983.0.S1_3p_at
TADA2B	Hs.155512.0.A1_3p_at
TADA2B	236248_3p_x_at
EPAS1	
EPAS1	g4503576_3p_a_at
EPAS1	Hs.8136.0.S2_3p_at
PLA2G2D	g6912595_3p_at
	Hs2.363510.1.S1_3p_at
ATP5F1EP1	
SNUPN	g5031832_3p_a_at
SNUPN	
PARM1	g7661631_3p_at
PARM1	Hs.6634.0.S1_3p_at
YRDC	Hs.46736.0.A1_3p_a_at
YRDC	g13375875_3p_a_at
C20orf204	Hs.97840.0.S1_3p_at
OR7E59P	
TRIB3	
TRIB3	g11056039_3p_at
TRIB3	Hs2.26802.3.S1_3p_s_at
TACR3	g7669547_3p_at
HNRNPFP1	
CD24P1	
GUCA2B	g6005773_3p_at
	Hs2.348436.1.S1_3p_s_at
DSG1	g4503400_3p_at
GSTCD-AS1	
GSTCD-AS1	Hs.147893.0.A1_3p_at
PRKG2-AS1	
SRMS	Hs.302093.0.S1_3p_at
PER3P1	Hs2.381363.1.S1_3p_at
CDS1	g4502756_3p_a_at
CDS1	Hs.52620.2.S1_3p_at
CDS1	Hs.52620.2.S2_3p_at
CDS1	
MIR6852	
CREB3	g2599559_3p_a_at
MEOX2	g5174548_3p_a_at
DUSP15	Hs.274542.0.S1_3p_at
DUSP15	Hs.296779.0.S1_3p_at
DUSP15	
CAMKMT	
CAMKMT	Hs2.374858.1.S1_3p_at
CAMKMT	g13376108_3p_at
	g13236533_3p_at
	Hs.23187.0.A1_3p_at
HSPA8P8	
	Hs2.384578.1.S1_3p_at
WASHC5-AS1	
ZFPM2	
ZFPM2	g10862688_3p_at
RNU6-167P	
PSMA8	Hs.129664.0.A1_3p_at
MIR6853	
GBA2	Hs.173422.2.S1_3p_s_at
GBA2	Hs.173422.2.S1_3p_at
GBA2	g12005895_3p_a_at
GBA2	224627_3p_at
GBA2	
PABPC1P7	
CPXM2	Hs2.385783.1.S1_3p_at
CPXM2	Hs.313515.0.A1_3p_at
CPXM2	Hs.24872.0.A1_3p_at
CPXM2	
FOXK1	Hs.111941.0.A1_3p_at
FOXK1	Hs.11556.0.A1_3p_at
FOXK1	
RAB11FIP5	g13377896_3p_a_at
RAB11FIP5	
BANK1	
BANK1	Hs.193736.0.S1_3p_a_at
BANK1	Hs2.376530.1.S1_3p_s_at
BANK1	g8923635_3p_a_at
C7orf50	g13623248_3p_s_at
C7orf50	
C7orf50	Hs.125095.0.A1_3p_at
C7orf50	Hs.125095.0.A1_3p_x_at
C7orf50	Hs.288125.0.A1_3p_at
HSPA5P1	
LHFPL2	Hs.79299.0.S1_3p_at
LHFPL2	
RPA3P2	
TAAR6	
LINC02523	
RPSAP74	
FKBP1C	Hs.752.2.A1_3p_a_at
FKBP1C	g4503724_3p_s_at
PSMB2	200039_s_at
PSMB2	Hs.285520.0.A1_3p_at
PSMB2	g4506194_3p_a_at
LINC02237	
LINC02237	Hs.130970.0.A1_3p_at
LINC02237	Hs.130970.0.A1_3p_x_at
	Hs2.396929.1.S1_3p_at
PLN	Hs.85050.1.A1_3p_at
PLN	g4505886_3p_a_at
PLN	g190018_3p_a_at
MAL2-AS1	
	Hs.248061.0.S1_3p_at
MAN1A1	Hs.25253.1.S1_3p_at
MAN1A1	g5174520_3p_a_at
WDR72	Hs.122125.0.A1_3p_at
WDR72	Hs.208067.0.A1_3p_at
WDR72	Hs.86366.0.A1_3p_at
WDR72	Hs2.232549.1.S1_3p_at
WDR72	
LINC01608	
ZHX3	Hs.167839.1.S1_3p_a_at
ZHX3	Hs.167839.0.S1_3p_a_at
ZHX3	
STK10	4884305_3p_s_at
STK10	Hs.24222.0.A1_3p_at
STK10	
ANAPC1P2	Hs.40137.1.A1_3p_a_at
ANAPC1P2	Hs.40137.2.A1_3p_a_at
ANAPC1P2	Hs.40137.1.A1_3p_x_at
PPP4R1	g4826933_3p_a_at
PPP4R1	
GPR158	Hs.21896.0.S1_3p_at
GPR158	
FTH1P26	
HIVEP2-DT	
	Hs2.98882.1.S1_3p_at
	g1785850_3p_a_at
	Hs.78221.0.A2_3p_a_at
	g13540536_3p_s_at
GOPC	Hs.126268.0.S2_3p_x_at
GOPC	Hs.23120.0.S1_3p_at
GOPC	Hs.126268.0.S2_3p_at
GOPC	Hs.126268.0.S1_3p_at
GOPC	Hs.23120.0.S2_3p_at
ADD2	
ADD2	Hs.13334.0.A1_3p_at
ADD2	Hs.15155.0.A1_3p_at
ADD2	g9257189_3p_a_at
ADD2	Hs.66187.0.S1_3p_at
ADD2	g9257177_3p_a_at
ADD2	Hs.143496.0.A1_3p_at
TTYH3	Hs.94761.0.S1_3p_x_at
TTYH3	Hs.94761.0.S1_3p_at
TTYH3	
CASP9	Hs.34174.1.A1_3p_at
CASP9	g1532150_3p_s_at
CASP9	g5103139_3p_s_at
CASP9	
IMPDH1P6	
SQLE	g4204674_3p_at
SQLE	Hs.71465.1.S2_3p_a_at
SQLE	Hs.71465.1.S1_3p_at
SQLE	
RGP1	g7662029_3p_at
RGP1	
DNMBP	Hs.23860.0.S1_3p_at
DNMBP	Hs2.352242.1.S1_3p_at
DNMBP	
LAPTM4BP2	
PPIAP69	
MACROD2	Hs.136585.0.A1_3p_at
MACROD2	Hs2.399982.1.S1_3p_a_at
MACROD2	
MACROD2	Hs2.437091.1.S1_3p_at
MACROD2	Hs2.407151.1.S1_3p_at
MSMP	
SMARCC1	Hs.172280.0.A1_3p_a_at
SMARCC1	Hs.172280.0.A2_3p_a_at
SMARCC1	g4507078_3p_a_at
SMARCC1	Hs.172280.0.A4_3p_at
SMARCC1	
PCBD2	Hs2.150186.2.S1_3p_s_at
PCBD2	1554894_3p_a_at
PCBD2	Hs2.150186.2.S1_3p_at
PCBD2	g12052960_3p_at
	Hs.151334.0.A1_3p_at
SPAG8	g6912671_3p_at
SPAG8	
CDK19	g13540813_3p_s_at
CDK19	Hs.129836.0.S2_3p_at
CDK19	Hs.129836.0.S1_3p_at
CDK19	
CDK19	Hs.128790.0.S1_3p_at
ACSL6-AS1	
MTMR12	g9506678_3p_a_at
MTMR12	Hs.93872.1.S1_3p_at
MTMR12	
ELMOD1	
ELMOD1	Hs.48448.0.S1_3p_at
ELMOD1	Hs2.350602.1.S1_3p_at
LINC01299	
	Hs.224626.0.A1_3p_at
PPIAP31	211765_3p_x_at
PPIAP31	201293_3p_x_at
PPIAP31	211378_3p_x_at
PPIAP31	211978_3p_x_at
PPIAP31	212661_3p_x_at
SDC2	Hs.1501.0.S1_3p_at
SDC2	Hs.1501.0.S3_3p_at
SDC2	Hs.1501.0.S2_3p_at
SDC2	
MMS19	g13375625_3p_a_at
MMS19	
SCAPER	Hs.285848.2.A1_3p_s_at
SCAPER	Hs.285848.1.A1_3p_at
SCAPER	
DLGAP4	g7662411_3p_a_at
DLGAP4	Hs.177425.0.S1_3p_a_at
DLGAP4	Hs.177425.0.S2_3p_a_at
DLGAP4	
DDI2	Hs.24183.0.A1_3p_at
DDI2	Hs.194215.0.S1_3p_at
DDI2	Hs.239459.0.S2_3p_x_at
DDI2	Hs.239459.0.S2_3p_at
DDI2	g13543717_3p_at
DDI2	
HINT2	g13650127_3p_s_at
ZFAND2A-DT	Hs.158584.0.A1_3p_at
CYP3A54P	
RAD17P1	
UQCRH	g5174744_3p_a_at
UQCRH	
MAP3K4-AS1	Hs.310359.0.A1_3p_at
DSCAML1	Hs.233023.1.S1_3p_a_at
DSCAML1	Hs.233023.0.S1_3p_at
DSCAML1	
	Hs.166380.1.A1_3p_at
FILNC1	Hs2.62646.1.S1_3p_at
SUN1	Hs.7531.3.S1_3p_at
SUN1	Hs.7531.1.S1_3p_a_at
SUN1	Hs.7531.2.S1_3p_at
SUN1	214169_3p_at
SUN1	Hs.7531.1.S1_3p_at
SUN1	g13435158_3p_at
SUN1	
SUN1	Hs.107387.1.S2_3p_at
SUN1	g13097677_3p_a_at
	g13650127_3p_s_at
	Hs.194761.0.S1_3p_at
TMEM8B	g7706546_3p_a_at
TMEM8B	Hs.12509.0.S1_3p_at
TMEM8B	Hs.143669.0.A1_3p_at
TMEM8B	Hs.9187.0.A1_3p_at
TMEM8B	
LMBRD1	
LMBRD1	g8922955_3p_s_at
	Hs2.376006.1.A1_3p_at
	Hs.172035.1.S1_3p_s_at
MIR3659HG	
NFATC1	g4098860_3p_a_at
NFATC1	Hs.96149.3.S1_3p_a_at
NFATC1	g5453771_3p_a_at
NFATC1	g500631_3p_at
NFATC1	
	Hs.7988.1.A1_3p_at
RPS29P6	
CRTAP	Hs.281561.0.S1_3p_at
CRTAP	Hs2.155481.2.S1_3p_s_at
CRTAP	Hs2.155481.3.S1_3p_s_at
CRTAP	g5453600_3p_at
CRTAP	Hs.155481.1.A1_3p_at
CRTAP	
SELENOWP1	
RAB40C	
RAB40C	Hs.31408.1.S1_3p_at
RAB40C	Hs.31408.0.A1_3p_at
GPR199P	Hs.145656.0.A1_3p_at
PKHD1L1	Hs.183357.0.S1_3p_at
PKHD1L1	Hs.88651.0.A1_3p_x_at
PKHD1L1	Hs.88651.0.A1_3p_at
PKHD1L1	Hs.157897.0.A1_3p_at
THRAP3	Hs.108319.0.S3_3p_a_at
THRAP3	Hs.108319.0.S1_3p_a_at
THRAP3	g4827039_3p_a_at
THRAP3	
	Hs.125352.0.S1_3p_at
HNRNPA1P12	
RPL35AP17	
TMPRSS11GP	
DPYSL3	Hs.74566.0.S1_3p_a_at
DPYSL3	g4503378_3p_a_at
DPYSL3	
LINC02040	
RPEP4	
CABP7-DT	
CABP7	Hs.311548.0.S1_3p_at
CABP7	Hs.283913.0.S1_3p_at
IGBP1P5	
DDX3P3	Hs.147916.2.A1_3p_s_at
GPAT3	
GPAT3	g13623272_3p_s_at
CNTN4	
CNTN4	Hs.121115.0.A1_3p_at
CNTN4	Hs.94000.0.A1_3p_at
ZMAT5	218752_3p_at
ZMAT5	g9506862_3p_x_at
ZMAT5	g9506862_3p_at
ZMAT5	
TASL	220252_3p_x_at
TASL	g13376758_3p_x_at
LZTS3	g7662175_3p_at
CKS1BP6	
FTLP2	Hs.111334.1.S1_3p_a_at
GK-IT1	
GK-AS1	
TAB3-AS1	
TAB3-AS2	
PCYT1B	g4758889_3p_a_at
PCYT1B	Hs.212482.0.S1_3p_at
PCYT1B	
MIR3677HG	
UQCR10	g9994180_3p_a_at
TMEM74B	g8922926_3p_at
FLYWCH2	Hs.94875.0.A1_3p_at
FLYWCH2	Hs.94875.0.A1_3p_x_at
FLYWCH2	
FAM221B	Hs.128075.0.A1_3p_at
FAM221B	
PTPRA	213799_3p_s_at
PTPRA	Hs.26045.1.S1_3p_a_at
PTPRA	Hs.26045.1.S1_3p_s_at
PTPRA	Hs.154004.0.A1_3p_at
PTPRA	Hs.26045.1.S2_3p_a_at
CASTOR1	Hs.4232.0.S1_3p_at
CASTOR1	Hs.4232.0.S1_3p_x_at
CASTOR1	Hs.4232.1.S1_3p_a_at
CASTOR1	226613_3p_at
CASTOR1	
	Hs.129837.0.A1_3p_at
NHLRC4	Hs2.201275.1.S1_3p_s_at
OR13E1P	
NDUFA5P4	
HRCT1	Hs.28412.0.A1_3p_at
SPAAR	Hs2.302677.1.S1_3p_s_at
SPAAR	
HNRNPA1P56	
C4orf46P1	
H2BP7	
WFIKKN1	Hs2.345818.1.S1_3p_at
WFIKKN1	Hs2.345818.1.S1_3p_x_at
WFIKKN1	Hs.239500.3.A1_3p_a_at
PCYT1B-AS1	
PGAM1P2	
OR2S2	g10092668_3p_at
POLA1	
POLA1	g8393994_3p_at
YBX1P10	Hs.74497.1.S1_3p_a_at
LNCARSR	
LNCARSR	Hs.126127.0.A1_3p_at
THAP6	
THAP6	Hs.4985.0.A1_3p_x_at
THAP6	Hs.143692.0.A1_3p_a_at
THAP6	Hs.4985.0.A1_3p_at
CHCHD2P9	g7705850_3p_at
	Hs.166140.0.S1_3p_at
MLLT3	g4758719_3p_a_at
MLLT3	Hs.404.0.S1_3p_a_at
MLLT3	
MLLT3	Hs2.382134.1.S1_3p_at
	Hs2.377035.1.S1_3p_at
	Hs2.352657.1.S1_3p_x_at
	Hs2.352657.1.S1_3p_at
	1563884_3p_at
RNU4-92P	
MPPE1P1	
LSM11	Hs.23648.0.S1_3p_at
LSM11	Hs.23648.0.S2_3p_at
LSM11	Hs.170158.0.A1_3p_at
LSM11	Hs.187117.0.S1_3p_at
TTC8	
TTC8	Hs.55158.0.A1_3p_at
FAM234A	
FAM234A	Hs.322456.0.S1_3p_at
