hgnc_symbol	affy_hta_2_0
	TC15001035.hg
	TC15001021.hg
	TCUn_gl000213000006.hg
KRTAP9-7	TC17000510.hg
KRTAP29-1	TC17001496.hg
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	TC17000508.hg
KRTAP9-9	TC17002204.hg
	TC01003150.hg
	TC01001145.hg
	TC01001148.hg
	TC01002274.hg
	TC01000225.hg
	TC14001027.hg
	TC01000218.hg
	TC01003132.hg
	TC14000214.hg
	TC01003162.hg
	TC01003117.hg
	TC01002265.hg
PPIAL4F	TC01001146.hg
PPIAL4F	TC01001149.hg
PPIAL4F	TC01003149.hg
DHX36	
IMPDH1P5	TC03000100.hg
IMPDH1P5	TC02002671.hg
IMPDH1P5	TC10001443.hg
IMPDH1P5	TC10001444.hg
IMPDH1P5	TC10001442.hg
RNVU1-26	TC01001079.hg
RNVU1-2A	
DLG5	
DLG5	TC10001445.hg
	TC18000394.hg
	TC21000017.hg
ARHGEF26	
ARHGEF26	TC03000844.hg
LINC01839	TC03002696.hg
LINC01839	TC03001006.hg
LINC02054	
RNU6-222P	TC19001852.hg
FTCD	
	TC05001029.hg
	TC05001027.hg
	TC05003370.hg
ADI1	
TRAPPC12	
KRTAP9-3	TC17000505.hg
	TC05001024.hg
	TC05002766.hg
	TC05001025.hg
	TC05002086.hg
ARHGEF26-AS1	
	TC21000255.hg
FTCD-AS1	TC21000254.hg
LSS	TC21000554.hg
LSS	
TPO	
TPO	TC02000013.hg
	TC22001016.hg
LINC01659	TC22000132.hg
SUDS3P1	
ZDHHC8P1	TC22000559.hg
ZDHHC8P1	
PROP1	
LINC00254	TC16001742.hg
HS3ST6	TC16000765.hg
MEIOB	
MEIOB	TC16001742.hg
CES5AP1	TC22000558.hg
CES5AP1	
LINC02124	
KRT20	TC17001473.hg
KRT20	
KCNQ2-AS1	TC20000516.hg
	TC22000133.hg
FAM230I	TC22001252.hg
FAM230I	TC22000560.hg
	TC08000883.hg
	ADDON001603.hg
	ADDON000987.hg
KCNQ2	
ERICH1	
KRTAP3-1	TC17001478.hg
KRTAP3-2	TC17001477.hg
ZNF965P	
GXYLT1P1	
PROP1	TC05002118.hg
KRTAP4-9	TC17000502.hg
CYP4F34P	
LINC02557	TC22000561.hg
CNN2P12	
SNX18P26	
LINC00328-2P	
ANKRD20A9P	TC13001330.hg
KRTAP2-4	TC17001484.hg
KRTAP2-4	TC17001486.hg
RNU6-55P	TC21000282.hg
	TC13000007.hg
	TC22000488.hg
KRT23	TC17001474.hg
KRT23	
	TC01004282.hg
	TC01000401.hg
ABCB11	
	TC01002439.hg
	TC01005375.hg
SPATC1L	TC21000553.hg
G6PC2	TC02000999.hg
G6PC2	
SLC45A2	
	ADDON002293.hg
RXFP3	TC05000149.hg
ADAMTS12	
	TC04001971.hg
	TC04000206.hg
ABCB10P1	
	TC05001244.hg
GOLGA8DP	TC15000035.hg
GOLGA8DP	TC15002072.hg
GOLGA8DP	TC15000039.hg
GOLGA8DP	TC15002434.hg
GOLGA8DP	TC15000134.hg
GOLGA8DP	TC15000010.hg
GOLGA8DP	TC15001044.hg
GOLGA8DP	TC15002104.hg
GOLGA8DP	TC15001098.hg
GOLGA8DP	TC15001102.hg
GOLGA8DP	TC15000193.hg
GOLGA8DP	TC15000184.hg
SPC25	
LINC02549	TC06001852.hg
LINC02549	TC06003706.hg
APOBEC3B-AS1	TC22000800.hg
	TC22000952.hg
APOBEC3A	
APOBEC3A	TC22001424.hg
GARRE1	
	TC06000217.hg
	TC05000488.hg
	TC06000691.hg
	TC05000486.hg
	TC22000533.hg
	TC05001199.hg
	TC06000690.hg
	TC05000309.hg
	TC05001631.hg
	TC05000321.hg
	TC05000320.hg
	TC05000308.hg
	TC05001630.hg
	TC05001633.hg
	TC05001632.hg
	TC05000487.hg
	TC06000218.hg
	TC22000554.hg
	TC20000159.hg
	TC22000489.hg
	TC05001198.hg
	TC10002148.hg
	TC10000554.hg
DLG5-AS1	TC10000557.hg
DLG5-AS1	TC10002149.hg
TUBGCP5	
	TC10000556.hg
	ADDON001735.hg
	ADDON000067.hg
RN7SL284P	
RNU6-1266P	TC10001441.hg
SEPTIN9-DT	
SEPTIN9	
	TC22001107.hg
	TC22000307.hg
LSM14A	TC19000440.hg
LSM14A	
KRT40	TC17001475.hg
GOLGA6L1	TC15001093.hg
GOLGA6L1	TC15000139.hg
GOLGA6L1	TC15001059.hg
GOLGA6L1	TC15000026.hg
GOLGA6L1	TC15001012.hg
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	TC02004159.hg
NOSTRIN	
MPHOSPH10P5	
KRTAP1-1	TC17001482.hg
KRTAP1-1	TC17002903.hg
	TC17001483.hg
	TC17001484.hg
KRTAP4-11	TC17001489.hg
	TC17000501.hg
KRTAP2-5P	
CYFIP1	
CYFIP1	TC15000028.hg
KRTAP1-3	TC17002902.hg
KRTAP4-16	TC17001488.hg
KRT12	TC17002917.hg
	TC08000885.hg
	TC08002171.hg
	TC02001508.hg
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	TC17001479.hg
KRT39	TC17002918.hg
KRT39	
	TC03003370.hg
	TC03002772.hg
	TC08002173.hg
ANKRD18DP	TC03002187.hg
ANKRD18DP	TC03003312.hg
ANKRD18DP	
CNTNAP2	
RPS17	TC15001754.hg
RPS17	TC15001743.hg
RPS17	
GOLGA6L22	TC15001063.hg
GOLGA6L22	TC15001093.hg
GOLGA6L22	TC15000139.hg
GOLGA6L22	TC15002438.hg
GOLGA6L22	TC15001059.hg
GOLGA6L22	TC15000026.hg
GOLGA6L22	TC15001012.hg
SLC25A51P1	TC06002852.hg
SLC25A51P1	TC06000704.hg
ADH5P4	TC06001847.hg
AADACL2	TC03000827.hg
KRTAP3-4P	
GOLGA8EP	TC15000035.hg
GOLGA8EP	TC15001102.hg
GOLGA8EP	TC15002072.hg
GOLGA8EP	TC15002434.hg
GOLGA8EP	TC15000134.hg
GOLGA8EP	TC15000010.hg
GOLGA8EP	TC15001044.hg
GOLGA8EP	TC15002104.hg
GOLGA8EP	TC15001098.hg
GOLGA8EP	TC15000193.hg
GOLGA8EP	TC15000184.hg
KRTAP2-1	TC17001483.hg
KRTAP2-1	TC17001484.hg
KRTAP2-1	TC17002623.hg
	TC22000031.hg
SKA1	TC18000178.hg
SKA1	
	TC07002730.hg
	TC07001067.hg
METRNL	TC17000959.hg
METRNL	
KRTAP3-3	TC17001476.hg
LILRP2	TC19002235.hg
LINC02066	TC03000826.hg
LINC02066	TC03002603.hg
KRTAP2-3	TC17001485.hg
AADACL2-AS1	
RNU6-821P	TC03002188.hg
	TC01002055.hg
	TC07000284.hg
	TC01003865.hg
	TC01003878.hg
	TC05001087.hg
	TC01004037.hg
	TC01002071.hg
	TC11001227.hg
	TC04001502.hg
	TC19000980.hg
	TC16000715.hg
	TC09000858.hg
	TC10000258.hg
ZNF43	
KRTAP4-12	TC17001490.hg
KRTAP1-4	TC17001480.hg
HERC2P2	TC15002437.hg
HERC2P2	TC15000144.hg
HERC2P2	TC15002105.hg
HERC2P2	TC15001011.hg
HERC2P2	TC15001058.hg
HERC2P2	TC15000141.hg
HERC2P2	TC15000142.hg
HERC2P2	TC15000143.hg
HERC2P2	TC15002423.hg
HERC2P2	
PAXBP1	
ZNF100	TC19001355.hg
ZNF100	
	TC17002624.hg
	TC17001487.hg
C21orf62	TC21000402.hg
FRG1-DT	
CCNYL6	
HERC2P7	TC15002103.hg
HERC2P7	TC15000031.hg
HERC2P7	TC15002062.hg
HERC2P7	TC15000006.hg
HERC2P7	TC15002101.hg
SPATA31E3P	
	TC07000967.hg
	TC07002654.hg
	TC04000934.hg
GOLGA8IP	TC15001102.hg
GOLGA8IP	TC15001104.hg
GOLGA8IP	TC15000030.hg
GOLGA8IP	TC15002116.hg
GOLGA8IP	TC15000193.hg
GOLGA8IP	TC15000184.hg
GOLGA8IP	TC15002804.hg
GOLGA8IP	TC15002071.hg
GOLGA8IP	TC15002452.hg
GOLGA8IP	TC15000158.hg
GOLGA8IP	TC15000163.hg
GOLGA8IP	TC15001170.hg
C21orf62-AS1	TC21000121.hg
C21orf62-AS1	TC21000672.hg
C21orf62-AS1	
	TC07002655.hg
RNU1-51P	TC04001837.hg
DNM1P38	
KCNIP4	
BRI3BPP1	TC19000395.hg
BRI3BPP1	TC19002044.hg
VN1R84P	
MTDHP4	
MAPK4	
	TC05003453.hg
	TC04000163.hg
CPEB1	
CPEB1	TC15001755.hg
	TC11000018.hg
TBCD	
	TC05000332.hg
	TC05002431.hg
	TC18000177.hg
	TC21000926.hg
	TC04000164.hg
RNA5SP458	TC18000177.hg
LRRC56	TC11000019.hg
	TC05001449.hg
	TC05000307.hg
	TC05002420.hg
MPHOSPH10P9	
CTDP1-DT	TC18000589.hg
	TC15000158.hg
	TC15000163.hg
	TC15001170.hg
	TC18000996.hg
	TC21000267.hg
	TC4_gl000194_random000002.hg
	TCUn_gl000218000001.hg
	TC21000804.hg
RPS6P22	
LRIG3-DT	
MAFIP	TC21000267.hg
MAFIP	TC4_gl000194_random000002.hg
MAFIP	TCUn_gl000218000001.hg
MAFIP	TC21000804.hg
SMN2	
SMN2	TC05000317.hg
SMN2	TC05002424.hg
	TC01000213.hg
TUBGCP5	TC15000027.hg
	ADDON001110.hg
	TC01003427.hg
	TC18000788.hg
CTDP1	TC18000264.hg
CTDP1	
DECR2	TC16002050.hg
DECR2	
MREGP1	
	TC12002821.hg
	ADDON000153.hg
	TC12001359.hg
	ADDON001087.hg
AP2A2	
AP2A2	TC11000036.hg
	TCUn_gl000219000002.hg
SNTB2	
RPL4P5	TC15002586.hg
RPL4P5	18671452
RPL4P5	18671447
RPL4P5	18671449
RPL4P5	18671453
PHRF1	TC11000022.hg
PHRF1	
UTP4	
SINHCAF	TC12001361.hg
SINHCAF	
MAD2L1-DT	
GART	
ABR	TC17000970.hg
ABR	
MEGF11	
	TC04001262.hg
RPS5P3	
DNAJC28	
DNAJC28	TC21000411.hg
UGT2A3	TC04002580.hg
UGT2A3	TC4_ctg9_hap1000005.hg
UGT2A3	TC04001263.hg
	TC12002304.hg
	TC12000288.hg
B3GNTL1	TC17001988.hg
B3GNTL1	
IFNGR2	
IFNGR2	TC21000129.hg
MUC6	TC11001256.hg
MUC6	TC11002987.hg
MUC6	
UGT2B27P	TC4_ctg9_hap1000006.hg
	TC16000566.hg
	TC04001128.hg
	TC08000693.hg
	TC16001219.hg
	TC08000390.hg
MUC20-OT1	
MUC20-OT1	TC03001087.hg
MUC20-OT1	TC03003295.hg
CDH12P2	
PMCHL2	TC05000331.hg
PMCHL2	TC05002429.hg
PMCHL2	
UGT2B29P	
UGT2B10	TC4_ctg9_hap1000002.hg
UGT2B10	TC04000370.hg
UGT2B10	TC4_ctg9_hap1000006.hg
PRB1	TC12002765.hg
PRB1	TC12003274.hg
PRB1	TC12002766.hg
PRB1	TC12003275.hg
RAB11FIP3	TC16000014.hg
RAB11FIP3	
GTF2H2	TC05001456.hg
GTF2H2	TC05000319.hg
GTF2H2	TC05001457.hg
GTF2H2	TC05000305.hg
GTF2H2	TC05002425.hg
GTF2H2	
RNU6-1025P	TC11000037.hg
UGT2B15	TC4_ctg9_hap1000004.hg
UGT2B15	TC04001261.hg
SDHAP2	TC03001087.hg
SDHAP2	TC03003295.hg
SDHAP2	TC03002154.hg
KRTAP5-6	TC11000049.hg
KRTAP5-6	TC11002506.hg
KRTAP5-1	TC11001261.hg
KRTAP5-1	TC11002990.hg
KRTAP5-4	TC11002993.hg
	TC03003288.hg
	TC03002149.hg
	TC04002054.hg
	TC04002053.hg
KRTAP5-5	TC11002503.hg
KRTAP5-5	TC11000046.hg
MT2P1	
FAM99A	TC11000047.hg
FAM99A	TC11002504.hg
FAM99A	TC11002994.hg
FAM99A	TC11001265.hg
DIS3L-AS1	
TMPRSS11E	TC04000369.hg
TMPRSS11E	TC4_ctg9_hap1000001.hg
TMPRSS11E	
LINC02708	ADDON000100.hg
LINC02708	TC11000048.hg
LINC02708	TC11001264.hg
LINC02708	TC11002505.hg
LINC02708	ADDON001758.hg
KRTAP5-AS1	
KRTAP5-AS1	TC11000045.hg
KRTAP5-AS1	TC11002502.hg
KRTAP5-AS1	ADDON002349.hg
TMEM50B	
TMEM50B	TC21000935.hg
TMEM50B	TC21000409.hg
NDUFA6	TC22000840.hg
NDUFA6	
	TC11000048.hg
	TC11001264.hg
DUSP8	TC11001260.hg
DUSP8	
GNG5P1	
	TC06001175.hg
	TC06003193.hg
TCF20	TC22000843.hg
TCF20	
FAM99B	TC11000047.hg
FAM99B	TC11002994.hg
FAM99B	TC11001265.hg
IFITM10	TC11002995.hg
KRTAP5-3	TC11002992.hg
KRTAP5-2	TC11001262.hg
KRTAP5-2	TC11002991.hg
SMDT1	TC22001473.hg
SMDT1	
YTHDC1	TC4_ctg9_hap1000003.hg
YTHDC1	TC04001259.hg
YTHDC1	
LINC00235	TC16000729.hg
LINC00235	TC16001732.hg
CAPN15	
	TC16000728.hg
NDUFA6-DT	TC22001474.hg
NDUFA6-DT	TC22001125.hg
OLA1P1	
	TC22000842.hg
	TC21000936.hg
	TC21000410.hg
CYP2D7	TC22001431.hg
CYP2D7	TC22001361.hg
CYP2D7	
LINC02982	TC05001101.hg
LINC02982	TC05002806.hg
NKD2	TC05000015.hg
NKD2	
CSPG4P10	TC15002322.hg
CSPG4P10	TC0Y000095.hg
CSPG4P10	TC0Y000207.hg
CSPG4P10	TC0Y000096.hg
CSPG4P10	TC0Y000208.hg
CSPG4P10	TC15000825.hg
CSPG4P10	TC0Y000219.hg
CSPG4P10	TC15000771.hg
CSPG4P10	TC15001746.hg
CSPG4P10	TC15000806.hg
CSPG4P10	TC0Y000086.hg
CSPG4P10	TC15002320.hg
CSPG4P10	TC15002333.hg
CSPG4P10	TC15000784.hg
	TC15002663.hg
	TC15001750.hg
	TC15002666.hg
	TC15000828.hg
GOLGA6L9	
GOLGA6L9	TC15000829.hg
GOLGA6L9	TC15002663.hg
GOLGA6L9	TC15001750.hg
GOLGA6L9	TC15002343.hg
GOLGA6L9	TC15000767.hg
GOLGA6L9	TC15001744.hg
GOLGA6L9	TC15002666.hg
GOLGA6L9	TC15000828.hg
GOLGA6L9	TC15000787.hg
GOLGA6L9	TC15001738.hg
GOLGA6L9	TC15001782.hg
FAM99B	TC11002504.hg
GOLGA6L17P	TC15000828.hg
GOLGA6L17P	TC15000787.hg
KRTAP5-4	TC11001263.hg
	ADDON001758.hg
CYP2D8P	TC22001364.hg
CYP2D8P	TC22001362.hg
CYP2D8P	TC22001363.hg
GOLGA2P10	TC15002681.hg
GOLGA2P10	TC15002321.hg
GOLGA2P10	TC0Y000084.hg
GOLGA2P10	TC15000768.hg
GOLGA2P10	TC0Y000221.hg
GOLGA2P10	TC15000788.hg
GOLGA2P10	TC15001781.hg
GOLGA2P10	TC15002665.hg
GOLGA2P10	TC15001749.hg
GOLGA2P10	TC15001779.hg
GOLGA2P10	TC15000781.hg
GOLGA2P10	TC15000803.hg
GOLGA2P10	TC15000775.hg
GOLGA2P10	TC15001741.hg
GOLGA2P10	TC15001752.hg
SLC12A7	TC05001102.hg
SLC12A7	
LMNTD2	
LMNTD2	TC11001237.hg
UBE2Q2P6	
TIMM22	TC17000007.hg
ADAMTS7P1	TC15000776.hg
ADAMTS7P1	TC15002318.hg
ADAMTS7P1	TC15000764.hg
ADAMTS7P1	ADDON001112.hg
ADAMTS7P1	TC15002682.hg
ADAMTS7P1	
NXN	
	TC04001837.hg
MUC4	TC03003289.hg
MUC4	
GOLGA6L10	TC15000829.hg
GOLGA6L10	TC15002663.hg
GOLGA6L10	TC15000774.hg
GOLGA6L10	TC15001750.hg
GOLGA6L10	TC15000767.hg
GOLGA6L10	TC15001744.hg
GOLGA6L10	TC15002666.hg
GOLGA6L10	TC15000828.hg
GOLGA6L10	TC15000787.hg
GOLGA6L10	TC15001738.hg
GOLGA6L10	TC15000808.hg
GOLGA6L10	TC15001782.hg
	TC15002322.hg
	TC15000825.hg
	TC0Y000219.hg
	TC15000771.hg
	TC15001746.hg
	TC15000806.hg
	TC0Y000086.hg
	TC15002320.hg
	TC15002333.hg
	TC15000784.hg
MIR210HG	TC11002981.hg
MIR210HG	TC11001238.hg
	TC15000805.hg
LINC00824	TC08002526.hg
LINC00824	TC08002589.hg
GOLGA6L10	TC15002343.hg
GOLGA6L10	
	TC05002178.hg
RNH1	TC11001235.hg
RNH1	
UBE2Q2P2	TC15000766.hg
UBE2Q2P2	TC15002319.hg
UBE2Q2P2	TC15000780.hg
UBE2Q2P2	
	TC04001826.hg
	TC04002892.hg
	18670041
	18670038
	TC15001739.hg
	18670033
	18670032
	18670039
	TC0X000924.hg
	TC03002248.hg
	TC03000115.hg
MUC20	
KIF26B	
KIF26B	TC01005155.hg
KIF26B	TC01001996.hg
KIF26B	TC01005156.hg
RPL7AP55	
OR10A3	ADDON002496.hg
OR10A3	TC11001380.hg
OR10A3	TC11003041.hg
OR5P2	ADDON002606.hg
OR5P2	TC11001375.hg
OR5E1P	TC11002547.hg
OR5E1P	TC11000153.hg
OR5P3	TC11001376.hg
OR10A6	TC11001379.hg
OR10A6	ADDON002546.hg
NLRP10	TC11001381.hg
NLRP10	ADDON002610.hg
NLRP10	
KIR3DL2	
NDUFA6-DT	
	TC11001377.hg
	TC11003040.hg
	TC11001378.hg
SERF1B	
SERF1B	TC05000325.hg
SERF1B	TC05000316.hg
TARM1	TC19001830.hg
TARM1	TC19002576.hg
CYP2D6	TC22001430.hg
CYP2D6	TC22001361.hg
	TC05001448.hg
	TC05003052.hg
	TC05001454.hg
MBOAT7	TC19001837.hg
NAIP	TC05001449.hg
NAIP	TC05000307.hg
NAIP	TC05002420.hg
