hgnc_symbol	affy_hta_2_0
EIF4EBP2P2	
	TC14002088.hg
	TC14001306.hg
OR7E159P	
LINC02302	TC14001076.hg
LINC02302	TC14001988.hg
SNX18P23	
	TC04002544.hg
	TC15001213.hg
	TC15002486.hg
RPA2P1	
MTCO3P39	
	TC14000268.hg
MTND3P22	
EMC9	
EMC9	TC14000967.hg
EIF3LP1	
	TC15000374.hg
EIF4BP1	
	TC14000267.hg
COILP1	
TRAJ50	
HSPA13	TC21000284.hg
HSPA13	
	TC14001135.hg
	TC14001613.hg
RPL18P1	
MTCYBP23	
FKBP1BP1	
ATP5IF1	TC01000375.hg
ATP5IF1	
RPL36P18	
PRELID1P4	
EEF1A1P29	
	TC15001222.hg
SRSF5	TC14000418.hg
SRSF5	
SFR1P1	
PCBP2P1	
GGTLC4P	TC22001262.hg
PSMG1	TC21000458.hg
PSMG1	
	TC20001351.hg
	TC20000510.hg
LINC02405	TC12002111.hg
LINC02405	TC12003153.hg
LINC02405	
TCEAL7	TC0X000494.hg
TCEAL7	TC0X001806.hg
POM121L9P	TC06000217.hg
POM121L9P	TC05000488.hg
POM121L9P	TC06000691.hg
POM121L9P	TC05000486.hg
POM121L9P	TC05001199.hg
POM121L9P	TC06000690.hg
POM121L9P	TC05000309.hg
POM121L9P	TC05001631.hg
POM121L9P	TC05000321.hg
POM121L9P	TC22000147.hg
POM121L9P	TC05000320.hg
POM121L9P	TC05000308.hg
POM121L9P	TC05001630.hg
POM121L9P	TC05001633.hg
POM121L9P	TC05001632.hg
POM121L9P	TC05000487.hg
POM121L9P	TC06000218.hg
POM121L9P	TC22000554.hg
POM121L9P	TC20000159.hg
POM121L9P	TC22000489.hg
POM121L9P	TC05001198.hg
POM121L9P	
LINC02120	TC05000145.hg
LINC02120	TC05002324.hg
TNFRSF19	TC13000049.hg
TNFRSF19	
ARFGAP1	
ARFGAP1	TC20000512.hg
SESN2	TC01000377.hg
	TC05001227.hg
PART1	
PART1	TC05002394.hg
PART1	TC05000258.hg
DNAAF4-CCPG1	TC15002775.hg
DNAAF4-CCPG1	TC15002546.hg
DNAAF4-CCPG1	TC15002774.hg
SPECC1L	TC22001458.hg
SPECC1L	
	TC08000261.hg
	TC08001877.hg
HMGN1P35	
ARL5AP5	
TMEM230P1	
SPRING1P1	
RPL26P28	
RBP3	TC10001250.hg
MED18	TC01000378.hg
MED18	
	TC15000371.hg
TMEM184CP1	
BEX1	TC0X001233.hg
BEX1	TC0X002165.hg
	TC15001361.hg
	TC15002472.hg
	TC15001229.hg
	TC14001606.hg
	TC14000160.hg
TAF11L8	ADDON001430.hg
TAF11L8	ADDON001429.hg
TAF11L8	ADDON001432.hg
TAF11L8	ADDON001431.hg
RYR3-DT	
RYR3-DT	TC15002474.hg
RYR3-DT	TC15001186.hg
	TC05002986.hg
	TC05001326.hg
TAF11L9	ADDON001430.hg
TAF11L9	ADDON001429.hg
TAF11L9	ADDON001432.hg
TAF11L9	ADDON001431.hg
PSME2	TC13000192.hg
PSME2	TC14000968.hg
PSME2	
HSPB3	TC05000225.hg
	TC15000389.hg
RPL7AP72	
	TC0X001854.hg
NLRP7P1	
IMPDH1P4	
RHOXF1P1	TC0X001319.hg
RHOXF1P1	TC0X002212.hg
	TC15000278.hg
LINC02213	TC05001162.hg
ARHGAP12	TC10001159.hg
ARHGAP12	
COX6B1P4	
	TC15000447.hg
GCNT1P2	
DCAF8L1	TC0X000935.hg
FST	TC05000220.hg
FST	
DCTN6	TC08002579.hg
DCTN6	TC08001862.hg
RPL22P22	
	TC0X000989.hg
H3P44	TC0X001707.hg
PRTG	TC15001469.hg
PRTG	TC15002549.hg
PRTG	
RPL31P63	
SPIN4	TC0X001090.hg
RRM2P3	
COL4A2-AS2	TC13000873.hg
ANKFY1	TC17002450.hg
ANKFY1	TC17001019.hg
ANKFY1	
PCNAP3	
COL4A2-AS1	TC13000874.hg
	TC0X001629.hg
	TC0X000122.hg
RAB20	TC13000875.hg
RAB20	ADDON002505.hg
RPL7P55	
MTCO1P53	TC0X001865.hg
PRPF4BP1	
CARS2	
CARS2	TC13000876.hg
DCAF12L2	TC0X001348.hg
DNAJC18	
DNAJC18	TC05003430.hg
DNAJC18	TC05003259.hg
H3P19	
TAF11L7	ADDON001430.hg
TAF11L7	ADDON001429.hg
TAF11L7	ADDON001432.hg
TAF11L7	ADDON001431.hg
UQCRBP3	
	TC05000215.hg
	TC05000121.hg
BRWD1	TC21000459.hg
BRWD1	TC21000458.hg
BRWD1	
TAF11L2	
	TC05001231.hg
MRPS30	TC05002362.hg
MRPS30	TC05000206.hg
MRPS30	
TMEM30BP1	
RAD51	TC15002160.hg
RAD51	TC15000292.hg
COX6CP12	
NCKAP1P1	
DEFT1P	TC08000911.hg
DEFT1P	TC08000913.hg
DEFT1P	TC08002196.hg
DEFT1P	TC08002195.hg
OTUD6A	TC0X000369.hg
UBE2V1P16	
AKAIN1	
AKAIN1	TC18000296.hg
SLC14A2	TC18000161.hg
SLC14A2	
PPP2R2A	
PPP2R2A	TC08002591.hg
THOC2	
THOC2	TC0X001342.hg
CAP2P1	
GHR	
GHR	TC05002346.hg
GHR	TC05002347.hg
	TC14001005.hg
FUT8	TC14001735.hg
FUT8	TC14000397.hg
FUT8	
TOLLIP	TC11001258.hg
TOLLIP	
SPECC1L-ADORA2A	TC22001458.hg
	TC05003259.hg
	TC05003431.hg
ADORA2A	
ADORA2A	TC22001457.hg
RNU5B-4P	TC05000712.hg
ECSCR	TC05003431.hg
OR7E55P	
EVA1CP5	
LSP1P2	
RALBP1	TC18000046.hg
RALBP1	
ALG1L6P	TC03000438.hg
ALG1L6P	TC04000053.hg
FAM86DP	TC03001563.hg
FAM86DP	TC08000993.hg
FAM86DP	TC08002230.hg
FAM86DP	TC03002975.hg
FAM86DP	
SMIM33	
BOLA2P3	
STING1	TC05001845.hg
STING1	
ADORA2A-AS1	TC22001264.hg
ADORA2A-AS1	TC22000588.hg
ADORA2A-AS1	
MIR7703	
RNF31	
RNF31	TC14000162.hg
ZZEF1	TC17001017.hg
ZZEF1	
SSU72P7	
UPB1	TC22000149.hg
UPB1	
KCNQ1OT1	TC11001282.hg
KCNQ1OT1	TC11003006.hg
SSU72P3	
TOLLIP-DT	TC11000042.hg
TOLLIP-DT	TC11002501.hg
SSU72P5	
WBP11P1	TC18000137.hg
WBP11P1	TC18000671.hg
LINC02018	TC03002398.hg
LINC02018	TC08002202.hg
LINC02018	
MUC5B	TC11002495.hg
MUC5B	TC11002498.hg
MUC5B	TC11003510.hg
MUC5B	TC11002499.hg
MUC5B	TC11002497.hg
MUC5B	
	TC18000297.hg
	TC18000809.hg
KIF13A	TC06001298.hg
KIF13A	
SS18	TC18000873.hg
SS18	TC18000423.hg
SS18	
ING1	
ING1	TC13000395.hg
MIR3168	
RN7SL597P	
KBTBD6	TC13001446.hg
KBTBD6	TC13000599.hg
CALM2P3	
KBTBD7	TC13000601.hg
MORF4L1P4	
MTRF1	
MTRF1	TC13000603.hg
	TC22000150.hg
SNRPD3	
SNRPD3	TC22001459.hg
MINDY2-DT	TC15002557.hg
MINDY2-DT	TC15001489.hg
ACTC1	TC15001201.hg
ACTC1	
SPIN3	TC0X002091.hg
SPIN3	TC0X001085.hg
SPIN3	
ENPP7P2	
	TC22000116.hg
	TC22001235.hg
	TC22001026.hg
	TC22001460.hg
SNRPCP10	
NCOA4P4	
RPS3AP15	18670022
RPS3AP15	18670025
RAC1P3	
NAA16	TC13000145.hg
NAA16	
ENTPD4-DT	TC08000187.hg
	TC08000312.hg
LRRC75B	
LRRC75B	TC22000590.hg
CDH9	TC05001216.hg
CDH9	
ACTBP7	
MAP2K1P1	
ENTPD4	
ENTPD4	TC08002612.hg
BRSK2	TC11000043.hg
BRSK2	
	TC15002793.hg
GGT1	TC22001026.hg
GGT1	TC22000116.hg
GGT1	TC22001235.hg
GGT1	TC22001460.hg
GGT1	
CRK	TC17000973.hg
CRK	TC17002435.hg
CRK	
	TC05002408.hg
	TC05001468.hg
CCNO-DT	TC05000233.hg
TEKT1	
TEKT1	TC17001069.hg
NAIPP1	TC05000307.hg
NAIPP1	TC05002420.hg
TATDN1P1	
DOCK11P1	
RPS19P3	
BMS1P2	TC10002625.hg
BMS1P2	TC10001259.hg
	TC14001696.hg
RAB42P1	
LINC02228	TC05001208.hg
LINC02228	TC05002927.hg
SNRPEP8	
UBE2D1	TC10000360.hg
UBE2D1	
	TC14000518.hg
	TC14001380.hg
LINC02100	TC05001192.hg
ERO1A	TC14001141.hg
ERO1A	
ADAMTS12	TC05001242.hg
ADAMTS12	TC05001243.hg
ADAMTS12	TC05002946.hg
ADAMTS12	TC05002945.hg
MIR4326	TC20000512.hg
RNU6-994P	TC20000514.hg
CHRNA4	
CHRNA4	TC20001712.hg
CHRNA4	TC20001711.hg
PIMREG	TC17000072.hg
PIMREG	
TIMM9P2	
BRWD1-IT1	TC21000460.hg
YWHAZP3	TC10000164.hg
METTL21AP1	
LINC02632	TC10000264.hg
BRWD1-AS1	TC21000173.hg
RNU6-57P	TC13000604.hg
TUBBP2	
OR7E36P	TC13001447.hg
OR7E36P	TC13000146.hg
OR7E155P	
	TC10001215.hg
OR7E37P	TC13001447.hg
OR7E37P	TC13000146.hg
RGCC	TC13000147.hg
RGCC	
HMGN1	TC21000988.hg
HMGN1	TC21000987.hg
HMGN1	TC21000462.hg
HMGN1	
	TC10000320.hg
	TC10000295.hg
	TC10000336.hg
	TC10001245.hg
	TC01003575.hg
	TC10001484.hg
	TC10000317.hg
	TC10001248.hg
	TC10000304.hg
	TC10000332.hg
	TC10000303.hg
	TC10001226.hg
	TC10001285.hg
LINC01402	TC0X002213.hg
LINC01402	TC0X001322.hg
GDF10	TC10001252.hg
	TC0X001232.hg
PNPLA10P	TC0X001866.hg
	TC13001040.hg
MAP2K4P1	TC0X001154.hg
MAP2K4P1	TC0X002123.hg
MAP2K4P1	
H3P32	
SPRYD7P1	
BMS1P10	TC09002552.hg
BMS1P10	ADDON002253.hg
BMS1P10	ADDON002254.hg
BMS1P10	ADDON001671.hg
	TC10001079.hg
VWA8	TC13000607.hg
VWA8	
RPL32P21	
GEMIN8P3	
	TC09000910.hg
	TC09002406.hg
	TC10000034.hg
ITM2A	TC0X001180.hg
ITM2A	
	TC09001076.hg
RAB28P3	
LYPLA2P3	
PRKG1-AS1	TC10002646.hg
PRKG1-AS1	
	ADDON001051.hg
TCEA1P4	
	TC09002430.hg
	TC09000967.hg
	TC14000161.hg
ZNF33B	
GNAQ	TC09001228.hg
GNAQ	
SYT15B	TC10001236.hg
SYT15B	
RNA5SP383	TC14000162.hg
IRF9	
	TC20000515.hg
	TC20001353.hg
	TC20001419.hg
HIGD1AP15	
SPIDR	
RPL23AP6	
SDAD1P2	
CAPZA1P1	
MKKS	TC20001420.hg
MKKS	TC20000619.hg
	TC10000392.hg
	TC10002100.hg
RPS7P13	
	TC10001116.hg
	TC10002507.hg
CBLL1P1	
	TC10002050.hg
LUZP4	TC0X000566.hg
	TC10002077.hg
	TC10000359.hg
CEP164P1	TC10001218.hg
CEP164P1	
CEP164P1	TC10002592.hg
	TC10002623.hg
PCAT5	
SPANXB1	TC0X000687.hg
SPANXB1	TC0X000686.hg
	TC10002503.hg
LINC02899	TC05000115.hg
LINC02899	TC05002306.hg
NPY4R2	TC10000302.hg
LINC02225	TC05003015.hg
LINC02225	TC05001383.hg
	TC09000371.hg
	TC09002040.hg
ALDH1A1	TC09001211.hg
ALDH1A1	
CAMKK1	TC17001013.hg
CAMKK1	
H3P20	
NRP1	TC10001166.hg
NRP1	
MCIDAS	TC05001360.hg
FAM25C	TC10001257.hg
FAM25C	TC10001239.hg
FAM25C	TC10000313.hg
KCTD9P2	
HSPA8P1	
RPL26P36	
PELI2	TC14000332.hg
PELI2	
MED28P4	
RHOXF1P2	
EEF1A2	TC20001032.hg
EEF1A2	
BEX3	TC0X000496.hg
BEX3	
AGAP12P	TC10001281.hg
AGAP12P	TC10001258.hg
AGAP12P	TC10000340.hg
AGAP12P	TC10002619.hg
AGAP12P	TC10002624.hg
DPPA5P4	
	TC04001232.hg
OR7E106P	
ENSAP2	
UBA52P3	
CYB5AP5	
NAA30	TC14000342.hg
NAA30	
	TC05003051.hg
	TC05001446.hg
	ADDON001427.hg
	TC05001447.hg
LINC02619	
RNA5SP315	TC10000318.hg
RNA5SP315	TC10000305.hg
RNA5SP315	TC10001284.hg
RNA5SP315	TC10000297.hg
RNA5SP315	TC10001247.hg
RNA5SP315	TC10000321.hg
BMS1P7	TC10002625.hg
BMS1P7	TC10001259.hg
UGT3A1	TC05001266.hg
UGT3A1	
PTPN20CP	
LINC02429	
MAGEC2	TC0X001441.hg
	TC20000517.hg
	TC20001356.hg
CLEC14A	TC14001061.hg
PPDPF	TC20000518.hg
VKORC1P1	TC0X001635.hg
SUMO2P21	TC0X001296.hg
SUMO2P21	TC0X002194.hg
DUTP4	
SLITRK4	TC0X001446.hg
REC8	TC14000163.hg
REC8	
MIR5006	
RN7SL515P	
RNU6-74P	TC13000148.hg
NAP1L2	TC0X001152.hg
KARS1P1	
PTK6	TC20001033.hg
VWA8-AS1	TC13000149.hg
VWA8-AS1	TC13001041.hg
RPS28P8	
FERP1	
	TC13000609.hg
RGS6	TC14000435.hg
RGS6	TC14001761.hg
RGS6	
PHF5FP	
MAPK6P3	
	TC0X001866.hg
LINC00456	TC13001648.hg
LINC00456	TC13000814.hg
HTATSF1	TC0X000661.hg
HTATSF1	
RNA5SP37	TC13000815.hg
	TC18000622.hg
RAP2A	TC13000341.hg
RAP2A	
ANKRD20A5P	
ANKRD20A5P	TC13001330.hg
ANKRD20A5P	TC18000077.hg
ANKRD20A5P	TC18000646.hg
ANKRD20A5P	TC09001387.hg
ANKRD20A5P	TC21000280.hg
ANKRD20A5P	TC09001122.hg
ANKRD20A5P	TC04001184.hg
ANKRD20A5P	TC09000298.hg
ANKRD20A5P	TC04001182.hg
ANKRD20A5P	TC04000289.hg
ANKRD20A5P	TC18000079.hg
ANKRD20A5P	TC01003064.hg
ANKRD20A5P	TC04000287.hg
ANKRD20A5P	TC09001149.hg
ANKRD20A5P	TC02002089.hg
FNDC11	
FNDC11	TC20000519.hg
	TC09001954.hg
	TC09000254.hg
	TC09002540.hg
	TC09001939.hg
	TC09001140.hg
	TC09000271.hg
RPSAP75	
	ADDON002250.hg
	ADDON001668.hg
HSPA8P17	
PSMA6P4	
CARNMT1-AS1	TC09000342.hg
CARNMT1-AS1	TC09002017.hg
RNU1-94P	TC20000201.hg
LPAR6	TC13001488.hg
LPAR6	
PDRG1	TC20000759.hg
C9orf85	
TPMTP1	
RPS8P3	
	TC18000878.hg
	TC18000431.hg
NAXD	TC13000394.hg
NAXD	TC13001294.hg
XKR7	TC20001186.hg
XKR7	TC20000202.hg
XKR7	TC20000203.hg
	TC22000152.hg
FRMD3-AS1	TC09000373.hg
LINC01335	TC05003080.hg
LINC01335	TC05003079.hg
LINC01335	TC05001478.hg
BCRP3	TC22001027.hg
BCRP3	TC22000153.hg
BCRP3	TC22000587.hg
	TC20000760.hg
TTC39C-AS1	
	TC05001214.hg
	TC05002931.hg
IGKV1OR9-2	TC0Y000160.hg
IGKV1OR9-2	ADDON001674.hg
IGKV1OR9-2	TC22000467.hg
NPM1P1	
	TC09002609.hg
	TC18000620.hg
	TC05002377.hg
RNA5SP481	TC20000203.hg
	TC05001145.hg
	TC18000818.hg
	TC18000314.hg
	TC22001027.hg
	TC22000153.hg
	TC22000587.hg
SERPINA7	TC0X001256.hg
CCM2L	TC20000204.hg
	TC05000201.hg
FKBP4P6	
CDH18	
CDH18	TC05001195.hg
SLC28A3	TC09001286.hg
SLC28A3	TC09002619.hg
SLC28A3	
	TC22001266.hg
	TC22000591.hg
	TC22000592.hg
ANKRD12	
ANKRD12	TC18000042.hg
POM121L10P	TC06000217.hg
POM121L10P	TC05000488.hg
POM121L10P	TC06000691.hg
POM121L10P	TC05000486.hg
POM121L10P	TC05001199.hg
POM121L10P	TC06000690.hg
POM121L10P	TC05000309.hg
POM121L10P	TC05001631.hg
POM121L10P	TC05000321.hg
POM121L10P	TC05000320.hg
POM121L10P	TC05000308.hg
POM121L10P	TC05001630.hg
POM121L10P	TC05001633.hg
POM121L10P	TC05001632.hg
POM121L10P	TC05000487.hg
POM121L10P	TC06000218.hg
POM121L10P	TC22000554.hg
POM121L10P	TC20000159.hg
POM121L10P	TC22000489.hg
POM121L10P	TC05001198.hg
ARL5AP4	
RPL7AP62	
OR11Q1P	
OR4H6BP	
P2RX1	TC17001014.hg
P2RX1	
	TC0X000697.hg
	TC0X001903.hg
CRIP1P4	TC22000156.hg
GOLM2	
GOLM2	TC15000338.hg
PPFIA1	TC11000724.hg
PPFIA1	
	TC0X002225.hg
TAFA5	TC22000407.hg
TAFA5	TC22001173.hg
TAFA5	
BTG3P1	
CYCSP44	
H2BP8	
	TC0X002103.hg
	TC0X001107.hg
KRR1P1	
RNA5SP482	TC20000205.hg
TFDP3	TC0X001374.hg
	TC13000927.hg
SNURFL	TC0X000674.hg
LINC01072	TC13000024.hg
LINC01072	TC13000928.hg
RSL24D1P6	
TSPY26P	TC20001535.hg
TSPY26P	TC20000761.hg
TSPY26P	ADDON002314.hg
TSPY26P	TC20001536.hg
GJA3	TC13000455.hg
MIR3649	TC12001091.hg
RPL7P53	
MDN1	TC06001944.hg
MDN1	
ADIPOR2	
ADIPOR2	TC12000018.hg
H2AZP4	
	TC11002026.hg
MIR548K	TC11000725.hg
	TC11000726.hg
MTND4LP1	TC0X001865.hg
PPIAP28	
OR5BH1P	
	TC11002027.hg
LINC00556	TC13000931.hg
PLAGL2	TC20001537.hg
PLAGL2	TC20000761.hg
PLAGL2	ADDON002314.hg
PLAGL2	TC20000762.hg
PLAGL2	TC20001536.hg
	TC11002028.hg
GJB2	TC13000456.hg
YAP1P2	
MAPK1	TC22000547.hg
MAPK1	
IGBP1	TC0X000370.hg
CTTN-DT	TC11002029.hg
CTTN	TC11000727.hg
CTTN	
POFUT1	TC20000208.hg
POFUT1	
	TC13000933.hg
GJB6	TC13000457.hg
GJB6	TC13001343.hg
GJB6	
RAB40A	ADDON002798.hg
RAB40A	TC0X001240.hg
RPS4XP14	
SPANXN3	TC0X001445.hg
PPIAP87	
FOXB2	TC09000353.hg
CACNA2D4	TC12001092.hg
CACNA2D4	
PGM5	TC09002563.hg
PGM5	TC09002365.hg
PGM5	TC09000311.hg
PGM5	TC02000729.hg
PGM5	TC09000312.hg
PGM5	TC09002562.hg
PGM5	TC09001164.hg
PGM5	
	TC0X001331.hg
	TC0X001330.hg
	TC0X001333.hg
	TC0X001328.hg
	TC0X002361.hg
	TC0X001335.hg
	TC0X002362.hg
	TC0X001337.hg
	TC0X001334.hg
	TC0X001329.hg
	TC0X001336.hg
	TC0X001332.hg
H2AQ1P	
IPO4	TC14002339.hg
IPO4	
FGF13-AS1	TC0X000672.hg
FGF13-AS1	TC0X001892.hg
	TC21000174.hg
RNF6P1	
CT47A12	TC0X001331.hg
CT47A12	TC0X001330.hg
CT47A12	TC0X001333.hg
CT47A12	TC0X002361.hg
CT47A12	TC0X001335.hg
CT47A12	TC0X002362.hg
CT47A12	TC0X001337.hg
CT47A12	TC0X001329.hg
CT47A12	TC0X001336.hg
CT47A12	TC0X001332.hg
GET1	
KRT18P44	
LINC01281	TC0X002031.hg
LINC01281	TC0X000960.hg
LINC00850	
MIR1825	
	TC20001538.hg
RHOXF2	TC0X000592.hg
RHOXF2	TC0X001320.hg
	TC20001191.hg
	TC20000212.hg
NOL4L-DT	TC20000214.hg
NOL4L-DT	TC20001192.hg
OR52B3P	
	TC20000213.hg
MUC5B-AS1	TC11001257.hg
OR52P2P	
C20orf203	TC20001541.hg
C20orf203	TC20000765.hg
OR52B4	TC11001308.hg
CYP4F35P	TC18000082.hg
CYP4F35P	TC18000647.hg
CYP4F35P	
HAX1P1	
CNOT7P1	
	TC20000766.hg
	TC20001541.hg
	TC20000765.hg
OR7L1P	
KCNQ1	TC11000066.hg
KCNQ1	TC11002520.hg
TUBB4AP1	
ORC1P1	
C18orf25	
C18orf25	TC18000167.hg
SKP2P1	
ETS2P1	
LURAP1L-AS1	
LURAP1L-AS1	TC09000912.hg
LURAP1L-AS1	ADDON001656.hg
BAK1P1	
	TC0X000696.hg
MAPRE1	TC20000216.hg
LINC02149	TC05001175.hg
LINC02149	TC05002908.hg
LINC02149	TC05001176.hg
LINC02149	TC05002909.hg
PSAT1	TC09000358.hg
WDR44	TC0X000572.hg
WDR44	
STARD9	TC15002172.hg
STARD9	TC15000322.hg
STARD9	
PITPNM3	TC17001063.hg
PITPNM3	
ZMYM2	
ZMYM2	TC13000927.hg
ZMYM2	TC13000021.hg
PROCR	TC20000248.hg
PROCR	
	TC18000660.hg
	TC18000838.hg
ZBTB7C-AS1	
RAI14	
RNA5SP483	TC20000249.hg
MMP24OS	
FAM242D	TC09000256.hg
FAM242D	TC20001528.hg
SDR42E1P2	
	TC15002154.hg
	TC09000294.hg
	TC02002223.hg
	TC09001183.hg
OR11K1P	
IDNK	TC09000378.hg
IDNK	
RPL7AP75	
SHC4	TC15001338.hg
SHC4	
	TC08001027.hg
XKR6	TC08000964.hg
XKR6	
MT1P3	
MMP24	TC20000250.hg
GET1-SH3BGR	TC21000176.hg
BMS1P14	
MIR6508	
MYL6P2	
	TC09002052.hg
RPS26P4	
JCADP1	
AQP7P4	TC09001173.hg
AQP7P4	TC09001968.hg
B3GALT5-AS1	
B3GALT5-AS1	TC21000464.hg
B3GALT5-AS1	TC21000989.hg
	TC09000369.hg
	TC09000372.hg
	TC09002042.hg
ATP6V1G1P2	
LSM12P1	TC17001571.hg
RPL17P46	
	TC08001201.hg
	TC08002322.hg
	TC08002337.hg
	TC08001236.hg
RSL24D1P9	
MTCO2P2	
SIRLNT	TC08002299.hg
SIRLNT	TC08002300.hg
SINHCAFP1	
RPS24P18	
	TC21000731.hg
	TC18000717.hg
	TC18000718.hg
	TC21000732.hg
	TC21000178.hg
GNRH1	TC08001069.hg
MAP1LC3P	
PCP4	
PCP4	TC21000180.hg
FAM83C-AS1	TC20000251.hg
FAM83C	TC20000795.hg
CIAPIN1P	
TRIM21	
TRIM21	TC11001309.hg
RASEF	TC09002617.hg
RASEF	TC09001276.hg
RASEF	
RHOT1P1	
RPS10P5	
RPRD1A	
RPRD1A	TC18000457.hg
SIRPA	TC20000019.hg
PWWP3B	TC0X000514.hg
DSCAM	TC21000465.hg
LINC00293	TC08000339.hg
LINC00293	TC08001901.hg
LINC00293	
SSU72P6	
LINC02689	
H3P33	
ZNF215	TC11000142.hg
ZNF215	
STK24P1	
	TC0X002224.hg
LINC01282	TC0X000961.hg
LINC01282	TC0X002034.hg
NMRK1	TC09002604.hg
NMRK1	TC09001220.hg
NMRK1	
SRD5A1P1	TC0X001894.hg
SRD5A1P1	TC0X000675.hg
CTDSPL2P2	
PLXDC2	TC10000145.hg
PLXDC2	ADDON000046.hg
PLS3-AS1	TC0X002191.hg
PLS3-AS1	TC0X001294.hg
	TC0X002253.hg
	TC0X001432.hg
	TC0X000680.hg
RAC1P4	
MAGEA8-AS1	TC0X002270.hg
MAGEA8-AS1	TC0X001483.hg
BRS3	TC0X000660.hg
DSN1	TC20000818.hg
DSN1	
ASB12	TC0X002332.hg
MTMR3	TC22001428.hg
MTMR3	TC22001060.hg
MTMR3	
SNAP23	
SNAP23	TC15000320.hg
RBBP8P1	
CT47A11	TC0X001331.hg
CT47A11	TC0X001330.hg
CT47A11	TC0X001333.hg
CT47A11	TC0X001328.hg
CT47A11	TC0X002361.hg
CT47A11	TC0X001335.hg
CT47A11	TC0X002362.hg
CT47A11	TC0X001337.hg
CT47A11	TC0X001334.hg
CT47A11	TC0X001329.hg
CT47A11	TC0X001336.hg
CT47A11	TC0X001332.hg
RIT2	TC18000470.hg
RIT2	
CCKBR	TC11000129.hg
CCKBR	
CCKBR	TC11002539.hg
UFM1P1	
HCG15	TC06002676.hg
JARID2-AS1	TC06001288.hg
JARID2-AS1	TC06003492.hg
C17orf100	TC17000074.hg
C17orf100	ADDON002813.hg
FGF13	TC0X002248.hg
FGF13	TC0X001424.hg
FGF13	
FGF13	TC0X002250.hg
SYCP2L	TC06004048.hg
SYCP2L	
	TC09000345.hg
	TC09002019.hg
	TC09000375.hg
POLR1E	TC09002930.hg
	TC17002464.hg
ALOX15P1	
ALOX15P1	TC17000076.hg
MIR4760	TC21000466.hg
DSCAM-AS1	TC21000734.hg
DSCAM-AS1	TC21000181.hg
	TC10001082.hg
	TC10002492.hg
RSU1	TC10001069.hg
SNRPGP2	
	TC21000182.hg
DSCAM-IT1	TC21000467.hg
GAPDHP66	
YRDCP3	
LINC02751	TC11000217.hg
LINC02751	TC11002569.hg
LINC02751	
POLR3GP2	
MIR3197	TC21000184.hg
RPL7AP67	
BACE2	TC21000737.hg
BACE2	TC21000185.hg
BACE2	TC21000184.hg
BACE2	TC21000736.hg
BACE2	TC21000738.hg
BACE2	
TERF1P2	TC18000388.hg
SLC35E1P1	
RNU2-7P	TC13000026.hg
	TC13001345.hg
SYT4	TC18000471.hg
SYT4	
PIMREGP3	
CASP8AP2	
CASP8AP2	TC06000800.hg
EEF1AKMT1	TC13000460.hg
EEF1AKMT1	
GALNT18	TC11001422.hg
GALNT18	
RANP8	
IMPDH1P9	
CNOT4P1	
HNRNPA1P30	TC13000462.hg
HNRNPA1P30	TC13001349.hg
HNRNPA1P30	
RPL23AP73	
PPIAP27	
RPSAP54	
	TC06000127.hg
LATS2	TC13000463.hg
LATS2	
ZNF287	TC17001175.hg
ZNF287	TC17002515.hg
ZNF287	TC17002516.hg
ZNF287	
TPMT	TC06001301.hg
HRH4	TC18000111.hg
LATS2-AS1	TC13000029.hg
	TC09002534.hg
	TC09001127.hg
RNU4-9P	TC13000465.hg
RPS12P23	TC13000466.hg
IPPKP1	
MTCO3P40	
HNRNPA1P14	
	TC0X001448.hg
	TC0X002261.hg
CENPJ	TC13000493.hg
CENPJ	
GOLM1	TC09002894.hg
GOLM1	
PA2G4P1	
AMER1	TC0X001095.hg
C11orf42	TC11000127.hg
ZIC3	TC0X000669.hg
ZIC3	
	TC10000186.hg
TMEM14DP	TC10002687.hg
RPL31P44	
	TC10002014.hg
	TC10000255.hg
LINC02682	TC11000219.hg
LINC02682	TC11002572.hg
LINC02682	
MRLN	TC10002662.hg
MRLN	TC10001316.hg
MRLN	
RBBP8	TC18000651.hg
RBBP8	TC18000097.hg
RBBP8	
RPL32P35	
TPM2P1	
RPL3P12	
RPL12P50	
MDH1P2	
SPANXC	TC0X000689.hg
ELOVL2-AS1	TC06002579.hg
ELOVL2-AS1	TC06000077.hg
	TC17002027.hg
	TC17000068.hg
CALCB	TC11002567.hg
CALCB	TC11002566.hg
CALCB	TC11000215.hg
CALCB	
RYKP1	
IL1RAPL2	TC0X000511.hg
IL1RAPL2	
PGGT1BP1	TC10002641.hg
HMGA1P5	
HNRNPA1P58	
ELOCP30	
RPS3AP37	
NEK4P3	
	TC06003511.hg
MRPS21P5	
ATP2A3	TC17001015.hg
ATP2A3	
	TC10002022.hg
PLAC4	
PLAC4	TC21000469.hg
	TC10001303.hg
	TC10002655.hg
CAGE1	TC06004108.hg
CAGE1	
PRELID1P3	TC10000387.hg
	TC06000801.hg
OR52B1P	TC11001351.hg
BACE2-IT1	TC21000186.hg
RPL22P14	
JCAD	TC10001147.hg
JCAD	
	TC21000473.hg
	TC21000993.hg
SSU72P4	
PCSEAT	TC21000740.hg
PCSEAT	
	TC11001350.hg
LINC00111	TC21000741.hg
LINC00111	TC21000191.hg
OR7E41P	
LINC00479	TC21000994.hg
LINC00479	TC21000475.hg
SSU72P2	
RPL7L1P11	
