hgnc_symbol	affy_hugene_1_0_st_v1
KRTAP2-3	8019576
KRTAP2-3	8015214
KRTAP2-3	8015206
KRTAP2-3	8015210
KRTAP2-3	8019574
KRTAP2-3	8015208
AADACL2-AS1	NA
RNU6-821P	NA
	8102530
	8031997
	8137668
	7911331
	7927089
	7998115
	7924463
	7945347
ZNF43	8035813
ZNF43	NA
KRTAP4-12	8015221
KRTAP4-12	8019565
KRTAP4-12	8015218
KRTAP4-12	8015230
KRTAP4-12	8015223
KRTAP1-4	8015187
HERC2P2	7986569
HERC2P2	7982154
HERC2P2	7986701
HERC2P2	NA
PAXBP1	NA
	8015221
	8007115
	8015218
	8019570
	8015230
	8019699
	8007112
ZNF100	8035808
ZNF100	NA
C21orf62	8070073
FRG1-DT	NA
CCNYL6	NA
HERC2P7	NA
SPATA31E3P	NA
	8137046
GOLGA8IP	7981859
GOLGA8IP	7982284
GOLGA8IP	7986947
GOLGA8IP	7982206
GOLGA8IP	7982271
GOLGA8IP	7982230
GOLGA8IP	7981872
GOLGA8IP	7987114
C21orf62-AS1	8068220
C21orf62-AS1	NA
	8137048
RNU1-51P	8104117
DNM1P38	NA
KCNIP4	NA
BRI3BPP1	8027320
VN1R84P	NA
MTDHP4	NA
MAPK4	NA
	8104621
	8111455
	8105995
	8112560
	8112558
	8177544
	8112564
	8105991
	8112469
	8124469
	8177669
	8074925
CPEB1	7990971
CPEB1	NA
TBCD	NA
	8021185
RNA5SP458	8021185
LRRC56	7937391
	8112478
	8177527
	8112521
MPHOSPH10P9	NA
CTDP1-DT	8023910
	7981872
	7981893
	7981771
	8071051
	8071044
	8177120
RPS6P22	NA
LRIG3-DT	NA
	7912802
MAFIP	8071051
MAFIP	8071044
MAFIP	8177120
SMN2	8177647
SMN2	8105958
SMN2	8106006
SMN2	NA
	7905058
	7898371
	7912861
	7898353
TUBGCP5	7981798
CTDP1	8021884
CTDP1	NA
DECR2	7991846
DECR2	NA
MREGP1	NA
	7961026
	7953873
	7962139
AP2A2	NA
AP2A2	7937533
	8161509
SNTB2	NA
RPL4P5	7894051
RPL4P5	7893559
RPL4P5	7896397
RPL4P5	7896168
PHRF1	7937415
PHRF1	NA
UTP4	NA
UTP4	7996891
SINHCAF	8180256
SINHCAF	7962146
MAD2L1-DT	NA
GART	NA
ABR	8010983
ABR	NA
MEGF11	NA
MEGF11	7989887
	8100758
RPS5P3	NA
DNAJC28	8070097
UGT2A3	8100760
	7954692
B3GNTL1	8019545
B3GNTL1	NA
B3GNTL1	8019559
IFNGR2	NA
IFNGR2	8068280
MUC6	7945595
MUC6	NA
UGT2B27P	NA
	7996917
	8002270
	8112491
	8105937
MUC20-OT1	NA
MUC20-OT1	8084895
MUC20-OT1	8084904
MUC20-OT1	8093039
MUC20-OT1	8084912
CDH12P2	NA
PMCHL2	8177554
PMCHL2	8106019
PMCHL2	NA
UGT2B29P	NA
UGT2B10	8095390
UGT2B10	8100768
UGT2B10	8100758
PRB1	7961320
PRB1	7961306
RAB11FIP3	7991860
RAB11FIP3	NA
GTF2H2	8177507
GTF2H2	8177674
GTF2H2	8112538
GTF2H2	8105918
GTF2H2	8105970
GTF2H2	NA
RNU6-1025P	NA
UGT2B15	8100737
UGT2B15	8100746
UGT2B15	8100758
SDHAP2	8084904
SDHAP2	8093039
SDHAP2	8084912
KRTAP5-6	8180382
KRTAP5-6	7937709
KRTAP5-1	7945645
KRTAP5-4	7945657
KRTAP5-4	8180382
KRTAP5-5	8180382
KRTAP5-5	7937700
MT2P1	8095362
MT2P1	8095376
FAM99A	7937707
FAM99A	7945660
DIS3L-AS1	NA
TMPRSS11E	8095380
TMPRSS11E	8095364
LINC02708	NA
KRTAP5-AS1	7937696
TMEM50B	NA
TMEM50B	8070083
NDUFA6	8076417
NDUFA6	NA
DUSP8	7945641
GNG5P1	NA
TCF20	8076436
TCF20	NA
FAM99B	7945660
IFITM10	7945663
KRTAP5-3	7945652
KRTAP5-3	8180254
KRTAP5-2	7945648
SMDT1	8073578
SMDT1	NA
YTHDC1	8100714
YTHDC1	NA
LINC00235	NA
CAPN15	NA
	7998249
NDUFA6-DT	NA
OLA1P1	NA
CYP2D7	8180391
CYP2D7	8076431
CYP2D7	NA
LINC02982	NA
NKD2	8104253
NKD2	NA
CSPG4P10	7985457
CSPG4P10	7985418
CSPG4P10	7985416
CSPG4P10	7985690
CSPG4P10	7985688
CSPG4P10	7990941
CSPG4P10	7985560
CSPG4P10	7985459
CSPG4P10	7990928
	7990922
	7990943
	7985472
	7985450
	7985562
	7990894
	7991110
	7985409
	7991722
GOLGA6L9	NA
GOLGA6L9	7990922
GOLGA6L9	7990943
GOLGA6L9	7985472
GOLGA6L9	7985450
GOLGA6L9	7985562
GOLGA6L9	7990894
GOLGA6L9	7991110
GOLGA6L9	7985409
GOLGA6L9	7991722
GOLGA6L17P	7985472
GOLGA6L17P	7985562
	7990971
CYP2D8P	NA
GOLGA2P10	7985431
GOLGA2P10	7991088
GOLGA2P10	7985571
GOLGA2P10	7990952
GOLGA2P10	7991159
GOLGA2P10	7991714
GOLGA2P10	7990902
SLC12A7	8110755
SLC12A7	NA
LMNTD2	NA
LMNTD2	7945445
UBE2Q2P6	NA
TIMM22	8003627
ADAMTS7P1	NA
	7937698
NXN	NA
MUC4	NA
GOLGA6L10	7990922
GOLGA6L10	7990943
GOLGA6L10	7985472
GOLGA6L10	7985450
GOLGA6L10	7985562
GOLGA6L10	7990894
GOLGA6L10	7991110
GOLGA6L10	7985409
GOLGA6L10	7991722
	7985418
	7985690
	7985459
	7990928
	7985457
	7985416
	7985688
	7990941
	7985560
MIR210HG	NA
LINC00824	NA
GOLGA6L10	NA
RNH1	7945420
RNH1	NA
UBE2Q2P2	7985402
UBE2Q2P2	7985444
UBE2Q2P2	NA
	7990898
	8171834
	7896378
	7894324
	7895994
	7893208
	7990949
	7895878
	7893090
	8099887
	7892820
MUC20	NA
MUC20	8084895
KIF26B	NA
KIF26B	7911114
RPL7AP55	NA
OR10A3	7946332
OR5P2	7946323
OR5E1P	7938261
OR5P3	7946326
OR10A6	7946330
NLRP10	7946334
NLRP10	NA
	7946328
SERF1B	8177658
SERF1B	8105949
SERF1B	8105997
SERF1B	NA
TARM1	NA
CYP2D6	8180391
CYP2D6	8076424
MBOAT7	8039166
NAIP	8112478
NAIP	8177527
NAIP	8112521
NAIP	NA
CNOT3	8031122
DRD4	7937433
DEAF1	NA
CLK2	7920737
CLK2	NA
OR2AS2P	NA
OR2T6	7911276
OR2T2	7911281
OR2T2	7925757
	8180391
	8076424
OR2T4	7911273
RDH13	8039306
IRF7	7945462
IRF7	NA
OR2T7	7925759
OR2T1	7911278
BDH1	8093219
BDH1	NA
OR2T3	7925749
OR2T3	7911283
TSEN34	8031145
OR2T5	7911285
OR2T5	7925747
TMEM179	7981490
TMEM179	NA
TMEM179	7981488
VSTM1	8039109
VSTM1	NA
OR2W1	8124630
OR2W1	8178283
OR2W1	8179587
NOP56P1	NA
OR14J1	8177698
OR14J1	8117722
TRIM27	8179575
TRIM27	8124610
TRIM27	NA
GP6	8039294
C14orf180	7977234
MCCC2	NA
PKLR	7920744
PKLR	NA
NLRP2	8031398
LILRA4	NA
LILRA4	8039246
	8039144
HCG14	NA
HRAS	NA
HRAS	7945436
RPL13P	NA
ZNF311	8124622
ZNF311	8178275
BDP1	8106025
BDP1	8177560
BDP1	NA
PSMB1	NA
FAM120B	8123494
FAM120B	NA
LENG1	8039139
LINC01623	NA
ICE2P1	NA
LINC01060	NA
LINC01015	NA
OR2B3	8179589
OR2B3	8124632
OR2B3	8178285
LAIR1	8039257
LAIR1	NA
MTX1P1	NA
RPL7AP27	NA
SCAMP3	NA
SCAMP3	7920725
LST1	NA
DENND11	8143441
LMNTD2-AS1	7937404
LMNTD2-AS1	NA
RASSF7	7937407
NLRP7	8039280
	8143448
RPS9	8180398
RPS9	8031152
PCGF7P	8027330
ZNF729	NA
	7920687
ZNF676	8035825
GBA	7920697
GBA	NA
ZNF92P2	NA
MTDHP5	NA
VN1R85P	NA
BNIP3P31	NA
BNIP3P30	NA
LILRA2	8031207
LILRA2	NA
SSBP1	8136631
SSBP1	NA
DLL1	8130939
DLL1	NA
CDHR5	7945475
CDHR5	NA
OR8U9	7939983
OR8J2	7948123
FAM8A2P	NA
NAA50P1	NA
OSCAR	8039120
OR8U8	NA
OR8L1P	NA
OR5T3	7939973
OR5T2	7948125
LINC01624	NA
OR8K2P	NA
OR8I1P	NA
OR8K3	7939977
OR8H1	7948127
OR5T1	7939975
RPL5P29	NA
OR8K1	7939979
OR8J1	7939981
SMN1	8177647
SMN1	8105958
SMN1	8106006
SMN1	NA
TFPT	8039131
OR2J3	8117718
OR2J3	8117714
OR2J3	8177694
OR2J3	8179003
HLA-H	NA
MICB	8177955
MICB	8118116
MICB	NA
LINC02197	NA
DEFB104B	8149192
DEFB104B	8144457
AGK	NA
AGK	8136614
SERF1A	8177658
SERF1A	8105949
SERF1A	8105997
SERF1A	NA
DEFB105B	8144401
DEFB105B	8149235
PRPF31	8031102
PRR23D1	NA
WEE2	NA
DEFB4B	8144481
DEFB4B	8149169
FAM90A7	8144436
FAM90A7	8144424
FAM90A7	8144440
FAM90A7	8144428
FAM90A7	8144444
FAM90A7	8149204
FAM90A7	8144388
FAM90A7	8149383
FAM90A7	8144432
FAM90A7	8149361
FAM90A7	8144448
LILRB1	8031223
LILRB1	NA
DEFB103B	8149172
DEFB103B	8144473
	8149241
	8144397
	8149356
	8094134
DEFB108C	7942284
DEFB108C	8094136
FAM90A22	8144436
FAM90A22	8144424
FAM90A22	8144440
FAM90A22	8144428
FAM90A22	8144444
FAM90A22	8149204
FAM90A22	8144388
FAM90A22	8149383
FAM90A22	8144432
FAM90A22	8149361
FAM90A22	8144448
OR7E157P	8144422
OR7E157P	8149148
OR7E157P	8144496
OR7E157P	8149208
HSPD1P3	NA
FAM90A21P	8144436
FAM90A21P	8144424
FAM90A21P	8144440
FAM90A21P	8144428
FAM90A21P	8144444
FAM90A21P	8149204
FAM90A21P	8144388
FAM90A21P	8149383
FAM90A21P	8144432
FAM90A21P	8149361
FAM90A21P	8144448
ZNF705G	8144691
NDUFA3	8031097
HCN3	7905974
HCN3	NA
DEFB107B	8144405
DEFB107B	8149230
OR2U2P	NA
TRIM10	8124716
TRIM10	8179628
TRIM10	8178338
FAM90A6P	8144436
FAM90A6P	8144424
FAM90A6P	8144440
FAM90A6P	8144428
FAM90A6P	8144444
FAM90A6P	8149204
FAM90A6P	8144388
FAM90A6P	8149383
FAM90A6P	8144432
FAM90A6P	8149361
FAM90A6P	8144448
SPAG11B	NA
SPAG11B	8144460
SPAG11B	8149180
SCT	7945498
FAM189B	7920707
FAM189B	NA
PTDSS2	NA
PTDSS2	7937378
DEFB106B	8144452
DEFB106B	8149195
MICG	NA
RNF39	8178326
RNF39	8124695
FAM66B	NA
FAM90A23	8144436
FAM90A23	8144424
FAM90A23	8144440
FAM90A23	8144428
FAM90A23	8144444
FAM90A23	8149204
FAM90A23	8144388
FAM90A23	8149383
FAM90A23	8144432
FAM90A23	8149361
FAM90A23	8144448
ZNF90P2	NA
MUC21	8179224
MUC21	8118069
MUC21	8177931
HCG15	NA
TRIM31-AS1	NA
TNF	8177983
TNF	8179263
TNF	8118142
OR11A1	8124639
OR11A1	8179591
OR11A1	8178291
LINC03015	NA
PRAMEF5	7912555
PRAMEF5	7912575
PRAMEF5	7912567
PRAMEF5	7898012
PRAMEF5	7898007
PRAMEF5	7898040
PRAMEF5	7912547
PRAMEF5	7912582
FAM20C	8130993
MOG	NA
MOG	8117748
MOG	8177709
LINC03014	NA
PRAMEF22	7912585
PRAMEF22	7898002
PRAMEF22	7912582
PRAMEF22	7897997
PRAMEF18	7912617
PRAMEF18	7912601
BTG3-AS1	NA
BTG3	8069565
BTG3	NA
PRAMEF8	7912591
PRAMEF8	7897991
PRAMEF8	7912606
LILRA5	8039236
MBOAT7	NA
HNRNPCL2	7912580
RPS17P1	NA
OR5V1	8178287
PRAMEF25	7912555
PRAMEF25	7912575
PRAMEF25	7912567
PRAMEF25	7898012
PRAMEF25	7898007
PRAMEF25	7898040
PRAMEF25	7912547
PRAMEF25	7912582
MICD	NA
	8067965
OR2G1P	NA
WASF5P	NA
PTMAP1	NA
HLA-V	8179028
HLA-V	8117773
HNRNPCL4	NA
PRAMEF33	7898020
PRAMEF33	7912561
PRAMEF33	7898034
PRAMEF9	7912555
PRAMEF9	7912575
PRAMEF9	7912567
PRAMEF9	7898012
PRAMEF9	7898007
PRAMEF9	7898040
PRAMEF9	7912547
PRAMEF9	7912582
LY6G6F	8178063
LY6G6F	8118235
	7897995
	7912589
MYL6P5	8009513
TMEM183AP1	NA
PSORS1C1	NA
PSORS1C1	8177938
PSORS1C1	8118076
HLA-T	NA
HLA-DRA	8178193
HLA-DRA	8179481
HLA-DRA	8118548
PPP1R11	8177744
PPP1R11	8117834
BTNL2	8179996
BTNL2	8178795
BTNL2	8125426
BTNL2	NA
	7937763
TOMM40P4	NA
CDRT15P3	8045323
CDRT15P3	8055291
	8045323
RPL7P4	NA
RPL7AP7	NA
LTB	8178512
LTB	8179768
LTB	8124950
CEACAM4	NA
CEACAM4	8037045
LINC01556	8117707
TMPOP1	NA
PSMB9	8118571
PSMB9	8178211
PSMB9	8179495
PSMB9	NA
CEACAMP3	NA
PLEKHA3P1	NA
DNAJC19P2	NA
CEACAM21	8029076
CEACAM21	NA
LILRA3	8039226
GOLGA6L24P	NA
FAM189A1	7986960
FAM189A1	NA
ATP23	NA
ATP23	7956648
GABBR1	8179595
GABBR1	8178298
GABBR1	8124654
GABBR1	NA
RPS9	NA
DNAJC19P3	NA
TPM3P5	8142468
RNA5-8SN4	NA
LINC01480	NA
CEACAM7	NA
NLRP7	NA
PTPRN2	NA
	8104139
MPHOSPH10P7	NA
IFITM4P	NA
LINC02403	NA
APBA2	NA
APBA2	7982187
GIHCG	NA
RN7SKP65	7964596
LILRB2	NA
HLA-G	NA
KIR3DX1	8031200
LILRA6	8180261
LILRA6	NA
ZFP57	NA
OR2H5P	8177706
OR2H5P	8179009
OR2H5P	8117741
OR5V1	NA
GPR53P	NA
OR2J2	8177696
OR2J2	8117716
OR2J2	8179005
HLA-DRB9	8125434
MSH5-SAPCD1	8118293
MSH5-SAPCD1	8178080
MSH5-SAPCD1	8118259
MSH5-SAPCD1	8118302
PHLDA2	7945781
CARS1	7945803
CARS1	NA
FAM138D	8044643
FAM138D	8031984
FAM138D	7911323
FAM138D	8159803
IQSEC3	7952897
IQSEC3	7952893
IQSEC3	8067820
IQSEC3	NA
CTSO	8103389
FAM20C	NA
HERC2	7986863
HERC2	NA
MROH5	NA
SPPL2C	8007826
ASIC5	8103378
RPS7P11	7895808
RPS7P11	7892643
RPS7P11	7894978
RPS7P11	7896137
	8007799
	8007803
TDO2	NA
TDO2	8097991
MAS1LP1	NA
LINC01300	NA
HCG4	8124689
DDX11L8	NA
SUMO2P1	8174636
MDC1-AS1	NA
ZNRD1ASP	NA
ZNRD1ASP	8178324
HNRNPA1P38	NA
PTP4A3	8148501
PTP4A3	NA
SLC39A11	NA
KANSL1-AS1	NA
WHAMMP2	7986687
IQSEC3-AS1	NA
	8016259
MAPK8IP1P2	8016261
MAPK8IP1P2	8007848
WASH8P	8171066
WASH8P	8159790
WASH8P	7986541
WASH8P	8044649
WASH8P	7998119
NSFP1	NA
RPL32P1	NA
OR2J1	8177696
OR2J1	8117716
OR2J1	8179005
SLC5A8	7965769
WNT3	8016311
WNT3	NA
ABCB10P3	NA
DDX39BP1	NA
HCG4P8	NA
	7952893
	8067820
GOLGA8G	7991695
GOLGA8G	7981895
GOLGA8G	7991668
GOLGA8G	7982131
GOLGA8G	7981752
GOLGA8G	7981874
GOLGA8G	7986922
GOLGA8G	7986642
DHX16	NA
DHX16	8178377
DHX16	8124775
GPR20	8153269
DLGAP2	8144253
DND1P1	NA
ANO4	NA
ARHGAP27	8016215
ARHGAP27	8016232
ARHGAP27	NA
	8148515
APOM	8118209
APOM	8179291
APOM	8178043
MAMDC2-AS1	NA
MAMDC2	8155754
MAMDC2	NA
	7965787
HLA-K	NA
	8124634
HSPA1B	8118310
HSPA1B	8179324
HSPA1B	8118314
HSPA1B	8179322
HSPA1B	8178086
HERC2P1	NA
	8161644
HSP90AA4P	8098707
OCA2	7986838
OCA2	NA
C4B_2	8118455
C4B_2	8118409
C4B_2	8179399
C4B_2	NA
	8104117
LILRB2	8039212
RPH3AL-AS2	NA
RPH3AL-AS1	NA
RPH3AL	NA
RPL5P32	NA
PDCD6IPP2	NA
ABCB10P4	NA
GOLGA8M	7982284
GOLGA8M	7986947
GOLGA8M	7982206
GOLGA8M	7982271
NSMCE3	7986969
HERC2P9	7986569
HERC2P9	7982154
HERC2P9	7986701
HERC2P9	8001099
HERC2P9	NA
RPL41P2	7982129
RPL41P2	7965467
RPL41P2	8105432
RPL41P2	8075691
RPL41P2	8061364
GOLGA6L25P	NA
	7982185
	7986685
GOLGA8F	NA
GOLGA8F	7991695
GOLGA8F	7981895
GOLGA8F	7991668
GOLGA8F	7982131
GOLGA8F	7981752
GOLGA8F	7981874
GOLGA8F	7986922
GOLGA8F	7986642
OR2U1P	8124636
LINC00533	NA
MUC2	7937560
MUC2	NA
	7982228
	7982356
	7982250
	7982267
	7982307
	7987112
	7987046
	7986945
	7987137
	7982282
MAPT-IT1	NA
CHRFAM7A	7987012
APBA1	8161618
APBA1	NA
OR2H4P	NA
TRIM26BP	NA
SERPINF1	NA
WNT9B	8007895
	8019561
RPSAP2	NA
PPP1R10	8178358
PPP1R10	8179664
PPP1R10	8124756
PPP1R10	NA
SCARF1	8011114
SCARF1	NA
TTYH1	NA
TTYH1	8031157
MAPT-AS1	8016263
LINC02210-CRHR1	NA
	7982287
MAPK8IP1P1	8016261
MAPK8IP1P1	8007848
LRRC37A4P	8007919
LRRC37A4P	8007850
LRRC37A4P	8017688
LRRC37A4P	8016245
LRRC37A4P	8007867
LRRC37A4P	8016259
NDUFB9P1	NA
	7982269
	7987025
	7982248
NSF	8007885
NSF	NA
PRH2	7953967
	7982292
ARHGAP11A	7982358
TRBV11-1	NA
TAF9	NA
TAF9	8112458
TAF9	8177635
TRBV7-6	NA
LINC02688	NA
TRBV10-1	NA
TRBV5-2	NA
