hgnc_symbol	affy_hugene_1_0_st_v1
MT-TF	8165644
MT-TF	8112916
MT-TF	7946565
MT-TF	8137008
MT-TF	8174970
MT-TF	8165648
MT-TF	7946563
MT-TF	8165646
MT-RNR1	8165644
MT-RNR1	8112916
MT-RNR1	7946565
MT-RNR1	8137008
MT-RNR1	8174970
MT-RNR1	8165648
MT-RNR1	7946563
MT-RNR1	8165646
MT-TV	8137008
MT-TV	8165648
MT-TV	7946563
MT-RNR2	8137008
MT-RNR2	8165648
MT-RNR2	7946563
MT-RNR2	8165653
MT-RNR2	8165650
MT-TL1	8165656
MT-TL1	7896746
MT-TL1	8165653
MT-ND1	8165656
MT-ND1	7896746
MT-ND1	8165653
MT-TI	8165656
MT-TI	7896746
MT-TQ	8165694
MT-TQ	7911335
MT-TM	8165656
MT-TM	7896748
MT-TM	7896746
MT-TM	8165658
MT-ND2	8165656
MT-ND2	7896748
MT-ND2	7896746
MT-ND2	8165658
MT-TW	8165661
MT-TW	7896748
MT-TW	8165658
MT-TA	8165698
MT-TA	7973871
MT-TA	7911339
MT-TA	8165700
MT-TA	8165696
MT-TA	7911337
MT-TN	8165698
MT-TN	7973871
MT-TN	7911341
MT-TN	7911339
MT-TN	8165700
MT-TN	8165696
MT-TN	7911337
MT-TC	8165698
MT-TC	7973871
MT-TC	7911341
MT-TC	7911339
MT-TC	8165700
MT-TC	8165696
MT-TC	7911337
MT-TY	8165698
MT-TY	7973871
MT-TY	7911341
MT-TY	7911339
MT-TY	8165700
MT-TY	8165696
MT-TY	7911337
MT-CO1	8165663
MT-CO1	8165661
MT-CO1	8043375
MT-CO1	8165665
MT-CO1	8113356
MT-CO1	8165667
MT-CO1	7896752
MT-CO1	7896750
MT-TS1	7911343
MT-TS1	8165703
MT-TD	8165663
MT-TD	8043375
MT-TD	8165665
MT-TD	8113356
MT-TD	8165667
MT-TD	7896752
MT-TD	7896750
MT-CO2	8165663
MT-CO2	8043375
MT-CO2	8165665
MT-CO2	8113356
MT-CO2	8165667
MT-CO2	7896752
MT-CO2	7896750
MT-TK	8043375
MT-TK	8165665
MT-TK	8165667
MT-TK	7896752
MT-ATP8	8043375
MT-ATP8	8165665
MT-ATP8	8165667
MT-ATP8	7896752
MT-ATP6	8165669
MT-ATP6	8043375
MT-ATP6	8165672
MT-ATP6	8165674
MT-ATP6	8165667
MT-ATP6	7896752
MT-CO3	8165669
MT-CO3	8165672
MT-CO3	8165674
MT-TG	8165669
MT-TG	8165672
MT-TG	8165674
MT-ND3	8165676
MT-ND3	8165672
MT-ND3	8165674
MT-TR	8165676
MT-TR	8165674
MT-ND4L	8165676
MT-ND4	8165682
MT-ND4	8165676
MT-ND4	8165680
MT-ND4	8165684
MT-TH	8165682
MT-TH	8165680
MT-TH	8165684
MT-TS2	8165682
MT-TS2	8165680
MT-TS2	8165684
MT-TL2	8165682
MT-TL2	8165680
MT-TL2	8165684
MT-ND5	8165682
MT-ND5	8165680
MT-ND5	8165686
MT-ND5	8165684
MT-ND6	8165705
MT-ND6	8113120
MT-ND6	8165707
MT-TE	8165705
MT-TE	8113120
MT-TE	8165707
MT-CYB	8165690
MT-CYB	8165692
MT-TT	8165692
MT-TP	8165709
	NA
	7904999
	7919271
	7904500
	7912808
	7919412
	7904486
	7919438
	7904562
	7919351
	7904976
	7904506
KIR2DL3	NA
KIR2DL1	NA
KIR3DP1	NA
LILRP1	NA
KIR3DL2	NA
LILRP2	8031253
KIR2DS4	NA
INTS3	7905631
INTS3	NA
PCMTD2	8064302
PCMTD2	NA
KIR2DS5	8039892
LINC02109	NA
KIR2DS3	8039892
KIR2DL4	NA
KIR2DP1	NA
NCR1	8031387
NCR1	NA
KIR2DL2	NA
KIR3DL3	NA
KIR3DL1	NA
	8104659
FCAR	NA
OPRL1	NA
NPBWR2	8067818
KIR2DS2	NA
MYT1	8064277
MYT1	NA
KIR2DL5B	8039884
KIR3DS1	NA
	8161375
	8071049
	7904478
	8155453
KIR2DL5A	8039884
KIR2DS1	NA
	8064277
	8064302
LILRP2	NA
	8039892
SBNO2	8032157
SBNO2	NA
PTCHD3	7932727
DNAH10	7959696
DNAH10	NA
ODAD2P1	NA
FAM210CP	NA
TRIAP1P1	NA
	7932725
	7926834
SNTG2	NA
OR9G4	7948157
OR5G3	NA
OR9G3P	7939996
OR5G1P	7948159
OR5G4P	NA
OR5G5P	7948161
OR5G5P	NA
OR9G2P	NA
OR9G1	7939994
GEMIN2P1	NA
OR9G9	7939994
GATAD2B	7920341
LINC02735	NA
CCDC92	NA
CCDC92	7967486
	8035779
KRT18P40	NA
ZNF430	NA
RNA5-8SN5	NA
ZNF85	8027272
ZNF85	NA
SLC27A3	7905664
SLC27A3	NA
BNIP3P24	NA
ZNF66	8027268
ZNF66	8035779
PIWIL1	7959856
PIWIL1	NA
	7920337
	7920333
	7905629
KRTAP9-2	8007134
KRTAP9-2	8007130
KRTAP9-2	8007123
KRTAP9-10P	NA
KRTAP9-4	8007134
KRTAP9-6	NA
	8067844
	7986605
	8022428
KRTAP9-7	NA
KRTAP29-1	NA
KRTAP9-12P	NA
KRTAP9-11P	NA
KRTAP9-9	NA
	7919349
	7912800
	7978568
	7973896
	7898411
	7898375
	7912850
	7919269
	7919576
PPIAL4F	7919436
PPIAL4F	7905016
PPIAL4F	7904997
DHX36	NA
IMPDH1P5	NA
RNVU1-26	7904572
RNVU1-2A	NA
DLG5	7934615
DLG5	NA
	8022434
	8067858
ARHGEF26	NA
ARHGEF26	8083471
LINC01839	NA
LINC02054	NA
RNU6-222P	NA
FTCD	NA
FTCD	8070933
ADI1	8050071
TRAPPC12	NA
TRAPPC12	8040018
KRTAP9-3	8007127
	8115886
	8110408
	8007130
ARHGEF26-AS1	NA
FTCD-AS1	NA
LSS	8070961
LSS	NA
TPO	NA
TPO	8039996
LINC01659	NA
SUDS3P1	8110415
ZDHHC8P1	8074892
ZDHHC8P1	NA
PROP1	NA
LINC00254	NA
HS3ST6	7998634
MEIOB	NA
CES5AP1	NA
LINC02124	NA
KRT20	8015124
KRT20	NA
KCNQ2-AS1	NA
FAM230I	8074897
KCNQ2	NA
ERICH1	NA
KRTAP3-1	8015173
KRTAP3-1	8019593
KRTAP3-2	8015169
KRTAP3-2	8019597
	8144226
ZNF965P	NA
GXYLT1P1	NA
PROP1	8116162
KRTAP4-9	8015221
KRTAP4-9	8007115
KRTAP4-9	8015218
KRTAP4-9	8015230
KRTAP4-9	8007112
CYP4F34P	NA
LINC02557	NA
CNN2P12	NA
SNX18P26	NA
LINC00328-2P	8161375
LINC00328-2P	7904478
LINC00328-2P	8155453
	8050336
ANKRD20A9P	7970381
ANKRD20A9P	8067864
KRTAP2-4	8019576
KRTAP2-4	8015214
KRTAP2-4	8015206
KRTAP2-4	8015210
KRTAP2-4	8019574
KRTAP2-4	8015208
RNU6-55P	8069517
RNU6-55P	7970388
	7967872
	8074335
KRT23	8015133
KRT23	NA
ABCB11	NA
SPATC1L	8070953
G6PC2	8046116
SLC45A2	NA
RXFP3	8104781
ADAMTS12	NA
ABCB10P1	NA
	8111415
GOLGA8DP	7991695
GOLGA8DP	7981895
GOLGA8DP	7991668
GOLGA8DP	7982131
GOLGA8DP	7981752
GOLGA8DP	7981874
GOLGA8DP	7986922
GOLGA8DP	7986642
SPC25	8056572
LINC02549	NA
APOBEC3B-AS1	NA
	8071179
APOBEC3A	NA
APOBEC3A	8073056
GARRE1	NA
	8074714
	8071168
	8075024
	8074867
DLG5-AS1	NA
DLG5-AS1	7928545
TUBGCP5	NA
RN7SL284P	7934651
RNU6-1266P	7934613
SEPTIN9-DT	NA
SEPTIN9	NA
LSM14A	8027592
LSM14A	NA
KRT40	8019604
KRT40	8015152
GOLGA6L1	7981787
CRIM1	NA
ELMO2P1	NA
RPL21P36	7896036
CRIM1-DT	NA
NOSTRIN	NA
NOSTRIN	8046099
MPHOSPH10P5	NA
KRTAP1-1	8015196
KRTAP1-1	8019578
	8015214
	8015206
	8019574
	8015208
	7986943
	7981909
	7982152
	7986661
KRTAP4-11	8015221
KRTAP4-11	8007115
KRTAP4-11	8015218
KRTAP4-11	8019570
KRTAP4-11	8015230
KRTAP4-11	8019699
KRTAP2-5P	NA
CYFIP1	NA
CYFIP1	7981824
KRTAP1-3	8015189
KRTAP1-3	8019585
KRTAP4-16	NA
KRT12	8015115
DLGAP2-AS1	NA
	8036031
DLGAP2	NA
KRTAP1-5	8019588
KRTAP1-5	8015179
KRT39	8019614
KRT39	8015144
KRT39	NA
ANKRD18DP	8093272
ANKRD18DP	NA
CNTNAP2	NA
RPS17	7990916
RPS17	7990965
GOLGA6L22	7981787
GOLGA6L22	7986741
GOLGA6L22	7986598
GOLGA6L22	7986736
GOLGA6L22	NA
SLC25A51P1	8120460
ADH5P4	8127419
AADACL2	8083409
KRTAP3-4P	NA
	7986739
	7986601
GOLGA8EP	7991695
GOLGA8EP	7991668
GOLGA8EP	7982131
GOLGA8EP	7981752
GOLGA8EP	7981874
GOLGA8EP	7986922
GOLGA8EP	7986642
KRTAP2-1	8015214
KRTAP2-1	8015206
KRTAP2-1	8019574
KRTAP2-1	8015208
SKA1	8021187
SKA1	NA
METRNL	8010897
METRNL	NA
	7911329
	8177460
	8085054
	8097064
	8049963
	8110670
	8148964
	8031990
	7896742
	7945342
	7911347
	7998117
	7927095
	8137666
	7924549
	8176865
KRTAP3-3	8015163
KRTAP3-3	8019599
LINC02066	NA
