hgnc_symbol	phalanx_onearray
PCNX4	PH_hs_0033230
PCNX4	
ZNF705B	
RPL7P3	
PIEZO1P1	
HMGB3P3	
USP17L4	
LINC01194	PH_hs_0036935
LINC01194	PH_hs_0036851
LINC01194	PH_hs_0036442
RPRD1B	PH_hs_0023405
RPRD1B	
USP17L3	
DEFB109B	
SEMA5A	PH_hs_0002445
SEMA5A	
FAM90A20P	
LLGL1	PH_hs_0005216
FAM90A3P	
	PH_hs_0036522
LINC02970	
ENPP7P12	
SEZ6L	PH_hs_0035680
SEZ6L	
ADRM1	PH_hs_0005036
ADRM1	
DEFB109A	
ZNF705D	
DEFB108E	
RNA5SP254	
DEFB131C	
GCNT2	
GCNT2	PH_hs_0021964
ERICH1	PH_hs_0035181
ERICH1	PH_hs_0040580
DEFB131E	
DEFB134	
LINC01516	
ACBD7	
DEFB135	
MIR4307HG	PH_hs_0005358
MIR4307HG	
DEFB136	
MTND2P16	
RPP38	PH_hs_0005190
RPP38	
OR7E161P	
	PH_hs_0018345
FDFT1	PH_hs_0032086
PHF20	
PHF20	PH_hs_0015507
VPS37A	PH_hs_0028158
VPS37A	
RPL30P7	
CCDC171	PH_hs_0035369
CCDC171	
CCDC171	PH_hs_0019773
ITIH5	PH_hs_0023206
ITIH5	
ITIH5	PH_hs_0037807
	PH_hs_0038823
SUB1P1	
LINC00871	
GATA4	
MYO10	PH_hs_0003156
MYO10	PH_hs_0003919
MYO10	
SIX1	PH_hs_0003560
SIX1	
F7	PH_hs_0002924
F7	
FLII	PH_hs_0033518
FLII	
	PH_hs_0016797
C8orf48	PH_hs_0005833
GCNT2P1	
	PH_hs_0035104
	PH_hs_0038254
C6orf52	PH_hs_0003898
C6orf52	
PPP2R5E	PH_hs_0027933
PPP2R5E	
STC1	PH_hs_0002254
STC1	
B4GALT1-AS1	
UHRF2	PH_hs_0024552
UHRF2	PH_hs_0033103
UHRF2	
TRIM35	PH_hs_0008314
TRIM35	
TRIM35	PH_hs_0005783
PAK1IP1	PH_hs_0023705
FAM167A-AS1	
FRMD4A	PH_hs_0022835
FRMD4A	
RASL11A	PH_hs_0032089
NBEAP1	
RN7SL288P	
RN7SKP5	
ABITRAMP1	
LINC00563	PH_hs_0005063
RNU2-6P	
RNU6-68P	
PPP1R2P4	
RNU6-1084P	
RN7SL293P	
OR7E101P	
TDH	
TDH	PH_hs_0036983
COX17P1	
FKBP1AP3	
CPB2	PH_hs_0023119
CPB2	
TMEM14C	PH_hs_0031125
TMEM14C	
BCAR1P2	
IGHD1OR15-1A	
FAM30C	
OR4N3BP	
IGHD5OR15-5A	
SPATA31E2P	
PWRN1	PH_hs_0033787
PWRN1	
PWRN1	PH_hs_0019399
MTND6P19	
COX7BP2	
MAK16	PH_hs_0004447
MAK16	
LLPHP1	
MRPS11P1	
GGT7	PH_hs_0020149
GGT7	
LCP1	PH_hs_0018575
LCP1	
SLC35G5	PH_hs_0033915
MTMR9	
LINC00529	PH_hs_0024625
RPL19P13	
LPL	
LPL	PH_hs_0010704
	PH_hs_0015099
	PH_hs_0032076
MRC1	PH_hs_0027151
MIR598	
OR11H3P	
MIR1322	
OR11J6P	
IGHD2OR15-2A	
SOX7	PH_hs_0012328
IGHV1OR15-1	
	PH_hs_0033877
C8orf74	PH_hs_0035853
RPS8P10	PH_hs_0034824
	PH_hs_0040364
HMGB3P23	
RPS3AP54	
	PH_hs_0034801
SH3GL2	
LINC02346	
FAM30B	
LINC02250	
RNA5SP252	
MIR4286	
HMBOX1	PH_hs_0026397
HMBOX1	
SLC6A14P3	
	PH_hs_0034430
	PH_hs_0039445
ATP5PDP3	PH_hs_0034904
NOP56P2	
IFNA7	PH_hs_0032472
SAMD10	PH_hs_0031111
SAMD10	
LINC03022	
OR2S1P	
SIAH3	PH_hs_0038207
RPS26P2	
OR11K1BP	
CHCHD4P3	
LURAP1L	PH_hs_0033521
LURAP1L	
ZYX	
ZYX	PH_hs_0004383
LINC01198	
GOLGA6L1	PH_hs_0039380
RNU6-729P	
LINC01627	
MIR5692B	
LINC01400	
ERP29P1	
PKNOX1	PH_hs_0030158
PKNOX1	
HMGN2P16	
MIR1292	
SNORD110	
SNORA51	PH_hs_0018286
LINC02851	PH_hs_0006654
SNORD86	
SNORD56	
LINC02331	
CKS1BP2	
NFIB-AS1	
SNORD57	
LINC00929	PH_hs_0017863
LINC00929	
MIR8062	
RNU6-278P	
SELENOOLP	
RN7SL864P	
RNU6-228P	
RNU6-1159P	
ARL5B	PH_hs_0022060
RNU6-115P	
RNA5SP475	
DDHD1-DT	
RN7SKP69	
RNU6-27P	
RN7SL547P	
RNF2P1	
RN7SL607P	
RNU1-131P	
STYX	PH_hs_0024041
STYX	
RNA5SP474	
NALCN	PH_hs_0024543
NALCN	
BOLA3P4	
RN7SKP111	
RNU6-1257P	
ASS1P12	
RN7SL561P	
SLC4A1APP1	
RNU105B	
RN7SL690P	
KCTD9P3	
RN7SKP140	
RNU6ATAC17P	
RBPJP6	
RNU1-23P	
RNA5SP528	
RN7SL594P	
IFT27	PH_hs_0019605
IFT27	
RNF38	PH_hs_0029763
RNF38	
MIR6870	
MIR4755	
RNU4-40P	
RNU6-937P	
CUBN	PH_hs_0010013
CUBN	
RNU6-639P	
RNA5SP532	
RN7SL116P	
RN7SL237P	
RN7SL680P	
MIR663A	
MIR3616	
RNU7-144P	
RNU6-919P	
RNU6-347P	
LINC02212	
RNU7-6P	
	PH_hs_0019085
SNORA71A	
IGHD5OR15-5B	
SNORA71C	
SNORA71D	
RNU6-147P	
RNU6-497P	
OR4N3P	
RPL36AP21	
RNA5SP487	
RPL5P1	
RNU6-1146P	
MIR3194	
RNU6-929P	
RNU7-14P	
OR11J7P	
RNU4ATAC7P	
RN7SKP184	
LINC02211	
RN7SL197P	
LINC01193	PH_hs_0027217
LINC01193	
RNU7-141P	
	PH_hs_0035807
RN7SKP185	
MIR646	
MIR4533	
MIR548AG2	
RN7SKP100	
MIR1-1	
MIR133A2	
RN7SKP33	
MIR647	
RPL32P14	
RN7SL170P	
LINC02116	
ATP5F1CP1	
H3P22	
MIR1914	
L3HYPDH	
L3HYPDH	PH_hs_0002568
MIR4758	
RNU6-563P	
RNU1-134P	
MED10	PH_hs_0032208
MED10	
MIR941-4	
MIR941-5	
MIR941-1	
MIR941-2	
MIR941-3	
RBPJL	PH_hs_0013189
RBPJL	
MIR124-1HG	
MIR124-1HG	PH_hs_0001192
EIF1AXP2	
LINC02221	
	PH_hs_0007666
LINC02319	
NAT2	PH_hs_0035307
C14orf39	
C14orf39	PH_hs_0023873
CMBL	
CMBL	PH_hs_0022930
IGHV1OR15-3	
IGHV3OR15-7	
MIR124-1	
CBS	PH_hs_0022824
CBS	
MIR6892	
EPHA1	
EPHA1	PH_hs_0005023
PDGFB	
IGHV1OR15-6	
	PH_hs_0013138
	PH_hs_0019399
MIR597	
IGHD2OR15-2B	
GRAMD4P5	
GOLGA8DP	PH_hs_0038299
GOLGA8DP	PH_hs_0038671
SDC4	PH_hs_0029525
TAF11L4	
PPP1R3B-DT	PH_hs_0036150
PPP1R3B-DT	
PPP1R3B-DT	PH_hs_0006331
SLC18A1	PH_hs_0009594
SLC18A1	
H3P21	
RPL17P2	
DAP-DT	
SYS1	
SYS1	PH_hs_0023279
LINC02290	
UPRT	PH_hs_0005090
UPRT	
MTRR	
MTRR	PH_hs_0009249
MIEF2	
MIEF2	PH_hs_0005606
GPR158-AS1	
BOP1	PH_hs_0026681
BOP1	
SIX6	PH_hs_0011523
MPHOSPH10P4	
TRDMT1	PH_hs_0023941
TRDMT1	
MPPED1	PH_hs_0027905
MPPED1	
GOLGA6L6	PH_hs_0037791
GOLGA6L6	PH_hs_0039380
SYS1-DBNDD2	
SERPINE4P	
SIX4	PH_hs_0005343
SIX4	PH_hs_0014337
SIX4	
EPHA1-AS1	PH_hs_0041036
EPHA1-AS1	
GABRA5	PH_hs_0002192
GABRA5	PH_hs_0037597
GABRA5	
TAS2R62P	
TAS2R60	PH_hs_0026262
TAS2R41	PH_hs_0026208
OR2R1P	
TP53TG5	PH_hs_0024610
TP53TG5	
PRKCH-AS1	
OR10AC1	
PAICSP5	
LINC01500	PH_hs_0003421
LINC01500	
NFX1	PH_hs_0024928
NFX1	
CTAGE15	PH_hs_0033756
TUBB4BP8	
RNU6-267P	
CTAGE6	PH_hs_0033756
	PH_hs_0037691
	PH_hs_0021388
NDUFB4P10	
LINC01711	
SETP4	
CCDC117	PH_hs_0024677
CCDC117	
LINC01284	
STX16	PH_hs_0023921
STX16	
LINC00555	
RNU6-526P	
CCDC168	PH_hs_0017588
CCDC168	PH_hs_0018613
RNU6-1151P	
TEX30	PH_hs_0024590
TEX30	
GMDS	
GMDS	PH_hs_0005859
USP27X-DT	PH_hs_0019461
TOP3A	
TOP3A	PH_hs_0025390
TOP3A	PH_hs_0033363
MTND2P25	
HDX	PH_hs_0022405
HDX	
TCAF2P1	
	PH_hs_0007637
SALL4P7	
OR2F2	
PPM1A	PH_hs_0022431
PPM1A	PH_hs_0037349
PPM1A	
OR2F1	
CAPZA1P5	
OR2Q1P	
SLC16A1P1	
RNU7-55P	
MIR4660	
OR6B1	
RPL10P19	
RNU6-682P	
POGLUT2	PH_hs_0024761
POGLUT2	
PARVG	
PARVG	PH_hs_0022558
RN7SL178P	
LINC02950	
CCDC175	
FAM86B3P	
FAM86B3P	PH_hs_0040458
LONRF2P3	
CTDSPL2P1	
CALM1P1	
CORO1CP1	
EIF3MP1	
UBE2V1P7	
CYCSP43	
LINC01496	
NAP1L6P	
ALG1L13P	
UBE2V1P9	
BIVM-ERCC5	PH_hs_0032358
BIVM-ERCC5	
PABPC5	
PABPC5	PH_hs_0023211
SCOCP1	
SLC10A1	PH_hs_0000124
PABPC1L2A	PH_hs_0036136
SRIP2	
EXOC2	PH_hs_0025526
EXOC2	
ARL13A	
HSF1	PH_hs_0031748
HSF1	
FAM90A9	
SNHG14	PH_hs_0003392
SNHG14	
SNHG14	PH_hs_0036985
SNHG14	PH_hs_0040953
SNHG14	PH_hs_0039673
DEFB107A	PH_hs_0028660
C1QL3	
BIVM	
BIVM	PH_hs_0015000
	PH_hs_0028298
C5orf49	PH_hs_0017269
DEFB106B	
MINDY3	PH_hs_0014764
MINDY3	
LINC01017	
DHRS7	PH_hs_0022102
DHRS7	PH_hs_0031154
DHRS7	
HSPD1P1	PH_hs_0028995
EEF1A1P15	
LINC01513	
LINC02112	
LINC02112	PH_hs_0026972
BRWD3	PH_hs_0008130
BRWD3	PH_hs_0008791
BRWD3	
HSPD1P2	
FTLP4	
DEFB4A	PH_hs_0031506
ALG3P1	
	PH_hs_0033609
MTCO2P30	
ZNF705G	
USP17L7	
UBE2V1P12	
USP17L2	
NUP155	PH_hs_0002047
NUP155	PH_hs_0008527
NUP155	
GAS6-AS1	
SMARCA2	
SMARCA2	PH_hs_0033106
GAS6	
GAS6	PH_hs_0025635
DEFB109D	
RPS3AP34	
ZNF33BP1	
ARMC3	PH_hs_0022314
ARMC3	
RPL7AP65	
RPL21P121	
RPL35AP36	
PRR34	PH_hs_0014037
LINC01394	PH_hs_0034478
OR7E15P	
SMCR8	PH_hs_0026920
SMCR8	PH_hs_0029772
SMCR8	PH_hs_0037831
	PH_hs_0019402
OR7E10P	
DGAT1	PH_hs_0029640
DGAT1	
FUT10	PH_hs_0016207
FUT10	
BIK	PH_hs_0009361
MIR5692A2	
FOXF2-DT	
	PH_hs_0038433
SHMT1	PH_hs_0029657
MIR6778	
EVPLL	
HMGN2P28	
PCNX1	
	PH_hs_0038988
COPS8P1	
RPSAP15	PH_hs_0029924
EIF4A1P10	
FAM50B	PH_hs_0008357
SHC1P1	
EDA	
EDA	PH_hs_0031501
	PH_hs_0035656
GAS6-DT	
MRPL51P2	
TTLL1	PH_hs_0025038
CRYAA	PH_hs_0010850
CRYAA	PH_hs_0035656
CRYAA	
LINC00454	
	PH_hs_0003106
RNU6-1004P	
EEF1E1	
EEF1E1	PH_hs_0022204
	PH_hs_0037611
TBC1D3P4	
UNC5D	PH_hs_0012884
UNC5D	
LINC00452	PH_hs_0007118
LINC00452	
LINC02076	
KRT17P5	
	PH_hs_0007331
CHM	PH_hs_0019624
CHM	PH_hs_0026173
CHM	PH_hs_0039955
CHM	
U2AF1	
U2AF1	PH_hs_0040480
LINC00565	PH_hs_0017154
NUDT15	PH_hs_0008537
STX16-NPEPL1	PH_hs_0024296
STX16-NPEPL1	
MED4	PH_hs_0010716
YWHAEP2	
KRT17P2	
SEPTIN14P6	PH_hs_0037746
NPEPL1	PH_hs_0024296
NPEPL1	
BLOC1S5	
MIR3926-1	
MIR3926-2	
KRT16P1	
LINC00681	
STAU2P1	
TRMT9B	
PIN4	
PIN4	PH_hs_0001114
PIN4	PH_hs_0039791
RNU6-842P	
MED4-AS1	
POLR2KP2	
PSME2P2	
	PH_hs_0007222
RB1	
RB1	PH_hs_0024754
LINC01108	
KRT16P4	
RPL5P20	
	PH_hs_0032144
ARPC3P5	
TNPO1P2	
LGALS9C	
OFCC1	
OFCC1	PH_hs_0035880
OFCC1	PH_hs_0018640
OFCC1	PH_hs_0030537
HNRNPA1P25	
PPATP2	
TTC3P1	
HNRNPDLP3	
FCF1P9	
RPS29P28	
	PH_hs_0032325
	PH_hs_0031391
RIBC2	PH_hs_0008546
RIBC2	PH_hs_0031807
RIBC2	
MIR6848	PH_hs_0029640
SCRT1	PH_hs_0002699
SCRT1	PH_hs_0013352
TMEM249	PH_hs_0035551
PIEZO1P2	PH_hs_0034999
TEX101P1	
STIP1P3	
	PH_hs_0020489
KAT7P1	
B3GNT2P1	
MIR296	PH_hs_0020489
MIR298	PH_hs_0020489
SGCG	PH_hs_0002943
POF1B	PH_hs_0013702
POF1B	PH_hs_0032379
USP6NL-AS1	PH_hs_0035087
RPP38-DT	PH_hs_0018158
MRPL49P2	
ACTR3BP5	PH_hs_0038444
LINC02554	
PABPC1P12	
	PH_hs_0019071
	PH_hs_0032357
RPS24P13	
NSUN6	PH_hs_0023551
NSUN6	
ACTBP15	
NELFCD	PH_hs_0027054
NELFCD	
PKDREJ	PH_hs_0012936
	PH_hs_0035551
RBM26	
RBM26	PH_hs_0024751
RBM26	PH_hs_0041188
LINC02153	PH_hs_0017321
LINC02153	PH_hs_0035835
	PH_hs_0034298
LINC02556	
SLC52A2	
SLC52A2	PH_hs_0028732
KLHL4	PH_hs_0003428
KLHL4	
ANKRD54	PH_hs_0008167
ANKRD54	
MSR1	PH_hs_0020601
MSR1	
SETD4	PH_hs_0033538
SETD4	
DUXAP3	
ZNF37CP	
LINC03028	PH_hs_0007273
LINC03028	
PIP4K2A	PH_hs_0003680
PIP4K2A	PH_hs_0006024
PIP4K2A	
GPHB5	PH_hs_0018195
ATP5F1AP4	
ADAM21P1	
SALRNA1	
MNAT1	
MNAT1	PH_hs_0022180
FBXL7	PH_hs_0004430
FBXL7	
DCLK1	PH_hs_0001842
DCLK1	
RPS23P5	
PMCHL1	PH_hs_0032305
PMCHL1	
CAPZA1P3	
VDAC1P1	
WDR82P1	
RPL6P29	
WBP11P3	
ATP5MKP1	
ASS1P1	
LINC00879	
LINC00879	PH_hs_0007739
HNRNPA1P27	PH_hs_0033967
TMEM170B	
LINC02220	
NBAT1	
HPRT1P2	
CITED1	
MARK2P5	
FTH1P10	
LINC02226	PH_hs_0020239
LNC-LBCS	
LNC-LBCS	PH_hs_0016713
FBXL6	PH_hs_0001155
FBXL6	
ANKRD33B	
ANKRD33B	PH_hs_0002296
C10orf67	PH_hs_0007914
C10orf67	
C10orf67	PH_hs_0028161
NOS2P2	
FUNDC2P4	
CCDC177	PH_hs_0026350
CCDC177	PH_hs_0034628
TSPO	PH_hs_0000028
TSPO	
SPEF2	PH_hs_0024405
SPEF2	PH_hs_0037081
SPEF2	
LINC01303	PH_hs_0013422
RPS4XP11	
AKR1C4	
AKR1C4	PH_hs_0010556
C14orf28	PH_hs_0035475
EFNB2	PH_hs_0002640
IGBP1-AS2	
PSMC1P11	
NOX1	PH_hs_0007906
NOX1	
DNAJB6P2	
LINC00581	PH_hs_0006191
	PH_hs_0013478
JARID2-DT	
EEF1E1-BLOC1S5	
DPYSL2	PH_hs_0010392
DPYSL2	
DGKH	PH_hs_0018410
DGKH	PH_hs_0033928
DGKH	
RPL35P8	
PPIAP29	
	PH_hs_0034444
MRPL42P2	
LINC00518	PH_hs_0010389
INPP5J	
INPP5J	PH_hs_0031056
DCAF4	PH_hs_0023836
DCAF4	
DCAF4	PH_hs_0036868
ADCK5	
ADCK5	PH_hs_0028107
KDM1B	
KDM1B	PH_hs_0012866
LINC01982	
TUBB1	PH_hs_0015644
MALRD1	PH_hs_0034135
MALRD1	
ATP5F1E	PH_hs_0029333
ATP5F1E	
ATP5F1E	PH_hs_0037642
COLEC12	
COLEC12	PH_hs_0002554
MTCO1P3	
COL18A1-AS2	
COL18A1-AS1	PH_hs_0034436
MIR6815	
SLC19A1	
SLC19A1	PH_hs_0004792
PRELID3B	PH_hs_0000439
PRELID3B	
LINC01517	
LINC01517	PH_hs_0040360
LINC01517	PH_hs_0018207
RUVBL1	
RUVBL1	PH_hs_0014095
NUDT10	PH_hs_0018225
TWSG1-DT	PH_hs_0035132
CPSF1	
CPSF1	PH_hs_0027719
LINC01892	
ABT1	PH_hs_0023261
ARHGAP28-AS1	
ST8SIA6	PH_hs_0026065
ST8SIA6	PH_hs_0008376
USP37P1	
LINC01928	
RPS7P14	
FOXN3P2	
BLOC1S5-TXNDC5	PH_hs_0035950
RPS6P26	
SLC25A3P3	
MAGEE1	PH_hs_0000900
	PH_hs_0028904
MORF4L1P6	
ATG4AP1	
TCEAL9	PH_hs_0001472
TCEAL9	PH_hs_0035364
LINC00526	
MRPS16P2	
GDF5-AS1	
PPIAP14	
	PH_hs_0003594
CHMP1B	PH_hs_0035587
CHMP1B	
GDF5	PH_hs_0000212
	PH_hs_0015202
SPTLC1P2	
PIP5K1P1	
BMP6	PH_hs_0014779
BUD31P2	
PAICSP7	
IMPA2	PH_hs_0035840
IMPA2	PH_hs_0000585
IMPA2	
RPSAP8	
GAD2	PH_hs_0023154
GAD2	
PBDC1	PH_hs_0024129
MIR1289-1	
CEP250	
CEP250	PH_hs_0025798
COL18A1	PH_hs_0024936
COL18A1	
TXNDC5	PH_hs_0035950
TXNDC5	
MRPS22P1	
DIAPH2-AS1	
DIAPH2-AS1	PH_hs_0026997
RNF19BPX	
RTL3	PH_hs_0008128
LINC02209	PH_hs_0018338
LINC02209	
JKAMP	PH_hs_0026136
JKAMP	
POMPP1	
BRAFP1	
NUDT19P2	
SERBP1P4	
USP12PX	
PDK1P2	
MTND6P2	
HSPD1P15	
LINC02146	
MTHFD2P6	
HSPA8P13	
RNU6-823P	
EEFSEC	PH_hs_0030935
EEFSEC	
ADAM7-AS1	
RICTOR	PH_hs_0041183
RICTOR	
IGHD4OR15-4B	
BMS1P16	PH_hs_0034552
ZNF322	PH_hs_0040836
ZNF322	
	PH_hs_0009003
THBS1-AS1	
NF1P2	
SLC25A37	PH_hs_0014670
SLC25A37	
PDCD6IPP1	
DLGAP1	PH_hs_0031710
DLGAP1	
IGHV1OR15-9	
TGIF2LX	PH_hs_0033162
	PH_hs_0007494
	PH_hs_0008605
ST13P18	
ACTR3P2	
KRT18P11	
NBDY	
ARMH2	
DZIP1	PH_hs_0003847
DZIP1	
RPL6P18	
DUSP4	PH_hs_0016719
DUSP4	PH_hs_0025078
VN1R13P	
HDGFL1	PH_hs_0005261
TUBAP11	
KPNB1P1	
MIR5689HG	
DLGAP5P2	
RPL6P17	
KIF4CP	
IGHD3OR15-3A	
FOXQ1	PH_hs_0015375
OOEPP1	
RNF182	
RNF182	PH_hs_0006106
MKX	PH_hs_0007400
MKX	
ZFYVE19	
ZFYVE19	PH_hs_0006788
HMGB1P32	
SH3BGRL	PH_hs_0001367
ERI1	
ERI1	PH_hs_0001739
EEF1A1P40	
RPL7AP36	
GTF3C6P1	
TRAPPC13P1	
RPP40	PH_hs_0026611
RPP40	
CSGALNACT2P1	PH_hs_0038464
TTLL1-AS1	PH_hs_0037784
HK2P1	
GDF2	PH_hs_0014351
ATP5MC2P4	
SCUBE1-AS2	
TRMT2B	PH_hs_0025069
TRMT2B	
	PH_hs_0038562
LINC00207	PH_hs_0032695
LINC00207	
HSD17B7P2	PH_hs_0036555
LINC02949	
MBOAT4	
RHOJ	
RHOJ	PH_hs_0012985
EP300	PH_hs_0023353
EP300	PH_hs_0032399
EP300	
DOCK5	
DOCK5	PH_hs_0014532
C20orf173	
C20orf173	PH_hs_0009626
SUCLA2	
SUCLA2	PH_hs_0010761
MIR939	
MIR1234	
MIR6849	
SLC39A4	
SLC39A4	PH_hs_0035924
RPL36P4	
FER1L4	PH_hs_0036574
FER1L4	PH_hs_0036899
FER1L4	
	PH_hs_0012500
ODAD2	
ODAD2	PH_hs_0011895
SOCS4	PH_hs_0016858
SOCS4	PH_hs_0029833
SOCS4	
KCNH5	PH_hs_0002396
KCNH5	
NSA2P3	PH_hs_0033847
HNRNPA1P26	
BRDTP1	
LRRFIP2P1	
NDUFA5P7	
TDGF1P4	
TEX13B	PH_hs_0016302
LINC02543	
DEK	PH_hs_0006093
DEK	
BRD7P1	
HNRNPDLP1	
C3orf49P1	
RN7SKP205	
VDAC1P3	
XRCC6P5	
LINC00596	
UQCRBP1	
XKRX	PH_hs_0003064
DHRS4-AS1	PH_hs_0020868
DHRS4-AS1	
PWRN2	
PWRN2	PH_hs_0007143
MAGEE2	PH_hs_0017314
MAGEE2	PH_hs_0032857
TERF1P4	
SERBP1P1	PH_hs_0033728
CCNB1IP1P3	
MKRN4P	
ATP10A-DT	
NT5DC1P1	
GOLGA8CP	PH_hs_0038299
GOLGA8CP	PH_hs_0038671
SLC6A14	PH_hs_0027911
SLC6A14	
MTRF1LP2	
GSDMC	
GSDMC	PH_hs_0027246
DHRS4	PH_hs_0036497
DHRS4	PH_hs_0038131
DHRS4	
IGHD1OR15-1B	
VPS28	PH_hs_0028382
VPS28	
SUSD6	PH_hs_0004723
SUSD6	
SINHCAFP3	
ANP32AP1	
LINC02948	
HMBOX1-IT1	
BMF	PH_hs_0024382
BMF	PH_hs_0033073
BMF	
LINC01521	
CCT3P1	
HMGB1P23	
DNAJB7	PH_hs_0034911
IGLV3-13	
JTBP1	
RBX1	
RBX1	PH_hs_0024230
XK	PH_hs_0004552
PARP1P2	
AKR1B1P5	
DEFB131D	
MED14OS	
PTTG4P	
RAP1AP	
SERPINA7P1	
RPL34P36	
RBM8B	
RANBP1P1	
PCNX4-DT	
EZHIP	PH_hs_0005256
UCHL3	PH_hs_0028985
UCHL3	
IGLJ6	
RPL7AP6	PH_hs_0030120
YES1P1	
NLRP2B	
TUBBP3	
RPL10P18	
AP2B1P1	
	PH_hs_0008348
ZNF770	PH_hs_0011569
ZNF770	
LEPROTL1	PH_hs_0022619
LEPROTL1	
ARHGAP6	
ARHGAP6	PH_hs_0013286
	PH_hs_0027344
NCOA4P1	
SIPA1L1-AS1	
PLA2G3	PH_hs_0031850
LINC02895	
RPL21P7	
TVP23BP1	
	PH_hs_0031790
CHEK2P5	
BNIP3P5	
FUT8-AS1	
LINC02853	
RPL23AP71	PH_hs_0034822
ITGA8	
PATZ1	PH_hs_0002451
PATZ1	PH_hs_0031114
PATZ1	PH_hs_0039352
PATZ1	
SLC20A1P3	
HERC2P3	PH_hs_0034229
HERC2P3	PH_hs_0033459
HERC2P3	
EGLN3	PH_hs_0025932
EGLN3	
LINC00240	
LINC00240	PH_hs_0020659
MIR548A1HG	
LINC01622	
LINC01622	PH_hs_0026250
	PH_hs_0028985
ADRA1A	PH_hs_0003537
ADRA1A	
COP1P1	
STMND1	PH_hs_0033645
LMO7-AS1	
	PH_hs_0003575
FAM3B	PH_hs_0001769
FAM204CP	
RN7SKP9	
ASNSP6	
H2AZP3	
GPR183	PH_hs_0000092
GPR183	PH_hs_0040414
RAB31	PH_hs_0012499
RAB31	
THAP12P5	PH_hs_0019402
GUSBP2	PH_hs_0038809
GUSBP2	PH_hs_0037776
GUSBP2	PH_hs_0037964
SNORA31	PH_hs_0038568
TAF11L11	
RCN1P2	
LINC02239	PH_hs_0008615
SLC25A30	PH_hs_0022490
SLC25A30	
IGLC6	
LINC00899	
PLCXD3	PH_hs_0031813
EFCAB6-AS1	
RPL37P1	
NDUFS3	PH_hs_0019882
NDUFS3	PH_hs_0035948
NDUFS3	
DUSP26	PH_hs_0000919
DUSP26	
SHISAL1	PH_hs_0000691
FXYD6P1	
CDYL-AS1	
CICP9	
HNRNPRP1	PH_hs_0022012
LINC02658	PH_hs_0008351
	PH_hs_0031725
SLC9B1P3	
RN7SKP271	
RNU6-759P	
LINC02114	
RBM12	PH_hs_0022790
RBM12	PH_hs_0035634
RBM12	
SCUBE1-AS1	
IGLJ5	
LINC02111	PH_hs_0034211
BTN2A1	PH_hs_0010142
BTN2A1	
BTN2A1	PH_hs_0040494
SLC39A12	PH_hs_0016935
LINC01656	
LINC02306	
XPNPEP3	
XPNPEP3	PH_hs_0028793
MTND5P41	
SPTSSA	PH_hs_0017135
NKX3-1	PH_hs_0003656
NKX3-1	
	PH_hs_0036090
	PH_hs_0036497
	PH_hs_0038131
LINC02241	
DHRS4L1	PH_hs_0036497
DHRS4L1	PH_hs_0038131
DHRS4L1	
FITM2	PH_hs_0031864
UBE2CP2	
LINC00470	PH_hs_0016214
LINC00470	PH_hs_0035794
LINC00470	
R3HDML-AS1	
CARMIL3	PH_hs_0002306
CARMIL3	
ATP6V1B2	PH_hs_0023566
ATP6V1B2	
FOS	PH_hs_0002259
FOS	
HNF4A-AS1	
	PH_hs_0033061
LINC01620	
LINC01620	PH_hs_0017325
RPL37AP1	
TTPAL	PH_hs_0035749
THBS1	
THBS1	PH_hs_0022773
MYCLP2	
	PH_hs_0008861
TATDN2P1	
SLC25A30-AS1	
GTF3AP2	
TPT1	PH_hs_0024238
TPT1	PH_hs_0038568
TPT1	
HNRNPUP1	
RPL9P6	
NXF3	PH_hs_0003859
NXF3	
PLEKHD1	PH_hs_0034223
PLEKHD1	
IGLC5	
ADAMTS1	PH_hs_0030966
ADAMTS1	
ZNRF3	PH_hs_0035374
PTPMT1	
ZNF415P1	
LINC00840	
COX6CP3	
SERINC3	PH_hs_0014019
SERINC3	
AQR	PH_hs_0016401
AQR	PH_hs_0040773
AQR	
	PH_hs_0008894
CHMP1B-AS1	
YBX1P1	
LINC01254	
OR2E1P	
KBTBD4	PH_hs_0020976
KBTBD4	PH_hs_0038381
KBTBD4	PH_hs_0040603
CUBNP1	
YES1	PH_hs_0035676
YES1	
	PH_hs_0016394
LINC02561	PH_hs_0038967
LTBP2	PH_hs_0022271
LTBP2	PH_hs_0026864
LTBP2	
	PH_hs_0020270
ANKH-DT	
HIVEP1	
HIVEP1	PH_hs_0024655
HIVEP1	PH_hs_0007494
KCTD9	PH_hs_0028943
KCTD9	
LINC01019	PH_hs_0026971
LINC01019	
AMD1P1	
CPNE6	PH_hs_0000622
CPNE6	
LINC02123	PH_hs_0015844
PACSIN2	
PACSIN2	PH_hs_0026307
ZFR	PH_hs_0029328
ZFR	
ZFAND4	PH_hs_0024804
ZFAND4	
ABHD13	PH_hs_0039935
RNA5SP39	
HCFC2P1	
ZFP1	
ZFP1	PH_hs_0024481
RNU5E-10P	
FAM180B	PH_hs_0034168
ESD	PH_hs_0025242
ESD	
C1QTNF4	PH_hs_0006586
C1QTNF4	
RPS4XP18	
MTCH2	
MTCH2	PH_hs_0014370
PKIG	PH_hs_0000410
PKIG	
VN1R12P	
	PH_hs_0036457
CTRB2	
MAPRE2	
MAPRE2	PH_hs_0026088
CTRB1	PH_hs_0031310
GFOD1	PH_hs_0020427
