hgnc_symbol	phalanx_onearray
ANKRD18DP	PH_hs_0034274
CNTNAP2	
CNTNAP2	PH_hs_0005930
RPS17	PH_hs_0030178
GOLGA6L22	PH_hs_0037791
GOLGA6L22	PH_hs_0039380
GOLGA6L22	
SLC25A51P1	PH_hs_0033093
ADH5P4	
AADACL2	
KRTAP3-4P	
GOLGA8EP	
KRTAP2-1	PH_hs_0037085
	PH_hs_0034017
SKA1	PH_hs_0008113
SKA1	
METRNL	PH_hs_0034387
KRTAP3-3	PH_hs_0015811
LINC02066	
	PH_hs_0034637
KRTAP2-3	PH_hs_0037497
AADACL2-AS1	
RNU6-821P	
ZNF43	PH_hs_0039139
KRTAP4-12	PH_hs_0015809
KRTAP1-4	
HERC2P2	
PAXBP1	
	PH_hs_0033007
ZNF100	PH_hs_0033399
ZNF100	
	PH_hs_0029707
	PH_hs_0038011
C21orf62	PH_hs_0025661
FRG1-DT	
FRG1-DT	PH_hs_0005482
CCNYL6	
HERC2P7	PH_hs_0036524
SPATA31E3P	
	PH_hs_0008599
GOLGA8IP	PH_hs_0032970
GOLGA8IP	PH_hs_0037493
GOLGA8IP	PH_hs_0029934
C21orf62-AS1	PH_hs_0031244
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	
MAPK4	
	PH_hs_0038809
CPEB1	PH_hs_0035589
CPEB1	
TBCD	PH_hs_0025413
TBCD	
	PH_hs_0019805
RNA5SP458	
LRRC56	PH_hs_0026628
MPHOSPH10P9	
CTDP1-DT	PH_hs_0026229
	PH_hs_0037705
RPS6P22	
LRIG3-DT	
	PH_hs_0037240
MAFIP	
SMN2	PH_hs_0032522
SMN2	PH_hs_0029643
SMN2	
TUBGCP5	PH_hs_0032918
	PH_hs_0026228
CTDP1	
DECR2	PH_hs_0028780
DECR2	
MREGP1	
	PH_hs_0041121
AP2A2	
AP2A2	PH_hs_0001684
	PH_hs_0034330
SNTB2	
RPL4P5	PH_hs_0032060
RPL4P5	PH_hs_0033617
PHRF1	PH_hs_0023810
PHRF1	
UTP4	PH_hs_0009098
UTP4	
SINHCAF	PH_hs_0032841
SINHCAF	
MAD2L1-DT	
GART	
GART	PH_hs_0004709
ABR	PH_hs_0025302
ABR	
MEGF11	
RPS5P3	
DNAJC28	PH_hs_0030455
DNAJC28	PH_hs_0006723
UGT2A3	PH_hs_0006861
B3GNTL1	
B3GNTL1	PH_hs_0034259
IFNGR2	PH_hs_0024785
MUC6	PH_hs_0024589
MUC6	
UGT2B27P	
MUC20-OT1	
MUC20-OT1	PH_hs_0004098
MUC20-OT1	PH_hs_0036076
CDH12P2	
PMCHL2	
UGT2B29P	
UGT2B10	PH_hs_0032146
PRB1	PH_hs_0030534
PRB1	
RAB11FIP3	PH_hs_0027223
RAB11FIP3	
GTF2H2	PH_hs_0028393
GTF2H2	
	PH_hs_0036722
RNU6-1025P	
UGT2B15	
SDHAP2	
KRTAP5-6	
KRTAP5-1	
KRTAP5-4	
KRTAP5-5	
MT2P1	
FAM99A	PH_hs_0036219
DIS3L-AS1	PH_hs_0011149
TMPRSS11E	PH_hs_0027305
TMPRSS11E	
LINC02708	
KRTAP5-AS1	PH_hs_0038153
KRTAP5-AS1	
MUC20-OT1	PH_hs_0034647
TMEM50B	
TMEM50B	PH_hs_0025288
NDUFA6	PH_hs_0014162
NDUFA6	PH_hs_0035737
NDUFA6	
DUSP8	PH_hs_0026661
DUSP8	
GNG5P1	
TCF20	PH_hs_0011832
TCF20	
FAM99B	
IFITM10	PH_hs_0037622
IFITM10	
KRTAP5-3	
KRTAP5-2	
SMDT1	
SMDT1	PH_hs_0015719
